Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],3958,101,0,0
2,Pekora Meow,Leviathan [Primal],3942,251,0,0
3,Ahri Meow,Leviathan [Primal],3739,148,0,0
4,Emi Meow,Siren [Aether],3574,89,94,1
5,Legendary Ash,Faerie [Aether],3398,124,0,0
6,Tomo Kote,Gilgamesh [Aether],3171,259,0,2
7,Hollow Bastion,Rafflesia [Dynamis],3156,86,0,0
8,Crow Meow,Jenova [Aether],3155,95,0,5
9,Azar Kaveh,Mateus [Crystal],3138,583,100,4
10,Azure Balmung,Gilgamesh [Aether],3079,59,0,0
11,Meteor Moon,Rafflesia [Dynamis],3072,287,0,0
12,Terro Beoulve,Coeurl [Crystal],3070,189,0,0
13,Artesia Saeyrs,Sargatanas [Aether],3061,58,0,0
14,Kairi Rune,Hyperion [Primal],3024,305,0,0
15,Local-area Network,Cactuar [Aether],3012,57,0,0
16,Mac Arena,Adamantoise [Aether],2968,100,0,0
17,Cyphos Ultimus,Balmung [Crystal],2896,160,0,16
18,Merlin Emryss,Faerie [Aether],2859,222,175,25
19,Sanahi Keto,Hyperion [Primal],2819,309,0,4
20,Barock Obama,Siren [Aether],2787,466,0,15
21,Lucio Harundo,Leviathan [Primal],2708,448,0,14
22,Fye Alanyk,Diabolos [Crystal],2517,366,0,0
23,Hrothmar Blackburns,Adamantoise [Aether],2493,392,0,7
24,Pvp Badboy,Sargatanas [Aether],2421,208,0,11
25,Ham Baga,Balmung [Crystal],2389,248,0,5
26,Zypris Allsbane,Leviathan [Primal],2364,134,0,0
27,Olivia Lugria,Sargatanas [Aether],2361,264,0,0
28,Suhr Zarek,Balmung [Crystal],2359,443,230,28
29,Fulheart Grit,Balmung [Crystal],2347,142,0,2
30,Rin Ruki,Exodus [Primal],2297,100,0,0
31,Size Difference,Sargatanas [Aether],2271,190,0,0
32,Vittorio Moretti,Diabolos [Crystal],2263,153,0,0
33,Labrys Roux,Ultros [Primal],2215,185,0,21
34,Rae Rea,Adamantoise [Aether],2194,37,0,1
35,Sparrow Hawk,Seraph [Dynamis],2190,118,0,8
36,Kuzo Makuzo,Exodus [Primal],2095,77,0,0
37,Norma Jeannie,Jenova [Aether],2088,84,0,0
38,Sanguinius Smolblood,Kraken [Dynamis],2078,221,0,8
39,Gongsun Qerel,Mateus [Crystal],2063,220,0,4
40,J'heero Eshe,Lamia [Primal],2013,130,0,0
41,Yua Churu,Goblin [Crystal],2002,176,0,15
42,Fortune Days,Zalera [Crystal],1999,87,0,0
43,Clara Green,Gilgamesh [Aether],1982,121,0,0
44,Im Dead,Balmung [Crystal],1972,53,0,0
45,Air Azure,Rafflesia [Dynamis],1970,187,0,0
46,Death Reaps,Balmung [Crystal],1958,188,94,1
