Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Rubedo Ginshi,Lamia [Primal],1858,36,287,11
2,Terro Beoulve,Coeurl [Crystal],1391,28,,
3,Emi Meow,Siren [Aether],1279,36,683,21
4,Neo Dymium,Siren [Aether],1191,20,993,19
5,Ash Kitamura,Faerie [Aether],1097,11,,
6,Pekora Meow,Leviathan [Primal],1014,18,209,3
7,Original Dsi,Gilgamesh [Aether],813,16,316,8
8,Goemon Da-cat,Behemoth [Primal],790,28,590,11
9,Sanahi Keto,Hyperion [Primal],712,12,,
10,Aibertain Mando,Jenova [Aether],702,51,702,28
11,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],700,27,,
12,Sparrow Hawk,Seraph [Dynamis],698,24,495,18
13,Xiao Baobao,Gilgamesh [Aether],692,6,,
14,Medoh Meshi,Kraken [Dynamis],690,13,,3
15,Mavis Enyo,Excalibur [Primal],688,10,98,3
16,Buzzy Wuzzy,Balmung [Crystal],600,11,,
17,Roric Thorn,Faerie [Aether],596,8,,
18,Kairi Rune,Hyperion [Primal],507,28,109,11
19,Sylvie Chan,Brynhildr [Crystal],507,11,,
20,Moon Eclipse,Faerie [Aether],499,20,103,10
21,Im Dead,Coeurl [Crystal],492,4,201,2
22,Olivia Lugria,Sargatanas [Aether],406,19,101,12
23,Park Choa,Diabolos [Crystal],402,9,4,5
24,Mtn Boop,Brynhildr [Crystal],402,4,4,1
25,Hrothmar Blackburns,Adamantoise [Aether],400,29,,18
26,Naomi Hakoma,Halicarnassus [Dynamis],399,5,200,3
27,Lucio Harundo,Leviathan [Primal],396,33,95,26
28,Sena Yehn,Adamantoise [Aether],394,4,100,1
29,Myu Meow,Leviathan [Primal],391,16,291,13
30,Suhr Zarek,Balmung [Crystal],311,5,,
31,Sice Seven,Cactuar [Aether],310,5,,
32,Xiao Longbao,Excalibur [Primal],308,35,109,12
33,Sanguinius Smolblood,Kraken [Dynamis],302,4,,
34,Atreus Auditore,Faerie [Aether],299,11,108,10
35,Death Reaps,Balmung [Crystal],299,6,,3
36,Kukusa Kusa,Kraken [Dynamis],299,2,,
36,Vann Healsing,Coeurl [Crystal],299,2,,
38,Fain Doncel'aram,Jenova [Aether],298,16,,12
39,Ser Oswald,Mateus [Crystal],295,16,95,6
40,Zeta Salazar,Midgardsormr [Aether],208,7,,2
41,Raphtalia Solari,Adamantoise [Aether],202,2,,
42,Kuina Kagetsu,Ultros [Primal],201,2,,
43,Merlin Emryss,Faerie [Aether],200,5,,
44,Thwosau Uyagir,Ultros [Primal],200,4,100,3
45,Zypris Allsbane,Leviathan [Primal],200,2,,
46,Fye Alanyk,Diabolos [Crystal],200,1,,
46,Ldyccine Oo,Leviathan [Primal],200,1,,
46,Unagi Box,Cuchulainn [Dynamis],200,1,,
46,Void Stellarvore,Exodus [Primal],200,1,,
50,Koiaki Nishimon,Exodus [Primal],199,8,,
51,Brycie Iclyn,Midgardsormr [Aether],199,2,,
52,Yulia Lunaria,Coeurl [Crystal],198,19,98,4
53,Kitsu Katsu,Gilgamesh [Aether],198,4,,
54,Doomballoon Dapingus,Diabolos [Crystal],198,1,,
55,Celesse Archon,Midgardsormr [Aether],197,13,,
56,Heart Nya,Gilgamesh [Aether],192,35,,18
57,Tiny Sosig,Balmung [Crystal],102,37,102,20
58,Jay Vermillion,Adamantoise [Aether],101,12,,4
59,Relena Quaversie,Balmung [Crystal],100,41,,14
60,Gidding Mimid,Exodus [Primal],100,33,100,16
61,Ulto Destructo,Lamia [Primal],100,28,100,10
62,Jehuty Apophis,Exodus [Primal],100,21,,
62,Rathais Gunnach,Brynhildr [Crystal],100,21,100,14
64,Oskha Seijaku,Faerie [Aether],100,18,100,14
65,Cadence Cantus,Siren [Aether],100,12,,5
66,Io Isana,Coeurl [Crystal],100,5,,
67,Gojo San,Gilgamesh [Aether],100,4,,4
68,Mash Buttons,Ultros [Primal],100,2,,
68,Silanah Sylphrena,Faerie [Aether],100,2,,
70,Cecils Lunas,Brynhildr [Crystal],100,1,,1
70,Roland Montpensier,Mateus [Crystal],100,1,,
72,Meteor Moon,Rafflesia [Dynamis],100,0,,
72,Orpheus Laine,Gilgamesh [Aether],100,0,,
72,Zeno Valor,Brynhildr [Crystal],100,0,,
75,Sera Viegart,Exodus [Primal],★★★,53,★6,20
76,Smug Idiot,Faerie [Aether],★★★,28,★6,12
77,Yui Fins,Adamantoise [Aether],★★★,27,★2,8
78,Koharu Dazkar,Exodus [Primal],★★★,18,,
79,Enya Holz,Halicarnassus [Dynamis],★★★,17,,
80,Snowsteps Frozenheart,Siren [Aether],★★☆,43,★9,21
81,Rusheel Vasscus,Adamantoise [Aether],★★☆,38,★2,19
82,Lily Evenstar,Brynhildr [Crystal],★★☆,22,,
83,Lux Mas,Sargatanas [Aether],★☆☆,28,,8
84,Neco-arc Myuri,Balmung [Crystal],★☆☆,15,,4
85,Indigo Plateau,Zalera [Crystal],★☆☆,14,★9,9
