Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],4929,122,0,9
2,Pekora Meow,Leviathan [Primal],4326,274,0,5
3,Crow Meow,Jenova [Aether],4005,157,10,4
4,Emi Meow,Siren [Aether],3812,116,300,4
5,Uki Yo,Adamantoise [Aether],3652,167,0,3
6,Ahri Meow,Leviathan [Primal],3575,131,0,7
7,Legendary Ash,Faerie [Aether],3399,100,91,12
8,Tomo Kote,Gilgamesh [Aether],3396,114,96,2
9,Original Dsi,Gilgamesh [Aether],3374,148,0,1
10,Doomballoon Dapingus,Diabolos [Crystal],3278,164,0,3
11,Meteor Moon,Rafflesia [Dynamis],3249,150,0,1
12,Raiden Meow,Halicarnassus [Dynamis],3247,118,0,0
13,Mtn Boop,Brynhildr [Crystal],3245,81,0,0
14,Sparrow Hawk,Seraph [Dynamis],3179,145,696,29
15,Aerika Erys,Faerie [Aether],3096,51,0,0
16,Aahaha Hahahahaha,Exodus [Primal],3074,145,0,0
17,Jay Vermillion,Adamantoise [Aether],3071,84,1,1
18,Mac Arena,Adamantoise [Aether],3067,66,0,0
19,Bigg Spite,Coeurl [Crystal],3056,144,0,4
20,Suhr Zarek,Balmung [Crystal],3047,247,0,0
21,Myu Meow,Leviathan [Primal],3044,372,0,8
22,La Bubu,Diabolos [Crystal],3030,169,0,0
23,Unagi Box,Cuchulainn [Dynamis],3020,343,0,0
24,Mavis Enyo,Excalibur [Primal],3013,202,0,0
25,Seto Mimyho,Behemoth [Primal],3013,153,0,0
26,Seraphita Strahlven,Seraph [Dynamis],3006,605,0,0
27,J'heero Eshe,Lamia [Primal],2984,93,0,0
28,Ham Baga,Balmung [Crystal],2971,245,0,0
29,Sylvie Chan,Brynhildr [Crystal],2961,200,0,0
30,Kairi Rune,Hyperion [Primal],2853,227,0,0
31,Im Dead,Coeurl [Crystal],2831,149,0,0
32,Sabo Meow,Excalibur [Primal],2717,169,0,8
33,Hrothmar Blackburns,Adamantoise [Aether],2695,377,222,28
34,Akari Tsuki,Adamantoise [Aether],2666,131,0,0
35,Fulheart Grit,Balmung [Crystal],2619,284,0,13
36,Azar Kaveh,Hyperion [Primal],2613,71,0,0
37,Air Azure,Rafflesia [Dynamis],2595,294,0,0
38,Kitsu Katsu,Gilgamesh [Aether],2587,304,0,0
39,Milly Mina,Cuchulainn [Dynamis],2575,252,0,0
40,Kahlil Immortalis,Diabolos [Crystal],2571,195,0,5
41,Barock Obama,Siren [Aether],2566,794,0,23
42,Lucio Harundo,Leviathan [Primal],2537,227,0,11
43,Death Reaps,Balmung [Crystal],2512,96,0,0
44,Neo Dymium,Siren [Aether],2500,294,0,2
45,Merlin Emryss,Faerie [Aether],2456,333,100,4
46,Dunkin Bonuts,Zalera [Crystal],2380,151,0,0
47,Olivia Lugria,Sargatanas [Aether],2376,465,0,10
48,Fye Alanyk,Diabolos [Crystal],2366,187,0,14
49,Kasai Kage,Adamantoise [Aether],2337,252,0,0
50,Buzzy Wuzzy,Balmung [Crystal],2281,41,0,1
51,Rae Rea,Adamantoise [Aether],2200,81,3,5
52,Boulder Beholder,Faerie [Aether],2185,61,0,0
53,Sea Jae,Sargatanas [Aether],2138,164,0,0
