Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Terro Mctwisp,Leviathan [Primal],1291,15,397,4
2,Suhr Zarek,Balmung [Crystal],1207,26,0,0
3,Ash Meow,Faerie [Aether],1190,23,890,17
4,Mavis Enyo,Excalibur [Primal],1091,13,97,1
5,Crow Meow,Jenova [Aether],1082,22,682,16
6,Pekora Meow,Leviathan [Primal],999,45,200,10
7,Aibertain Mando,Jenova [Aether],990,25,597,16
8,Hrothmar Blackburns,Adamantoise [Aether],919,54,0,21
9,Celesse Archon,Midgardsormr [Aether],902,17,0,0
10,Death Reaps,Balmung [Crystal],883,23,200,2
11,Uki Yo,Adamantoise [Aether],879,16,94,6
12,Fye Alanyk,Diabolos [Crystal],815,19,0,1
13,Bisukito Neko,Zalera [Crystal],797,19,302,5
14,Fulheart Grit,Balmung [Crystal],787,12,0,0
15,Haha Unless,Faerie [Aether],706,19,200,4
16,Merlin Emryss,Faerie [Aether],699,29,0,7
17,Meteor Moon,Rafflesia [Dynamis],693,33,187,21
18,Kasai Kage,Adamantoise [Aether],618,14,0,0
19,Sylvie Chan,Brynhildr [Crystal],609,19,204,4
20,No Buts,Zalera [Crystal],603,32,399,15
21,Akari Tsuki,Adamantoise [Aether],602,14,0,0
22,Yui Fins,Adamantoise [Aether],600,47,600,17
23,Myu Meow,Leviathan [Primal],599,9,100,1
24,Miyu Moon,Mateus [Crystal],597,12,198,3
25,Olivia Lugria,Sargatanas [Aether],589,29,0,10
26,Tomo Kote,Gilgamesh [Aether],583,20,0,0
27,Lucio Harundo,Leviathan [Primal],512,43,0,10
28,Lillian Floresca,Diabolos [Crystal],507,28,2,1
29,Barock Obama,Siren [Aether],504,16,5,9
30,Ham Baga,Balmung [Crystal],501,11,0,0
31,Pvp Badboy,Sargatanas [Aether],499,21,100,1
32,Jay Vermillion,Adamantoise [Aether],497,27,0,2
33,Vittorio Moretti,Diabolos [Crystal],496,51,396,9
34,Seto Mimyho,Behemoth [Primal],399,19,0,0
35,Velvet Mordio,Exodus [Primal],399,7,0,0
36,Lelouch Masamune,Malboro [Crystal],397,48,0,8
37,Air Azure,Rafflesia [Dynamis],397,20,0,0
38,Sanahi Keto,Hyperion [Primal],391,7,96,1
39,Sparrow Hawk,Seraph [Dynamis],390,7,0,0
40,Rubedo Ginshi,Lamia [Primal],306,12,0,0
41,Zeta Salazar,Midgardsormr [Aether],301,26,0,5
42,Garu Kettle,Behemoth [Primal],301,5,0,0
43,Onion Little,Zalera [Crystal],300,13,0,0
44,Rin Denma,Gilgamesh [Aether],300,3,0,0
45,Vann Healsing,Coeurl [Crystal],298,3,0,0
45,Yulia Lunaria,Coeurl [Crystal],298,3,0,0
47,Ryan Hoshiko,Lamia [Primal],297,5,0,0
48,Nero K'ten,Lamia [Primal],296,19,0,7
49,Kuina Kagetsu,Ultros [Primal],296,16,97,5
50,Koifucius Dao-master,Exodus [Primal],292,6,0,0
51,Eyre Stahl,Maduin [Dynamis],202,1,0,0
52,Nero Cor,Cactuar [Aether],201,17,0,5
53,Rusheel Vasscus,Adamantoise [Aether],201,1,0,0
54,Azar Kaveh,Mateus [Crystal],200,20,0,0
55,Aiberaint Mando,Faerie [Aether],200,13,0,0
56,Big Three,Zalera [Crystal],200,5,0,0
57,Raiden Meow,Halicarnassus [Dynamis],200,4,0,0
58,P'roto Idola,Brynhildr [Crystal],200,3,0,0
58,Sarantsatsral Kha,Behemoth [Primal],200,3,100,2
60,Joe Biden',Seraph [Dynamis],200,2,0,0
61,Air Weaver,Coeurl [Crystal],200,1,0,0
62,Size Difference,Sargatanas [Aether],199,34,0,0
63,Novical Astrea,Exodus [Primal],199,13,0,5
64,Raphtalia Solari,Adamantoise [Aether],199,6,0,0
65,Silanah Sylphrena,Faerie [Aether],199,5,0,0
