Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Pekora Meow,Leviathan [Primal],3159,124,,
2,Meteor Moon,Rafflesia [Dynamis],3159,72,,
3,Miyu Moon,Mateus [Crystal],3096,222,,
4,Sylvie Chan,Brynhildr [Crystal],3079,143,,
5,Artesia Saeyrs,Sargatanas [Aether],3065,97,,
6,Tomo Kote,Gilgamesh [Aether],3064,85,,
7,Aoi Kami,Gilgamesh [Aether],3061,206,,
8,Seto Mimyho,Behemoth [Primal],3019,103,,4
9,Suhr Zarek,Balmung [Crystal],3007,178,,
10,Azar Kaveh,Hyperion [Primal],2927,467,,34
11,Rion Twosland,Ultros [Primal],2868,119,294,4
12,Rae Rea,Seraph [Dynamis],2754,206,,7
13,Shimori Bunihara,Lamia [Primal],2718,188,,
14,Emi Meow,Siren [Aether],2653,145,289,18
15,Sanahi Keto,Hyperion [Primal],2645,143,,
16,Crow Meow,Jenova [Aether],2577,78,,
17,Lucio Harundo,Leviathan [Primal],2503,316,,11
18,Original Dsi,Gilgamesh [Aether],2489,137,,
19,Doomballoon Dapingus,Diabolos [Crystal],2448,102,,11
20,Sanguinius Smolblood,Kraken [Dynamis],2443,350,,19
21,Aesa Iys,Kraken [Dynamis],2398,111,602,11
22,Sus Ge,Zalera [Crystal],2384,255,,
23,Kahlil Immortalis,Diabolos [Crystal],2361,117,,2
24,Uki Yo,Adamantoise [Aether],2360,67,,
25,Terro Beoulve,Coeurl [Crystal],2271,99,,
26,Ahri Meow,Leviathan [Primal],2265,114,199,22
27,Sparrow Hawk,Seraph [Dynamis],2251,65,,
28,Mtn Boop,Brynhildr [Crystal],2249,110,,
29,Fulheart Grit,Balmung [Crystal],2225,195,,20
30,Ser Oswald,Mateus [Crystal],2210,65,,2
31,Kairi Rune,Hyperion [Primal],2202,437,,3
32,Merlin Emryss,Faerie [Aether],2108,192,,5
33,Kuina Kagetsu,Ultros [Primal],2106,98,,5
34,Nini Kaukau,Leviathan [Primal],2092,97,,
35,Oikawa Toru,Seraph [Dynamis],2073,52,,
36,Rubedo Ginshi,Lamia [Primal],2067,98,,
37,Death Reaps,Balmung [Crystal],2058,145,,
38,Hrothmar Blackburns,Adamantoise [Aether],2055,231,,10
39,Caedes Rozwell,Ultros [Primal],2041,104,,
40,Illlllllll Illlllllll,Faerie [Aether],2025,164,,
41,Ton'au Twostick,Sargatanas [Aether],2019,163,,1
42,Neco-arc Myuri,Balmung [Crystal],2012,125,,17
43,Sovereign Phil,Goblin [Crystal],2005,80,,
44,Hollow Bastion,Rafflesia [Dynamis],2003,93,1,3
45,Unagi Box,Cuchulainn [Dynamis],1979,105,,
46,Air Weaver,Coeurl [Crystal],1929,61,,
47,Veloce Visrin,Faerie [Aether],1893,51,,
48,Katsumi Sakimuri,Balmung [Crystal],1889,148,501,22
49,Akari Tsuki,Adamantoise [Aether],1882,74,100,5
50,Ash Kitamura,Faerie [Aether],1877,26,,
51,Neo Dymium,Siren [Aether],1801,100,,
52,Fong Walker,Exodus [Primal],1795,249,,4
53,Ni Xi,Malboro [Crystal],1789,286,,6
54,Goemon Da-cat,Behemoth [Primal],1789,44,,
55,Bing Bing,Faerie [Aether],1782,39,,
56,Big Three,Zalera [Crystal],1758,123,,
57,Fye Alanyk,Diabolos [Crystal],1750,445,,5
58,Barock Obama,Siren [Aether],1738,278,,
59,Gojo San,Gilgamesh [Aether],1717,46,,
60,Lily Evenstar,Brynhildr [Crystal],1693,149,,
61,Olivia Lugria,Sargatanas [Aether],1687,128,,13
62,Dandy Lyon,Leviathan [Primal],1686,44,,
63,Naomi Hakoma,Halicarnassus [Dynamis],1678,30,,
64,Son Giyu,Coeurl [Crystal],1673,94,,5
65,Lelouch Masamune,Malboro [Crystal],1640,253,,15
66,Lulu Meow,Seraph [Dynamis],1604,89,,
67,Zeta Salazar,Midgardsormr [Aether],1603,149,,
68,Hana Wizu,Coeurl [Crystal],1590,93,,
69,Rage Bait,Marilith [Dynamis],1581,68,,
70,Silanah Sylphrena,Faerie [Aether],1574,92,,
71,Mac Arena,Lamia [Primal],1574,55,,
72,Koiaki Nishimon,Exodus [Primal],1567,99,476,8
73,Kotsu Inaro,Exodus [Primal],1560,157,,5
74,Josh Trigiani,Lamia [Primal],1519,287,,
75,Boulder Beholder,Faerie [Aether],1519,67,,
76,Grace Welkin,Balmung [Crystal],1517,198,,
77,Void Stellarvore,Exodus [Primal],1512,71,,
78,Noga Cosnoh,Cactuar [Aether],1511,159,,
79,Gary Verny,Behemoth [Primal],1511,49,,
80,Sain Kogseguabragh,Goblin [Crystal],1504,78,100,1
81,Strolling Sapling,Sargatanas [Aether],1502,134,,
82,Viltrix Valecent,Gilgamesh [Aether],1502,104,,
83,Satoshi Itaori,Golem [Dynamis],1501,35,707,12
84,Bepsi Kola,Adamantoise [Aether],1494,62,,
85,Xiao Longbao,Excalibur [Primal],1488,456,,15
86,Celesse Archon,Midgardsormr [Aether],1479,65,,
87,P'nche Gato,Exodus [Primal],1478,77,,8
88,Black Beretta,Midgardsormr [Aether],1473,137,,
89,Nero K'ten,Lamia [Primal],1436,121,,6
90,Roland Montpensier,Mateus [Crystal],1407,99,,
91,Sice Seven,Cactuar [Aether],1406,53,,
92,Kheda Mars,Excalibur [Primal],1402,78,,
93,Kiki Valentina,Behemoth [Primal],1398,115,400,18
94,Buzzy Wuzzy,Balmung [Crystal],1397,31,196,4
95,Great Depression,Gilgamesh [Aether],1391,118,,
96,Venaire Sylvia,Malboro [Crystal],1383,125,,
97,Kitsu Katsu,Gilgamesh [Aether],1361,192,,
98,Ath Anilin,Lamia [Primal],1349,127,,
99,Micro Uryade,Sargatanas [Aether],1344,134,,
100,Thya Bowtail,Gilgamesh [Aether],1325,61,,
101,Severe Person,Zalera [Crystal],1315,58,,
102,Lux Mas,Sargatanas [Aether],1314,102,599,7
103,Adrianne Lehman,Jenova [Aether],1313,326,,10
104,Tom Diesche,Brynhildr [Crystal],1296,68,,
105,Suhr Zarek,Goblin [Crystal],1296,32,,
106,Tiny Sosig,Balmung [Crystal],1293,168,,10
107,Key Factor,Leviathan [Primal],1293,105,,1
108,Rusheel Vasscus,Adamantoise [Aether],1290,317,,1
109,Bigg Succ,Coeurl [Crystal],1283,28,,4
110,Aurora Aura,Coeurl [Crystal],1280,331,,22
111,Ais Syensu,Exodus [Primal],1275,36,,
112,Tio Tot,Jenova [Aether],1267,29,598,8
113,Snowsteps Frozenheart,Siren [Aether],1206,73,,
114,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],1204,46,,
115,Orpheus Laine,Gilgamesh [Aether],1199,40,,
116,Relena Quaversie,Balmung [Crystal],1194,72,,
117,Chris Conroy,Excalibur [Primal],1190,134,,
118,Mash Buttons,Ultros [Primal],1183,112,,5
119,Ryun Away,Balmung [Crystal],1182,227,,17
120,Yos Sy,Jenova [Aether],1175,191,196,3
121,Aveise Sigrid,Marilith [Dynamis],1172,112,,
122,Pink Perfection,Behemoth [Primal],1169,204,,
123,P'roto Idola,Brynhildr [Crystal],1118,157,512,20
124,Local-area Network,Cactuar [Aether],1113,113,,
125,Zeke Ewoza,Sargatanas [Aether],1111,51,,
126,Tira Mitsu,Famfrit [Primal],1098,267,200,25
127,Virtus Pendragon,Gilgamesh [Aether],1097,65,,
128,Finch Curador,Leviathan [Primal],1089,50,,
129,Maeva Atoel,Balmung [Crystal],1087,64,,
130,Stavros Valeksejeva,Coeurl [Crystal],1082,107,,1
131,Xiao Baobao,Gilgamesh [Aether],1025,118,,1
132,Hitori Bocchi,Golem [Dynamis],1025,93,,
133,Yui Fins,Adamantoise [Aether],1019,501,,4
134,Doosomini Potini,Goblin [Crystal],1009,56,,5
135,Fenrir Mani,Siren [Aether],992,215,,30
136,La Bubu,Diabolos [Crystal],977,56,,
137,Diana Guillard,Siren [Aether],969,106,,
138,D'sussy Fortnite,Behemoth [Primal],967,171,,
139,Chibi Menace,Adamantoise [Aether],916,134,,
140,Mavis Enyo,Excalibur [Primal],915,24,,
141,Zack Arkwright,Malboro [Crystal],915,19,,
142,Divine Zr,Gilgamesh [Aether],913,80,,
143,Io Isana,Coeurl [Crystal],909,46,,
144,Jehuty Apophis,Exodus [Primal],908,55,,
145,Chronochaos Asura,Excalibur [Primal],906,156,,
146,Nanamie Namie,Seraph [Dynamis],906,114,,
147,Azure End,Rafflesia [Dynamis],906,105,,
148,Kiss Bunny,Behemoth [Primal],903,93,,
149,Fyn Chii,Gilgamesh [Aether],902,91,,
150,Alice Schuberg,Behemoth [Primal],901,49,,
151,Kjoldyr Thunderhowl,Mateus [Crystal],897,105,797,17
152,Mythic Wolf,Ultros [Primal],896,105,401,22
153,Fujiko Xyli,Malboro [Crystal],894,341,,4
154,Zephyr Tempest,Behemoth [Primal],892,170,,
155,Sable Nito,Marilith [Dynamis],892,93,,
156,Izimzi Yahu,Brynhildr [Crystal],891,72,,7
157,Finrod Hatewatcher,Hyperion [Primal],889,270,,
158,Rachada Fhio,Lamia [Primal],889,117,,15
159,Zan Getsu,Midgardsormr [Aether],888,83,,
160,Anu Deragona,Famfrit [Primal],887,228,,
161,Octavia Sinclair,Behemoth [Primal],881,261,,
162,Bon Ten,Seraph [Dynamis],881,64,881,15
163,Reginald Cleuth,Leviathan [Primal],869,135,,
164,Moon Eclipse,Faerie [Aether],807,51,,
165,Ash Ymir,Gilgamesh [Aether],804,144,,4
166,Charlie Zelenoff,Cuchulainn [Dynamis],801,57,,
167,Syhrtrachyn Roelohwyn,Cuchulainn [Dynamis],800,76,,
168,Very Loooooooooooong,Hyperion [Primal],798,146,,11
169,Xebcnwsfso Crjendbcue,Golem [Dynamis],795,81,,
170,Yulia Lunaria,Coeurl [Crystal],794,39,97,1
171,Vann Healsing,Coeurl [Crystal],793,66,,
172,Keanu Weaves,Leviathan [Primal],793,40,,9
173,Irene Jacquineaux,Balmung [Crystal],787,82,,
174,Yuki Yozora,Faerie [Aether],785,37,,
175,Sarantsatsral Kha,Behemoth [Primal],780,169,100,1
176,Macro Meow,Gilgamesh [Aether],718,28,,
177,Ody Fireflye,Ultros [Primal],714,242,,15
178,Hoshi Miya,Gilgamesh [Aether],705,114,,
179,Angelia Argent,Seraph [Dynamis],704,176,,
180,Aladar Treestar,Gilgamesh [Aether],704,175,,
181,Ezekiell Zepol,Excalibur [Primal],704,70,,
182,Pio Arphio,Kraken [Dynamis],704,32,,
183,Aibertain Mando,Jenova [Aether],703,307,,10
184,Aelara Nightelm,Maduin [Dynamis],703,120,,
185,Gracidea Blossom,Sargatanas [Aether],703,43,197,4
186,Skyanar Tyrunas,Coeurl [Crystal],702,49,,
187,Chi Albarea,Balmung [Crystal],702,46,,
188,Free Healthcare,Famfrit [Primal],701,47,205,2
188,Thwosau Uyagir,Ultros [Primal],701,47,,
190,Rhynnian Embersong,Mateus [Crystal],701,24,397,4
191,Sovereign Philia,Goblin [Crystal],695,53,,
192,Sable Snowball,Gilgamesh [Aether],694,92,,
193,Leorex Fulguro,Sargatanas [Aether],694,56,,
194,Esper Freya,Excalibur [Primal],694,34,,
195,Cayen Cen,Cactuar [Aether],693,136,,
196,Senka Kyo,Excalibur [Primal],691,89,,
197,Cain Molkoh,Goblin [Crystal],690,212,,13
198,Vestelle Sawyer,Gilgamesh [Aether],689,35,,
199,Tseh Aliapoh,Zalera [Crystal],621,93,,
200,Xianra Bryne,Excalibur [Primal],609,125,,10
201,Elia' Martell,Lamia [Primal],605,471,198,19
202,Indigo Plateau,Zalera [Crystal],603,106,,
203,Mahou Mahou,Kraken [Dynamis],603,30,,
204,Fui Yins,Halicarnassus [Dynamis],603,27,,4
205,Mirae Malaguld,Famfrit [Primal],602,93,,
206,Jun Ai,Diabolos [Crystal],601,6,,
207,You Sea,Gilgamesh [Aether],599,182,,
208,Apocalus Van'zandt,Hyperion [Primal],598,231,,5
209,Sunday Silence,Golem [Dynamis],598,44,,
210,Clown Fish,Diabolos [Crystal],597,229,,4
211,Shmuckles Mcfuzzyface,Coeurl [Crystal],597,123,,3
212,Katka Kogoro,Behemoth [Primal],597,61,,
213,Caius Dreemurr,Behemoth [Primal],596,195,,
214,Hendrick Sands,Exodus [Primal],596,99,,
215,Thelmus Moon,Brynhildr [Crystal],595,340,,
216,Brian Ricardo,Adamantoise [Aether],594,47,,
217,Snowaux Noquana,Goblin [Crystal],593,46,,3
218,Reed Diamond,Ultros [Primal],591,122,,
219,Deez Crits,Excalibur [Primal],588,114,,
220,Rachna Rindou,Brynhildr [Crystal],587,59,94,2
221,No Bee,Lamia [Primal],585,63,,
222,Noel Bunny,Behemoth [Primal],506,179,,1
223,H'yui Wizu,Coeurl [Crystal],504,267,2,10
224,Hunie Pop,Ultros [Primal],504,214,,7
225,Nameless Soldier,Excalibur [Primal],501,101,401,7
226,Orea Brador,Exodus [Primal],498,108,200,7
227,Seven Stand,Cactuar [Aether],498,53,,
228,Belvia Elderberry,Famfrit [Primal],497,242,,
229,Nyanta Nyanjima,Siren [Aether],497,103,,
230,Rion Cousland,Excalibur [Primal],495,116,,
231,Milla Wilder,Exodus [Primal],494,158,,
232,Savard Qerel,Diabolos [Crystal],491,192,,4
233,Eris Valens,Ultros [Primal],490,57,,
234,Gidding Mimid,Exodus [Primal],482,162,,9
235,Larxis Themage,Mateus [Crystal],411,206,,2
236,Obelisk Silvermoon,Zalera [Crystal],409,24,5,8
237,Kanae Meow,Ultros [Primal],408,204,,
238,Minato Maki,Excalibur [Primal],406,23,3,1
239,Nero Cor,Cactuar [Aether],405,225,,
240,Kitty Crimes,Faerie [Aether],405,117,,
241,Somnidemn Serdorm,Goblin [Crystal],405,107,,
242,Horan Lou,Brynhildr [Crystal],404,184,,16
243,Ozen Sol'id,Lamia [Primal],403,287,,4
244,Shiri Grey,Cactuar [Aether],402,127,104,3
245,Jenova Catgirl,Balmung [Crystal],402,110,,
246,Shannon Le-turtle,Seraph [Dynamis],401,273,,1
247,Aria Orchestria,Midgardsormr [Aether],401,125,,
248,Fine Wine,Midgardsormr [Aether],400,44,,
249,Triscal Kasmir,Hyperion [Primal],399,238,,4
250,Mistress Naani,Jenova [Aether],399,198,,7
251,Fyoriah Aliapoh,Faerie [Aether],399,80,,
252,Shana Ni,Jenova [Aether],398,107,,1
253,Rekkuzo Hassan,Brynhildr [Crystal],397,444,,15
254,Hounin Shan,Exodus [Primal],397,148,,
255,Yue Athelas,Cactuar [Aether],397,92,,
256,Darling Miia,Gilgamesh [Aether],397,55,,
257,Dragoon Scythe,Behemoth [Primal],396,167,,
258,Hodrick Blackstone,Brynhildr [Crystal],395,32,,
259,Beatrice Dreamdemon,Lamia [Primal],391,38,,
260,Nika Arwing,Behemoth [Primal],390,77,,
261,Cecils Lunas,Brynhildr [Crystal],388,19,,
262,Last Petal,Cactuar [Aether],309,324,,32
263,Li Ah,Seraph [Dynamis],308,179,,
264,U'nazo Nunh,Midgardsormr [Aether],305,97,,
265,Aahaha Hahahahaha,Exodus [Primal],303,83,,
266,Coffee Dawg,Famfrit [Primal],303,75,,
267,Kookiki Kooki,Mateus [Crystal],303,39,,
268,Rex Gladio,Exodus [Primal],303,38,,
269,Julien Tomes,Seraph [Dynamis],302,85,,
270,Suho Thamasa,Hyperion [Primal],300,127,,
271,Denmo Mcstronghuge,Excalibur [Primal],300,89,,6
271,Monkey Ratanishu,Seraph [Dynamis],300,89,,
273,Zyvux Denchimen,Goblin [Crystal],300,80,,
274,Pallas Strife,Midgardsormr [Aether],300,77,,
275,Xen Babyque,Hyperion [Primal],300,29,,
276,Vine Uchiha,Mateus [Crystal],299,120,,
277,Jon Tanku,Gilgamesh [Aether],299,69,,
278,Taichou Milize,Leviathan [Primal],298,242,,6
279,Cookies N'cream,Lamia [Primal],298,162,,
280,Beatrix Stark,Seraph [Dynamis],298,154,,21
281,Berry Sundae,Midgardsormr [Aether],298,53,,
282,Elafacwen Meng,Faerie [Aether],298,22,,
283,Atreus Auditore,Faerie [Aether],295,27,,
284,Seki Ren,Adamantoise [Aether],292,68,,
285,Inugami San,Mateus [Crystal],289,87,,
286,Synoa Roar,Malboro [Crystal],285,105,,6
287,Sadimaru Niresong,Ultros [Primal],283,99,,
288,Rinzler Kurosaki,Siren [Aether],210,74,,
289,Rose Underwood,Leviathan [Primal],208,104,,
290,Natsu Tentsuki,Lamia [Primal],206,51,,
291,Ciel Sorrel,Zalera [Crystal],204,96,204,3
292,Forbidden Chocolate,Brynhildr [Crystal],203,163,,
293,Snoww Bunny,Behemoth [Primal],203,38,203,18
294,Yae Niijima,Lamia [Primal],202,222,,1
295,Valiaz Commatus,Lamia [Primal],202,101,,
296,Tozer Beau,Sargatanas [Aether],202,82,,
297,Rouge Sunwing,Excalibur [Primal],202,74,,
298,Sarna Umbra,Cactuar [Aether],202,59,,
299,Fuji Apple,Behemoth [Primal],202,38,,3
300,Theory Ai,Leviathan [Primal],201,270,,
