Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Emi Meow,Siren [Aether],2589,94,175,3
2,Neo Dymium,Siren [Aether],2275,49,,
3,Sanahi Keto,Hyperion [Primal],2087,54,,6
4,Terro Beoulve,Coeurl [Crystal],2017,49,104,5
5,Im Dead,Coeurl [Crystal],1869,24,299,4
6,Rubedo Ginshi,Lamia [Primal],1858,69,,
7,Original Dsi,Gilgamesh [Aether],1829,41,,
8,Doomballoon Dapingus,Diabolos [Crystal],1665,25,965,15
9,Sanguinius Smolblood,Kraken [Dynamis],1398,34,,6
10,Nini Kaukau,Leviathan [Primal],1394,55,598,21
11,Sparrow Hawk,Seraph [Dynamis],1310,43,,
12,Kairi Rune,Hyperion [Primal],1214,86,113,22
13,Doosomini Potini,Goblin [Crystal],1200,177,,18
14,Ash Kitamura,Faerie [Aether],1097,41,,14
15,Fain Doncel'aram,Jenova [Aether],1083,32,,
16,Pekora Meow,Leviathan [Primal],1014,24,,
17,Lucio Harundo,Leviathan [Primal],996,63,,5
18,Myu Meow,Leviathan [Primal],993,48,494,11
19,Xiao Baobao,Gilgamesh [Aether],991,12,,
20,Xiao Longbao,Excalibur [Primal],990,77,197,4
21,Kukusa Kusa,Kraken [Dynamis],989,19,,
22,Mavis Enyo,Excalibur [Primal],986,46,100,1
23,Merlin Emryss,Faerie [Aether],978,26,97,4
24,Suhr Zarek,Balmung [Crystal],938,27,,
25,Jehuty Apophis,Exodus [Primal],897,42,102,10
26,Goemon Da-cat,Behemoth [Primal],790,69,,11
27,La Bubu,Diabolos [Crystal],719,53,98,5
28,Skyanar Tyrunas,Coeurl [Crystal],706,83,301,12
29,Shuba Rashii,Adamantoise [Aether],703,70,503,15
30,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],703,31,3,4
31,Kuina Kagetsu,Ultros [Primal],703,9,,
32,Aibertain Mando,Jenova [Aether],702,116,,12
33,Gojo San,Gilgamesh [Aether],697,15,597,6
34,Medoh Meshi,Kraken [Dynamis],690,17,,
35,Somnidemn Serdorm,Goblin [Crystal],689,98,,13
36,Sena Yehn,Adamantoise [Aether],689,10,,
37,Kitsu Katsu,Gilgamesh [Aether],606,16,,
38,Buzzy Wuzzy,Balmung [Crystal],600,11,,
39,Aoi Kami,Gilgamesh [Aether],598,15,,6
40,Moon Eclipse,Faerie [Aether],596,37,,2
41,Roric Thorn,Faerie [Aether],596,8,,
42,Atreus Auditore,Faerie [Aether],578,18,,
43,Sylvie Chan,Brynhildr [Crystal],507,27,,1
44,Lily Evenstar,Brynhildr [Crystal],495,46,,
45,Void Stellarvore,Exodus [Primal],494,4,,
46,Fyn Chii,Gilgamesh [Aether],482,59,,
47,Vann Healsing,Coeurl [Crystal],409,10,,
