Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],3096,222,389,13
2,Artesia Saeyrs,Sargatanas [Aether],3065,97,,
3,Aoi Kami,Gilgamesh [Aether],3061,206,1056,15
4,Pekora Meow,Leviathan [Primal],3061,123,,
5,Meteor Moon,Rafflesia [Dynamis],3060,71,574,24
6,Seto Mimyho,Behemoth [Primal],3019,99,276,7
7,Azar Kaveh,Hyperion [Primal],2927,384,,42
8,Suhr Zarek,Balmung [Crystal],2797,147,,26
9,Shimori Bunihara,Lamia [Primal],2718,185,,10
10,Sanahi Keto,Hyperion [Primal],2645,118,,13
11,Crow Meow,Jenova [Aether],2577,74,,4
12,Rae Rea,Seraph [Dynamis],2550,184,,1
13,Original Dsi,Gilgamesh [Aether],2489,86,,3
14,Sanguinius Smolblood,Kraken [Dynamis],2443,267,,29
15,Bo Nuts,Zalera [Crystal],2377,212,34,19
16,Doomballoon Dapingus,Diabolos [Crystal],2366,55,,5
17,Kahlil Immortalis,Diabolos [Crystal],2361,113,,7
18,Uki Yo,Adamantoise [Aether],2360,65,95,4
19,Lucio Harundo,Leviathan [Primal],2298,281,195,17
20,Terro Beoulve,Coeurl [Crystal],2271,73,,4
21,Fulheart Grit,Balmung [Crystal],2225,141,,
22,Kairi Rune,Hyperion [Primal],2202,379,111,41
23,Tomo Kote,Gilgamesh [Aether],2113,36,100,4
24,Merlin Emryss,Faerie [Aether],2108,180,,21
25,Kuina Kagetsu,Ultros [Primal],2106,69,707,19
26,Emi Meow,Siren [Aether],2095,90,,2
27,Death Reaps,Balmung [Crystal],2058,133,,1
28,Hrothmar Blackburns,Adamantoise [Aether],2055,160,,21
29,Caedes Rozwell,Ultros [Primal],2041,100,196,6
30,Illlllllll Illlllllll,Faerie [Aether],2025,163,,
31,Ton'au Twostick,Sargatanas [Aether],2019,162,,
32,Veloce Visrin,Faerie [Aether],1893,51,,
33,Unagi Box,Cuchulainn [Dynamis],1881,104,203,28
34,Ash Kitamura,Faerie [Aether],1877,26,,
35,Air Weaver,Coeurl [Crystal],1865,59,99,27
36,Sparrow Hawk,Seraph [Dynamis],1858,59,777,16
37,Neco-arc Myuri,Balmung [Crystal],1822,90,,
38,Ser Oswald,Mateus [Crystal],1805,54,1042,22
39,Neo Dymium,Siren [Aether],1801,82,,12
40,Mtn Boop,Brynhildr [Crystal],1791,88,,2
41,Sovereign Phil,Goblin [Crystal],1789,72,,
42,Goemon Da-cat,Behemoth [Primal],1789,44,,
43,Rion Twosland,Ultros [Primal],1786,96,389,15
44,Bing Bing,Faerie [Aether],1782,39,,
45,Big Three,Zalera [Crystal],1758,121,9,23
46,Fye Alanyk,Diabolos [Crystal],1750,360,,48
47,Barock Obama,Siren [Aether],1738,206,,18
48,Sylvie Chan,Brynhildr [Crystal],1722,120,,2
49,Hollow Bastion,Rafflesia [Dynamis],1721,79,,5
50,Gojo San,Gilgamesh [Aether],1717,46,,
51,Fong Walker,Exodus [Primal],1705,168,,7
52,Lily Evenstar,Brynhildr [Crystal],1693,149,,10
53,Olivia Lugria,Sargatanas [Aether],1687,88,403,21
54,Dandy Lyon,Leviathan [Primal],1686,44,295,4
55,Ni Xi,Malboro [Crystal],1683,209,1,16
56,Rubedo Ginshi,Lamia [Primal],1669,82,183,10
57,Lulu Meow,Seraph [Dynamis],1604,89,,3
58,Rage Bait,Marilith [Dynamis],1581,68,,
59,Naomi Hakoma,Halicarnassus [Dynamis],1579,28,395,6
60,Oikawa Toru,Seraph [Dynamis],1576,45,,
61,Silanah Sylphrena,Faerie [Aether],1574,92,,
62,Mac Arena,Lamia [Primal],1574,55,,
