Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Neo Dymium,Siren [Aether],3417,216,,
2,Sanahi Keto,Hyperion [Primal],3256,121,,
3,Im Dead,Coeurl [Crystal],3142,54,,
4,Suhr Zarek,Balmung [Crystal],3100,85,,
5,Ash Kitamura,Faerie [Aether],3086,211,,
6,Roric Le'potaato,Mateus [Crystal],3065,98,,
7,Emi Meow,Siren [Aether],3043,115,,
8,Merlin Emryss,Faerie [Aether],2922,146,92,12
9,Fulheart Grit,Balmung [Crystal],2883,142,,4
10,Lucio Harundo,Leviathan [Primal],2715,396,,14
11,Sparrow Hawk,Seraph [Dynamis],2637,182,,
12,Roric Thorn,Faerie [Aether],2629,126,269,30
13,Doomballoon Dapingus,Diabolos [Crystal],2557,70,292,3
14,Sanguinius Smolblood,Kraken [Dynamis],2342,133,,
15,Terro Beoulve,Coeurl [Crystal],2223,80,,1
16,Noga Cosnoh,Cactuar [Aether],2186,244,92,4
17,Fain Doncel'aram,Jenova [Aether],2185,74,,
18,Gojo San,Gilgamesh [Aether],2113,138,,
19,A'b X'y,Faerie [Aether],2113,62,,
20,Rhvne Astra,Siren [Aether],2046,81,,
21,Ser Oswald,Mateus [Crystal],2014,83,,
22,Micro Uryade,Sargatanas [Aether],2007,79,,4
23,Fye Alanyk,Diabolos [Crystal],1984,131,,5
24,Cecils Lunas,Brynhildr [Crystal],1974,106,,2
25,Pekora Meow,Leviathan [Primal],1909,43,,
26,Kahlil Immortalis,Diabolos [Crystal],1898,206,303,11
27,Aengrist Bunny,Behemoth [Primal],1869,124,91,8
28,Rubedo Ginshi,Lamia [Primal],1858,135,,
29,Gimme Cover,Rafflesia [Dynamis],1857,73,,
30,Original Dsi,Gilgamesh [Aether],1831,52,,
31,La Bubu,Diabolos [Crystal],1818,210,,1
32,Jay Vermillion,Adamantoise [Aether],1796,107,,
33,Silanah Sylphrena,Faerie [Aether],1789,104,,3
34,Kairi Rune,Hyperion [Primal],1787,366,,17
35,Tassarie Winter,Seraph [Dynamis],1775,53,,
36,Xiao Longbao,Excalibur [Primal],1699,487,,35
37,Tomo Kote,Gilgamesh [Aether],1692,49,,
38,Nini Kaukau,Leviathan [Primal],1681,94,,
39,Xiao Baobao,Gilgamesh [Aether],1650,79,,2
40,Goemon Da-cat,Behemoth [Primal],1628,133,,
41,Aerika Erys,Faerie [Aether],1616,118,,
42,Kuina Kagetsu,Ultros [Primal],1609,28,,1
43,Sponge Cake,Faerie [Aether],1599,30,,
44,Ash Ymir,Gilgamesh [Aether],1595,117,,5
45,Ryan Hoshiko,Lamia [Primal],1594,165,,
46,Aoi Kami,Gilgamesh [Aether],1584,158,,3
47,Barock Obama,Siren [Aether],1580,161,,12
48,Myu Meow,Leviathan [Primal],1579,142,,15
49,Aiona Lux,Leviathan [Primal],1520,37,614,11
50,Xen Babyque,Hyperion [Primal],1514,45,,
51,Mavis Enyo,Excalibur [Primal],1506,75,,
52,Lelouch Masamune,Malboro [Crystal],1502,131,,
53,Doosomini Potini,Goblin [Crystal],1496,556,,15
54,Ham Baga,Balmung [Crystal],1492,85,,
55,Big Three,Zalera [Crystal],1491,27,,
56,Kookiki Kooki,Mateus [Crystal],1389,46,2,5
57,Seto Mimyho,Behemoth [Primal],1389,18,,
58,Crow Meow,Jenova [Aether],1387,20,,
59,Meteor Moon,Rafflesia [Dynamis],1381,25,96,4
60,Raphtalia Solari,Adamantoise [Aether],1339,74,,
61,Lulu Meow,Seraph [Dynamis],1336,43,611,9
62,Hrothmar Blackburns,Adamantoise [Aether],1330,297,23,16
63,Skyanar Tyrunas,Coeurl [Crystal],1330,187,,3
64,Buzzy Wuzzy,Balmung [Crystal],1319,65,,
65,Sylvie Chan,Brynhildr [Crystal],1303,82,,
66,Orpheus Laine,Gilgamesh [Aether],1299,69,,
67,Io Isana,Coeurl [Crystal],1286,70,100,1
68,Mac Arena,Adamantoise [Aether],1218,33,404,6
69,Yulia Lunaria,Coeurl [Crystal],1217,66,,
70,Brian Ricardo,Adamantoise [Aether],1199,43,,6
71,Surisuri Mahasuri,Coeurl [Crystal],1194,18,,
72,Vann Healsing,Coeurl [Crystal],1168,51,,7
73,Zeta Salazar,Midgardsormr [Aether],1082,201,,
74,Death Reaps,Balmung [Crystal],1049,104,,5
75,Moon Eclipse,Faerie [Aether],1009,52,,1
76,Yui Fins,Adamantoise [Aether],1000,541,,14
77,Snoww Bunny,Behemoth [Primal],997,143,,5
78,Jun Ai,Diabolos [Crystal],995,108,,
79,Ametrine Illuminis,Lamia [Primal],989,74,,
80,Kukusa Kusa,Kraken [Dynamis],989,19,,
81,Alma Braver,Goblin [Crystal],986,119,,
82,Zack Arkwright,Malboro [Crystal],927,41,,
83,Relena Quaversie,Balmung [Crystal],907,276,,4
84,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],907,39,,
85,Bigg Succ,Coeurl [Crystal],906,36,,
86,Jehuty Apophis,Exodus [Primal],897,66,,
87,Celesse Archon,Midgardsormr [Aether],891,118,,13
88,Eyre Stahl,Maduin [Dynamis],829,37,,4
89,Obelisk Silvermoon,Zalera [Crystal],821,83,,
90,Nanamie Namie,Seraph [Dynamis],817,28,,
91,Kitsu Katsu,Gilgamesh [Aether],810,20,,
92,Lux Mas,Sargatanas [Aether],809,132,,1
93,Tom Diesche,Brynhildr [Crystal],804,10,,
94,Sitri Belladonna,Maduin [Dynamis],799,89,,
95,Sumia Flor,Jenova [Aether],798,44,,
96,Jb Faintsmile,Sargatanas [Aether],798,27,,
97,Baka Bao,Gilgamesh [Aether],791,54,,
98,Rhaska Varro,Balmung [Crystal],786,74,,
99,Nyan Ski,Hyperion [Primal],782,62,,
100,Milly Mina,Cuchulainn [Dynamis],779,27,98,3
101,Pharys Ra,Excalibur [Primal],729,217,,14
102,Shuba Rashii,Adamantoise [Aether],728,148,,
103,Biya Cat,Seraph [Dynamis],720,168,,8
104,Charred Xea,Leviathan [Primal],712,139,,2
105,Kiki Haruko,Behemoth [Primal],706,91,,4
106,Zeke Ewoza,Sargatanas [Aether],706,16,,
107,Vestelle Sawyer,Gilgamesh [Aether],703,10,,
108,Aibertain Mando,Jenova [Aether],702,269,,
109,Yosugano Sora,Halicarnassus [Dynamis],700,63,,1
110,Yae Niijima,Lamia [Primal],697,209,207,5
111,Dawnre Prime,Mateus [Crystal],696,126,,
112,Fyn Chii,Gilgamesh [Aether],695,101,,
113,Sol Ace,Adamantoise [Aether],693,60,,
114,Virtus Pendragon,Gilgamesh [Aether],693,46,,
115,Mash Buttons,Ultros [Primal],693,29,,3
116,Somnidemn Serdorm,Goblin [Crystal],689,127,,
117,Mew Yuki,Balmung [Crystal],686,36,,
118,Atreus Auditore,Faerie [Aether],681,19,,
119,Suho Thamasa,Hyperion [Primal],620,67,,
120,Greenage Hudson,Mateus [Crystal],617,183,,17
121,Jerilith Alrin,Exodus [Primal],611,167,,7
122,Air Weaver,Coeurl [Crystal],610,38,,
123,Finrod Hatewatcher,Hyperion [Primal],604,114,,
124,Vaal Hazak,Zalera [Crystal],602,58,,4
125,Gummy Worm,Cuchulainn [Dynamis],599,60,,
126,Fortune Days,Zalera [Crystal],599,9,,
127,Zero Dawnrose,Gilgamesh [Aether],598,124,,
128,Kota Kris,Seraph [Dynamis],598,61,,
129,Norma Jeannie,Jenova [Aether],598,58,,
130,Unagi Box,Cuchulainn [Dynamis],598,23,,
131,Atiendo Boludos,Coeurl [Crystal],596,38,,
132,Suhr Zarek,Goblin [Crystal],595,14,,
133,Mirae Malaguld,Famfrit [Primal],594,52,,
134,Coast Contra,Faerie [Aether],594,40,395,15
135,Jyren Forgyle,Sargatanas [Aether],591,52,,2
136,Homemade Butterscotch,Cuchulainn [Dynamis],590,59,,
137,Tiny Sosig,Balmung [Crystal],509,216,,7
138,Koiaki Nishimon,Exodus [Primal],509,46,,
139,Fui Yins,Halicarnassus [Dynamis],506,109,,
140,Anti Luminosity,Marilith [Dynamis],504,84,,6
141,Avocado Bunny,Behemoth [Primal],500,74,,
142,Zolzayaa Noykin,Balmung [Crystal],499,110,,
143,Xianra Bryne,Excalibur [Primal],495,141,97,2
144,Lily Evenstar,Brynhildr [Crystal],495,95,,3
145,Biscuit Kru'eger,Zalera [Crystal],494,37,,
146,Void Stellarvore,Exodus [Primal],494,4,,
147,What's Poppin',Sargatanas [Aether],493,91,,
148,Domon Arigato,Coeurl [Crystal],492,38,,
149,Hunie Pop,Ultros [Primal],414,141,,10
150,Princess- Princess,Coeurl [Crystal],413,25,,
151,Azureal Grandeur,Marilith [Dynamis],412,79,,
152,Alyosha Kara,Siren [Aether],411,121,,
153,Smug Idiot,Faerie [Aether],407,82,,
154,Mikjall Djt-yisi,Balmung [Crystal],407,69,,5
155,Olivia Lugria,Sargatanas [Aether],406,44,,
156,Glowing Orchid,Siren [Aether],404,95,,
157,Night Mare,Marilith [Dynamis],404,75,,
158,Alice Schuberg,Behemoth [Primal],404,7,,
159,Free Healthcare,Famfrit [Primal],403,149,,
160,Noble Stark,Diabolos [Crystal],403,99,102,10
161,Xeyr Aea,Diabolos [Crystal],403,26,,
162,Syhrtrachyn Roelohwyn,Cuchulainn [Dynamis],402,65,,
163,Mtn Boop,Brynhildr [Crystal],402,5,,
164,Mahou Mahou,Kraken [Dynamis],401,34,,
165,Rare Ninetytwo,Siren [Aether],400,234,,
166,Neco-arc Myuri,Balmung [Crystal],400,57,,
167,Rinzler Kurosaki,Siren [Aether],399,146,,7
168,Coffee Dawg,Famfrit [Primal],399,96,,
169,Naomi Hakoma,Halicarnassus [Dynamis],399,6,,
170,Prya Vold,Exodus [Primal],398,164,,2
171,Noel Bunny,Behemoth [Primal],397,68,,
172,Indigo Plateau,Zalera [Crystal],397,57,,
173,Teapot Sniffer,Coeurl [Crystal],397,53,,2
174,Dandy Lyon,Leviathan [Primal],397,25,,
175,Thya Bowtail,Gilgamesh [Aether],397,14,,
176,Reed Diamond,Ultros [Primal],396,106,96,12
177,Alana Mystranquil,Coeurl [Crystal],396,54,,
178,Nero K'ten,Lamia [Primal],395,106,,9
179,Valiant Wang,Exodus [Primal],393,99,,1
180,No Bee,Lamia [Primal],393,7,,1
181,Tira Mitsu,Famfrit [Primal],392,297,,9
182,Sice Seven,Cactuar [Aether],310,5,,
183,Lazarus Shade,Midgardsormr [Aether],305,69,,
184,Enya Holz,Halicarnassus [Dynamis],305,23,,
185,Backline Babygirl,Behemoth [Primal],304,3,,
186,Cj Deux,Lamia [Primal],303,257,,
