Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ser Oswald,Mateus [Crystal],5549,464,,4
2,Seto Mimyho,Behemoth [Primal],5438,339,,3
3,Suhr Zarek,Balmung [Crystal],5204,404,,2
4,Im Dead,Coeurl [Crystal],5154,188,,7
5,Legendary Ash,Faerie [Aether],4938,255,175,10
6,Emi Meow,Siren [Aether],4927,374,,
7,Hitori Bocchi,Golem [Dynamis],4923,160,189,11
8,Neo Dymium,Siren [Aether],4786,416,,
9,Miyu Moon,Adamantoise [Aether],4685,317,709,20
10,Fulheart Grit,Balmung [Crystal],4628,573,,5
11,Mia Yua,Jenova [Aether],4366,216,102,6
12,Ham Baga,Balmung [Crystal],4245,514,,
13,Doomballoon Dapingus,Diabolos [Crystal],4127,275,110,4
14,Azar Kaveh,Hyperion [Primal],4126,1122,,
15,Thya Bowtail,Gilgamesh [Aether],4110,445,,
16,Mtn Boop,Brynhildr [Crystal],4043,175,,
17,Crow Meow,Jenova [Aether],4019,131,,
18,Death Reaps,Balmung [Crystal],3885,730,,
19,Noga Cosnoh,Cactuar [Aether],3883,433,,9
20,Kairi Rune,Hyperion [Primal],3877,682,6,4
21,Meteor Moon,Rafflesia [Dynamis],3811,219,,
22,Lucio Harundo,Leviathan [Primal],3809,621,,16
23,Gojo Meow,Gilgamesh [Aether],3744,171,,
24,Lastna Hope,Excalibur [Primal],3731,199,,
25,Myu Meow,Leviathan [Primal],3728,246,,
26,Terro Beoulve,Coeurl [Crystal],3709,247,61,9
27,Pekora Meow,Leviathan [Primal],3696,308,,
28,Sea Jae,Sargatanas [Aether],3685,143,,
29,Unagi Box,Cuchulainn [Dynamis],3623,265,,
30,Milly Mina,Cuchulainn [Dynamis],3621,147,,
31,Sylvie Chan,Brynhildr [Crystal],3600,319,,7
32,Sabo Meow,Excalibur [Primal],3588,128,,
33,Roric Meow,Faerie [Aether],3493,206,,
34,Sponge Cake,Faerie [Aether],3471,100,,
35,Ahri Meow,Leviathan [Primal],3452,266,,
36,Fye Alanyk,Diabolos [Crystal],3428,749,,7
37,Suhr Zarek,Goblin [Crystal],3376,114,,
38,Nikau Milkdud,Lamia [Primal],3364,332,,
39,Goemon Da-cat,Behemoth [Primal],3340,535,,
40,Kuina Kagetsu,Ultros [Primal],3334,406,,2
41,Uki Yo,Adamantoise [Aether],3305,410,,3
42,Yui Fins,Adamantoise [Aether],3273,1155,,22
43,Sanahi Keto,Hyperion [Primal],3267,283,190,9
44,Alice Schuberg,Behemoth [Primal],3231,194,,
45,Hana Wizu,Coeurl [Crystal],3220,178,,
46,Bigg Succ,Coeurl [Crystal],3202,187,186,14
47,Fortune Days,Zalera [Crystal],3178,128,,
48,Fat Cat,Golem [Dynamis],3173,173,,
49,Sanguinius Smolblood,Kraken [Dynamis],3170,515,101,2
50,Raphtalia Solari,Adamantoise [Aether],3168,149,,
51,Peregrine Lofte,Leviathan [Primal],3165,210,,
52,Katsumi Sakimuri,Balmung [Crystal],3127,275,,
53,Sparrow Hawk,Seraph [Dynamis],3113,207,,
54,Kasai Kage,Midgardsormr [Aether],3107,477,,
55,Clown Conductor,Lamia [Primal],3103,621,,
56,Jay Vermillion,Adamantoise [Aether],3095,358,,
57,Irina Zhao,Mateus [Crystal],3087,174,,
58,Pepe Link,Ultros [Primal],3081,377,,
59,Hodrick Blackstone,Brynhildr [Crystal],3081,242,,
60,Gummy Worm,Marilith [Dynamis],3080,479,,
61,Haha Unless,Faerie [Aether],3078,94,,
62,Judas Demaio,Balmung [Crystal],3077,207,,
63,Shimori Bunihara,Lamia [Primal],3076,605,,
64,Xen Babyque,Hyperion [Primal],3075,141,,
65,Tio Tot,Jenova [Aether],3073,344,,
66,Jb Faintsmile,Sargatanas [Aether],3068,123,,
67,Mavis Enyo,Excalibur [Primal],3065,180,,
68,Sircye Xll,Sargatanas [Aether],3063,369,,
69,Rhynnian Embersong,Mateus [Crystal],3063,153,,
70,Satoshi Itaori,Golem [Dynamis],3061,87,,
71,Ellie Meeps,Lamia [Primal],3060,256,,
72,Zypris Allsbane,Leviathan [Primal],3060,136,,
73,Moze Yan-lun,Exodus [Primal],3059,145,,
74,Crazy Monkey,Gilgamesh [Aether],3052,356,,
75,Mac Arena,Adamantoise [Aether],3050,225,,
76,Medoh Meshi,Kraken [Dynamis],3050,185,,
77,Veloce Visrin,Faerie [Aether],3046,140,,
78,Renroir Galmond,Balmung [Crystal],3043,198,,
