Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],3544,84,0,0
2,Pekora Meow,Leviathan [Primal],3385,224,87,3
3,Ahri Meow,Leviathan [Primal],3135,123,0,3
4,Legendary Ash,Faerie [Aether],3092,111,0,2
5,Hollow Bastion,Rafflesia [Dynamis],2884,73,0,3
6,Sanahi Keto,Hyperion [Primal],2819,235,0,7
7,Azure Balmung,Gilgamesh [Aether],2680,54,0,0
8,Kairi Rune,Hyperion [Primal],2664,186,0,15
9,Azar Kaveh,Mateus [Crystal],2584,396,0,12
10,Barock Obama,Siren [Aether],2534,310,0,18
11,Tomo Kote,Gilgamesh [Aether],2484,173,0,11
12,Pvp Badboy,Sargatanas [Aether],2421,157,0,3
13,Fye Alanyk,Diabolos [Crystal],2417,244,259,17
14,Ham Baga,Balmung [Crystal],2389,149,0,15
15,Cyphos Ultimus,Balmung [Crystal],2389,116,0,0
16,Rin Ruki,Exodus [Primal],2297,87,0,0
17,Fulheart Grit,Balmung [Crystal],2273,104,0,13
18,Size Difference,Sargatanas [Aether],2271,178,0,0
19,Vittorio Moretti,Diabolos [Crystal],2263,132,0,0
20,Terro Beoulve,Coeurl [Crystal],2208,108,0,0
21,Rae Rea,Adamantoise [Aether],2194,34,0,0
22,Crow Meow,Jenova [Aether],2170,52,411,6
23,Suhr Zarek,Balmung [Crystal],2096,250,213,17
24,Merlin Emryss,Faerie [Aether],2090,143,0,0
25,Sanguinius Smolblood,Kraken [Dynamis],2078,122,0,2
26,Gongsun Qerel,Mateus [Crystal],2063,165,0,4
27,Emi Meow,Siren [Aether],1994,34,98,1
28,Clara Green,Gilgamesh [Aether],1982,112,0,3
29,Artesia Saeyrs,Sargatanas [Aether],1977,28,97,1
30,Olivia Lugria,Sargatanas [Aether],1969,224,199,10
31,Meteor Moon,Rafflesia [Dynamis],1942,217,0,10
32,Sylvie Chan,Brynhildr [Crystal],1846,186,0,8
33,Sparrow Hawk,Seraph [Dynamis],1790,71,496,10
34,Kahlil Immortalis,Diabolos [Crystal],1789,92,0,5
35,Xiao Longbao,Excalibur [Primal],1787,235,0,25
36,Bepsi Kola,Adamantoise [Aether],1707,153,0,20
37,Air Azure,Rafflesia [Dynamis],1703,112,395,21
37,Myu Meow,Leviathan [Primal],1703,112,0,1
39,Show Maker,Kraken [Dynamis],1699,107,0,0
40,Kylis Pendragon,Balmung [Crystal],1685,227,0,0
41,Marci Meow,Balmung [Crystal],1683,74,0,0
42,Zypris Allsbane,Leviathan [Primal],1669,79,397,8
43,Rubedo Ginshi,Lamia [Primal],1662,126,0,0
44,Lucio Harundo,Leviathan [Primal],1615,287,0,7
45,Kris Lhea,Mateus [Crystal],1602,59,0,0
46,Death Reaps,Balmung [Crystal],1598,129,0,0
47,Josh Trigiani,Lamia [Primal],1595,42,0,0
48,The Feast,Behemoth [Primal],1592,74,0,3
49,Saraliah Dawnbringer,Coeurl [Crystal],1588,39,0,0
50,Sovereign Phil,Goblin [Crystal],1586,31,0,0
