Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],5036,274,,7
2,Crow Meow,Jenova [Aether],4504,128,,
3,Mtn Boop,Brynhildr [Crystal],4448,162,,
4,Pekora Meow,Leviathan [Primal],4299,193,,
5,Emi Meow,Siren [Aether],4151,325,111,5
6,Kasai Kage,Adamantoise [Aether],4102,568,,13
7,Miyu Moon,Mateus [Crystal],4062,272,,
8,Lucio Harundo,Leviathan [Primal],4030,527,,
9,Akari Tsuki,Adamantoise [Aether],3895,186,84,7
10,Uki Yo,Adamantoise [Aether],3847,168,,6
11,Seto Mimyho,Behemoth [Primal],3806,132,,
12,Neo Dymium,Siren [Aether],3798,283,,4
13,Sparrow Hawk,Seraph [Dynamis],3724,148,,9
14,Sanguinius Smolblood,Kraken [Dynamis],3535,553,,1
15,Tomo Kote,Gilgamesh [Aether],3524,123,,1
16,Unagi Box,Cuchulainn [Dynamis],3516,271,,1
17,Doomballoon Dapingus,Diabolos [Crystal],3491,186,,5
18,Suhr Zarek,Balmung [Crystal],3466,238,,
19,Terro Beoulve,Coeurl [Crystal],3386,207,,
20,Sylvie Chan,Brynhildr [Crystal],3373,170,,5
21,Legendary Ash,Faerie [Aether],3367,87,,
22,Meteor Moon,Rafflesia [Dynamis],3363,83,,3
23,Charlie Zelenoff,Cuchulainn [Dynamis],3357,123,,
24,Myu Meow,Leviathan [Primal],3302,167,,
25,Fulheart Grit,Balmung [Crystal],3288,335,,
26,Raiden Meow,Halicarnassus [Dynamis],3282,106,199,5
27,Original Dsi,Gilgamesh [Aether],3252,193,,
28,Ser Oswald,Mateus [Crystal],3200,90,,
29,Air Azure,Rafflesia [Dynamis],3174,333,193,3
30,Merlin Emryss,Faerie [Aether],3164,438,,9
31,Aoi Kami,Gilgamesh [Aether],3161,246,,
32,Ibrahim Immortalis,Diabolos [Crystal],3145,537,8,5
33,Rae Rea,Adamantoise [Aether],3132,215,,
34,Xiao Baobao,Gilgamesh [Aether],3114,264,97,3
35,Azar Kaveh,Hyperion [Primal],3089,817,,
36,Buzzy Wuzzy,Balmung [Crystal],3084,87,,
37,Rubedo Ginshi,Lamia [Primal],3082,171,,
38,Barock Obama,Siren [Aether],3077,462,,
39,Naomi Hakoma,Halicarnassus [Dynamis],3074,129,,
40,Nini Kaukau,Leviathan [Primal],3071,258,,
41,Mac Arena,Adamantoise [Aether],3068,155,,
42,Artesia Saeyrs,Sargatanas [Aether],3065,97,,
43,Casey Jones,Halicarnassus [Dynamis],3064,332,,
44,Oikawa Toru,Seraph [Dynamis],3063,120,,
45,Bon Ten,Seraph [Dynamis],3041,113,,
46,Void Stellarvore,Exodus [Primal],3028,155,,
47,Sovereign Phil,Goblin [Crystal],3022,126,,
48,Mavis Enyo,Excalibur [Primal],3019,78,,
49,Kairi Rune,Hyperion [Primal],3017,729,,
50,Suhr Zarek,Coeurl [Crystal],2954,100,,
51,Hrothmar Blackburns,Adamantoise [Aether],2883,657,,18
52,Ryan Hoshiko,Lamia [Primal],2877,204,,3
53,Zephyr Tempest,Behemoth [Primal],2872,496,,16
54,Tiroru Choco,Jenova [Aether],2802,266,,10
55,Solelle Drillemont,Famfrit [Primal],2786,353,,
56,Finch Curador,Leviathan [Primal],2779,162,22,11
57,Death Reaps,Balmung [Crystal],2774,320,,
58,Aveise Sigrid,Marilith [Dynamis],2738,226,,
59,Shimori Bunihara,Lamia [Primal],2718,240,,
60,Xiao Longbao,Excalibur [Primal],2710,1083,,14
61,Sanahi Keto,Hyperion [Primal],2645,159,,
62,Silanah Sylphrena,Faerie [Aether],2633,222,,
63,Mash Buttons,Ultros [Primal],2627,359,,
64,Boulder Beholder,Faerie [Aether],2616,90,,
65,Kheda Mars,Excalibur [Primal],2607,121,,2
66,Local-area Network,Cactuar [Aether],2601,151,,
67,Ni Xi,Malboro [Crystal],2598,387,,
68,Aiona Lux,Leviathan [Primal],2586,37,,
69,Goemon Da-cat,Behemoth [Primal],2585,286,,11
70,Fye Alanyk,Diabolos [Crystal],2568,707,,
71,Alana Mystranquil,Coeurl [Crystal],2566,174,,
72,Random Idiot,Ultros [Primal],2561,111,,
73,Bigg Spite,Coeurl [Crystal],2557,112,,1
74,Ton'au Twostick,Sargatanas [Aether],2546,294,,
75,Hollow Bastion,Rafflesia [Dynamis],2497,111,,
76,Thya Bowtail,Gilgamesh [Aether],2406,82,,
77,Aesa Iys,Kraken [Dynamis],2398,119,,
78,Sus Ge,Zalera [Crystal],2384,277,,
79,A'kena Themis,Cuchulainn [Dynamis],2384,98,,
80,Lulu Meow,Seraph [Dynamis],2297,171,,8
81,Zeta Salazar,Midgardsormr [Aether],2288,246,,1
82,Big Three,Zalera [Crystal],2265,151,,
83,La Bubu,Diabolos [Crystal],2258,234,8,6
84,Aiberaint Mando,Faerie [Aether],2217,191,,
85,Lelouch Masamune,Malboro [Crystal],2194,447,,
86,Suhr Zarek,Goblin [Crystal],2178,61,,
87,Illlllllll Illlllllll,Faerie [Aether],2174,216,,
88,Ais Syensu,Exodus [Primal],2167,79,,
89,Vestelle Sawyer,Gilgamesh [Aether],2166,68,,
90,Hoshi Miya,Gilgamesh [Aether],2123,345,,15
91,Neco-arc Myuri,Balmung [Crystal],2117,271,,
92,Medoh Meshi,Zalera [Crystal],2117,101,,
93,Kuina Kagetsu,Ultros [Primal],2106,190,,
94,Swedish Ping,Kraken [Dynamis],2092,153,96,15
95,Kookiki Kooki,Mateus [Crystal],2086,77,,
96,Bing Bing,Faerie [Aether],2079,49,,
97,Snoww Bunny,Behemoth [Primal],2062,265,,6
98,Tio Tot,Jenova [Aether],2058,77,,
99,Caedes Rozwell,Ultros [Primal],2041,104,,
100,Very Loooooooooooong,Hyperion [Primal],2005,251,,
101,Isabella Vileblood,Leviathan [Primal],2000,71,,
102,Tom Diesche,Brynhildr [Crystal],1999,114,,
103,Yos Sy,Jenova [Aether],1990,436,,
104,Bepsi Kola,Adamantoise [Aether],1975,99,,
105,Olivia Lugria,Sargatanas [Aether],1947,357,,7
106,Samemi Minamimiya,Seraph [Dynamis],1924,112,,1
107,Snowaux Noquana,Goblin [Crystal],1917,164,100,1
108,Gojo San,Gilgamesh [Aether],1914,71,,
109,Adrianne Lehman,Jenova [Aether],1912,697,,5
110,Veloce Visrin,Faerie [Aether],1893,51,,
111,Katsumi Sakimuri,Balmung [Crystal],1890,159,,
112,Fesia Xiangley,Famfrit [Primal],1875,263,,
113,Celesse Archon,Midgardsormr [Aether],1869,124,,
114,Ath Anilin,Lamia [Primal],1860,176,,
115,Brian Ricardo,Adamantoise [Aether],1859,113,,
116,Aurora Aura,Coeurl [Crystal],1829,607,,1
117,Si Fu,Balmung [Crystal],1819,413,,
118,Zeke Ewoza,Sargatanas [Aether],1804,122,,
119,Roland Montpensier,Mateus [Crystal],1802,144,,
120,Pekora Meow,Golem [Dynamis],1799,76,,
121,Fong Walker,Exodus [Primal],1795,295,,
122,Tira Mitsu,Famfrit [Primal],1788,697,,
