Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Neo Dymium,Siren [Aether],3417,216,,
2,Sanahi Keto,Hyperion [Primal],3256,121,,
3,Im Dead,Coeurl [Crystal],3142,54,,
4,Suhr Zarek,Balmung [Crystal],3100,85,,
5,Roric Thorn,Faerie [Aether],3090,211,,
6,Ash Kitamura,Faerie [Aether],3086,211,,
7,Roric Le'potaato,Mateus [Crystal],3065,98,,
8,Emi Meow,Siren [Aether],3043,115,,
9,Merlin Emryss,Faerie [Aether],3013,179,,
10,Noga Cosnoh,Cactuar [Aether],3001,305,,
11,Kairi Rune,Hyperion [Primal],2939,496,,7
12,Gojo San,Gilgamesh [Aether],2921,168,,
13,Fulheart Grit,Balmung [Crystal],2883,198,,3
14,Ham Baga,Balmung [Crystal],2845,184,,5
15,Lucio Harundo,Leviathan [Primal],2765,529,,9
16,Sparrow Hawk,Seraph [Dynamis],2762,252,,
17,A'b X'y,Faerie [Aether],2608,89,,
18,Meteor Moon,Rafflesia [Dynamis],2560,63,,
19,Doomballoon Dapingus,Diabolos [Crystal],2557,100,,
20,Pekora Meow,Leviathan [Primal],2506,50,100,2
21,Ametrine Illuminis,Lamia [Primal],2486,101,,
22,Crow Meow,Jenova [Aether],2486,42,,
23,Buzzy Wuzzy,Balmung [Crystal],2409,98,,
24,Kahlil Immortalis,Diabolos [Crystal],2402,343,,7
25,Aengrist Bunny,Behemoth [Primal],2374,135,,
26,Sanguinius Smolblood,Kraken [Dynamis],2342,142,,
27,Caedes Rozwell,Ultros [Primal],2306,118,,
28,Lulu Meow,Seraph [Dynamis],2229,97,,
29,Terro Beoulve,Coeurl [Crystal],2223,110,,
30,Mac Arena,Adamantoise [Aether],2200,49,294,6
31,Fye Alanyk,Diabolos [Crystal],2197,255,,8
32,Fain Doncel'aram,Jenova [Aether],2185,74,,
33,Aerika Erys,Faerie [Aether],2119,135,,
34,Tomo Kote,Gilgamesh [Aether],2085,57,,
35,Rhvne Astra,Siren [Aether],2046,81,,
36,Myu Meow,Leviathan [Primal],2041,167,100,5
37,Ser Oswald,Mateus [Crystal],2014,90,,
38,Micro Uryade,Sargatanas [Aether],2007,159,,2
39,Jay Vermillion,Adamantoise [Aether],1992,195,196,10
40,Kazz Roy,Balmung [Crystal],1990,89,,
41,Cecils Lunas,Brynhildr [Crystal],1974,127,,
42,Hrothmar Blackburns,Adamantoise [Aether],1942,355,,
43,Kai Sora,Exodus [Primal],1894,127,,6
44,Gimme Cover,Rafflesia [Dynamis],1857,73,,
45,Original Dsi,Gilgamesh [Aether],1831,52,,
46,La Bubu,Diabolos [Crystal],1818,280,,
47,Zack Arkwright,Malboro [Crystal],1812,67,,
48,Mtn Boop,Brynhildr [Crystal],1797,48,201,5
49,Silanah Sylphrena,Faerie [Aether],1789,104,,
50,Xiao Longbao,Excalibur [Primal],1778,679,1,3
51,Tassarie Winter,Seraph [Dynamis],1775,53,,
52,Xiao Baobao,Gilgamesh [Aether],1751,121,,1
53,Xen Babyque,Hyperion [Primal],1706,48,,
54,Seto Mimyho,Behemoth [Primal],1691,25,,
55,Keanu Weaves,Leviathan [Primal],1687,127,,7
56,Nini Kaukau,Leviathan [Primal],1681,94,,
57,Goemon Da-cat,Behemoth [Primal],1628,133,,
58,Kuina Kagetsu,Ultros [Primal],1614,38,,
59,Sponge Cake,Faerie [Aether],1599,30,,
60,Ash Ymir,Gilgamesh [Aether],1595,167,,1
61,Aiberaint Mando,Faerie [Aether],1595,107,,
62,Ryan Hoshiko,Lamia [Primal],1594,235,,21
63,Sylvie Chan,Brynhildr [Crystal],1593,99,,
64,Aoi Kami,Gilgamesh [Aether],1586,298,,1
65,Barock Obama,Siren [Aether],1580,273,,12
66,Greenage Hudson,Mateus [Crystal],1579,224,,
67,Anti Luminosity,Marilith [Dynamis],1575,170,,
68,Doosomini Potini,Goblin [Crystal],1574,661,,1
69,Vann Healsing,Coeurl [Crystal],1561,64,,
70,Death Reaps,Balmung [Crystal],1544,133,,
71,Aiona Lux,Leviathan [Primal],1520,37,,
72,Nyan Ski,Hyperion [Primal],1510,128,,
73,Raphtalia Solari,Adamantoise [Aether],1507,101,,
74,Rare Ninetytwo,Siren [Aether],1506,329,,
75,Mavis Enyo,Excalibur [Primal],1506,75,,
76,Zeta Salazar,Midgardsormr [Aether],1504,248,,2
77,Lelouch Masamune,Malboro [Crystal],1502,165,,
78,Big Three,Zalera [Crystal],1502,57,,
79,Alice Schuberg,Behemoth [Primal],1498,29,397,8
80,Smart Falcon,Cuchulainn [Dynamis],1494,90,,
81,Yulia Lunaria,Coeurl [Crystal],1418,76,,5
82,Relena Quaversie,Balmung [Crystal],1399,334,,
83,Moon Eclipse,Faerie [Aether],1396,80,,
84,Ahri Meow,Leviathan [Primal],1392,38,391,19
85,Kookiki Kooki,Mateus [Crystal],1389,50,,
86,Milly Mina,Cuchulainn [Dynamis],1369,81,,
87,Skyanar Tyrunas,Coeurl [Crystal],1330,215,,
88,Vestelle Sawyer,Gilgamesh [Aether],1303,18,,
89,Orpheus Laine,Gilgamesh [Aether],1299,84,,2
90,Jun Ai,Diabolos [Crystal],1291,139,,
91,Io Isana,Coeurl [Crystal],1288,71,,
92,Strolling Sapling,Sargatanas [Aether],1286,71,,3
93,Nanamie Namie,Seraph [Dynamis],1222,65,,
94,Brian Ricardo,Adamantoise [Aether],1199,67,,
95,Tira Mitsu,Famfrit [Primal],1198,415,,12
96,Coast Contra,Faerie [Aether],1198,54,,
97,Surisuri Mahasuri,Coeurl [Crystal],1194,18,,
98,Snoww Bunny,Behemoth [Primal],1193,197,,
99,Mirae Malaguld,Famfrit [Primal],1186,70,,
100,Boulder Beholder,Faerie [Aether],1105,17,,
101,Zeke Ewoza,Sargatanas [Aether],1102,47,,
102,Yui Fins,Adamantoise [Aether],1098,755,,22
103,Obelisk Silvermoon,Zalera [Crystal],1020,87,,
104,Air Weaver,Coeurl [Crystal],1013,45,,
105,Atiendo Boludos,Coeurl [Crystal],1003,59,,
106,Kukusa Kusa,Kraken [Dynamis],989,19,,
107,Alma Braver,Goblin [Crystal],986,120,,
108,Miyu Moon,Mateus [Crystal],986,20,,
109,Lily Evenstar,Brynhildr [Crystal],912,158,14,9
110,Isabella Nezen,Ultros [Primal],911,147,,16
111,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],907,39,,
112,Bigg Succ,Coeurl [Crystal],906,36,,
113,Ailbhe Costa,Golem [Dynamis],898,57,,
114,Jehuty Apophis,Exodus [Primal],897,66,,
115,Celesse Archon,Midgardsormr [Aether],895,120,,
116,Great Depression,Gilgamesh [Aether],893,76,,
117,Bo Nuts,Zalera [Crystal],891,29,691,10
118,Eyre Stahl,Maduin [Dynamis],829,37,,
119,Kitsu Katsu,Gilgamesh [Aether],810,20,,
120,Lux Mas,Sargatanas [Aether],809,172,,8
121,Tom Diesche,Brynhildr [Crystal],804,10,,
122,Reed Diamond,Ultros [Primal],801,128,,
123,Sitri Belladonna,Maduin [Dynamis],799,96,,
124,Tatiana Metanova,Ultros [Primal],798,159,,4
125,Sumia Flor,Jenova [Aether],798,44,,
126,Son Giyu,Coeurl [Crystal],793,104,,
127,Baka Bao,Gilgamesh [Aether],791,54,,
128,Naomi Hakoma,Halicarnassus [Dynamis],790,17,,
129,Xianra Bryne,Excalibur [Primal],788,147,97,1
130,Rhaska Varro,Balmung [Crystal],786,74,,
131,Pharys Ra,Excalibur [Primal],729,311,,1
132,Shuba Rashii,Adamantoise [Aether],728,148,,
133,Charred Xea,Leviathan [Primal],712,155,,
134,Vaal Hazak,Zalera [Crystal],710,77,,
135,Kiki Haruko,Behemoth [Primal],706,121,,
136,Aibertain Mando,Jenova [Aether],702,269,,
137,Zolzayaa Noykin,Balmung [Crystal],702,183,,7
138,Yosugano Sora,Halicarnassus [Dynamis],700,63,,
139,Gold Ship,Golem [Dynamis],699,195,97,6
140,Yae Niijima,Lamia [Primal],697,261,,
141,Dawnre Prime,Mateus [Crystal],696,126,,
142,Fyn Chii,Gilgamesh [Aether],695,101,,
143,Sol Ace,Adamantoise [Aether],693,64,,
144,Virtus Pendragon,Gilgamesh [Aether],693,46,,
145,Mash Buttons,Ultros [Primal],693,33,,
146,Somnidemn Serdorm,Goblin [Crystal],689,127,,
147,Mew Yuki,Balmung [Crystal],686,36,,
148,Atreus Auditore,Faerie [Aether],681,19,,
149,Suho Thamasa,Hyperion [Primal],620,67,,
150,Jerilith Alrin,Exodus [Primal],611,187,,1
151,Noble Stark,Diabolos [Crystal],602,149,,
152,Killing Way,Exodus [Primal],601,180,,4
153,Fortune Days,Zalera [Crystal],599,9,,
154,Zero Dawnrose,Gilgamesh [Aether],598,128,,
155,Kota Kris,Seraph [Dynamis],598,61,,
156,Norma Jeannie,Jenova [Aether],598,58,,
157,Unagi Box,Cuchulainn [Dynamis],598,23,,
158,Alana Mystranquil,Coeurl [Crystal],596,74,,
159,Suhr Zarek,Goblin [Crystal],595,14,,
160,Bubukesh Flowereth,Goblin [Crystal],593,68,,
161,Jyren Forgyle,Sargatanas [Aether],591,62,,
162,Naiah Heartfeld,Gilgamesh [Aether],590,69,,
163,Homemade Butterscotch,Cuchulainn [Dynamis],590,59,,
164,Xeyr Aea,Diabolos [Crystal],589,49,,
165,Brunola Levis,Jenova [Aether],574,256,,3
166,Koiaki Nishimon,Exodus [Primal],514,61,,
167,Tiny Sosig,Balmung [Crystal],509,307,,9
168,Fui Yins,Halicarnassus [Dynamis],506,124,,
169,Akari Tsuki,Adamantoise [Aether],503,9,,
170,Alhanelem Amidatelion,Hyperion [Primal],502,224,,
171,Avocado Bunny,Behemoth [Primal],500,74,,
172,Biscuit Kru'eger,Zalera [Crystal],494,37,,
173,Void Stellarvore,Exodus [Primal],494,4,,
174,What's Poppin',Sargatanas [Aether],493,118,,
175,Domon Arigato,Coeurl [Crystal],492,38,,
176,Chain Wax,Rafflesia [Dynamis],491,84,,
177,Haru Urara-chan,Rafflesia [Dynamis],491,50,,
178,Hunie Pop,Ultros [Primal],414,167,,
179,Princess- Princess,Coeurl [Crystal],413,25,,
180,Azureal Grandeur,Marilith [Dynamis],412,79,,
181,Alyosha Kara,Siren [Aether],411,121,,
182,Savard Qerel,Diabolos [Crystal],409,116,,
183,Smug Idiot,Faerie [Aether],407,82,,
184,Mikjall Djt-yisi,Balmung [Crystal],407,75,,
185,Indigo Plateau,Zalera [Crystal],406,60,,
186,Olivia Lugria,Sargatanas [Aether],406,44,,
187,Glowing Orchid,Siren [Aether],404,100,,
