Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Miyu Moon,Mateus [Crystal],3659,87,115,3
2,Pekora Meow,Leviathan [Primal],3385,226,0,2
3,Legendary Ash,Faerie [Aether],3190,112,98,1
4,Ahri Meow,Leviathan [Primal],3135,131,0,8
5,Hollow Bastion,Rafflesia [Dynamis],2884,73,0,0
6,Sanahi Keto,Hyperion [Primal],2819,235,0,0
7,Cyphos Ultimus,Balmung [Crystal],2685,127,296,11
8,Azure Balmung,Gilgamesh [Aether],2680,54,0,0
9,Kairi Rune,Hyperion [Primal],2664,201,0,15
10,Azar Kaveh,Mateus [Crystal],2584,424,0,28
11,Barock Obama,Siren [Aether],2534,317,0,7
12,Fye Alanyk,Diabolos [Crystal],2517,262,100,18
13,Tomo Kote,Gilgamesh [Aether],2484,190,0,17
14,Pvp Badboy,Sargatanas [Aether],2421,160,0,3
15,Ham Baga,Balmung [Crystal],2389,164,0,15
16,Artesia Saeyrs,Sargatanas [Aether],2371,35,394,7
17,Rin Ruki,Exodus [Primal],2297,87,0,0
18,Fulheart Grit,Balmung [Crystal],2273,104,0,0
19,Size Difference,Sargatanas [Aether],2271,178,0,0
20,Vittorio Moretti,Diabolos [Crystal],2263,137,0,5
21,Zypris Allsbane,Leviathan [Primal],2260,92,591,13
22,Terro Beoulve,Coeurl [Crystal],2208,108,0,0
23,Rae Rea,Adamantoise [Aether],2194,34,0,0
24,Merlin Emryss,Faerie [Aether],2191,146,101,3
25,Crow Meow,Jenova [Aether],2170,52,0,0
26,Suhr Zarek,Balmung [Crystal],2096,273,0,23
27,Sanguinius Smolblood,Kraken [Dynamis],2078,135,0,13
28,Gongsun Qerel,Mateus [Crystal],2063,172,0,7
29,Emi Meow,Siren [Aether],1994,34,0,0
30,Clara Green,Gilgamesh [Aether],1982,112,0,0
31,Olivia Lugria,Sargatanas [Aether],1969,224,0,0
32,Meteor Moon,Rafflesia [Dynamis],1942,232,0,15
33,Sylvie Chan,Brynhildr [Crystal],1846,186,0,0
34,Sparrow Hawk,Seraph [Dynamis],1790,71,0,0
35,Kahlil Immortalis,Diabolos [Crystal],1789,95,0,3
36,Xiao Longbao,Excalibur [Primal],1787,265,0,30
37,Suhr Zarek,Goblin [Crystal],1781,39,294,8
38,Bepsi Kola,Adamantoise [Aether],1707,153,0,0
39,Air Azure,Rafflesia [Dynamis],1703,117,0,5
40,Myu Meow,Leviathan [Primal],1703,112,0,0
41,Show Maker,Kraken [Dynamis],1699,107,0,0
42,Lucio Harundo,Leviathan [Primal],1696,299,81,12
43,Kylis Pendragon,Balmung [Crystal],1685,228,0,1
44,Marci Meow,Balmung [Crystal],1683,78,0,4
45,Rubedo Ginshi,Lamia [Primal],1662,135,0,9
46,Yuseong Regilis,Exodus [Primal],1623,107,293,11
47,Kris Lhea,Mateus [Crystal],1602,59,0,0
48,Death Reaps,Balmung [Crystal],1598,139,0,10
49,Josh Trigiani,Lamia [Primal],1595,42,0,0
50,The Feast,Behemoth [Primal],1592,74,0,0
51,Saraliah Dawnbringer,Coeurl [Crystal],1588,39,0,0
52,Sovereign Phil,Goblin [Crystal],1586,31,0,0
53,Mavis Enyo,Excalibur [Primal],1578,37,0,0
54,Lia Kiri,Lamia [Primal],1577,77,0,0
55,Bisukito Neko,Zalera [Crystal],1522,56,0,0
56,Hrothmar Blackburns,Adamantoise [Aether],1516,297,0,21
57,Azureal Grandeur,Marilith [Dynamis],1516,189,0,0
58,Momo Meow,Siren [Aether],1513,25,0,0
59,Navori Valois,Adamantoise [Aether],1504,81,0,0
60,P'roto Idola,Brynhildr [Crystal],1503,77,0,0
61,Mac Arena,Halicarnassus [Dynamis],1502,45,0,0
62,Fire Strike,Kraken [Dynamis],1480,55,0,0
63,Zeta Salazar,Midgardsormr [Aether],1405,200,0,15
64,Fortune Days,Zalera [Crystal],1395,49,0,4
65,Gidding Mimid,Exodus [Primal],1394,173,0,20
66,Dandy Lyon,Leviathan [Primal],1379,75,0,12
67,Micro Uryade,Sargatanas [Aether],1320,181,0,10
68,Lazy Bear,Faerie [Aether],1298,165,0,0
69,Kuina Kagetsu,Ultros [Primal],1286,86,0,0
70,Aerika Meow,Faerie [Aether],1285,32,0,0
71,Skyanar Tyrunas,Siren [Aether],1278,123,99,6
72,Gio Vanna,Adamantoise [Aether],1239,62,302,6
73,Crew Mate,Rafflesia [Dynamis],1212,40,0,0
74,La Bubu,Diabolos [Crystal],1207,90,0,8
75,Neo Dymium,Seraph [Dynamis],1201,52,0,3
76,Silanah Sylphrena,Faerie [Aether],1199,25,0,0
77,Fyoriah Aliapoh,Faerie [Aether],1198,92,297,10
78,Nemx Eisenhorn,Excalibur [Primal],1195,75,0,11
79,Big Three,Zalera [Crystal],1183,95,0,20
80,Karl Rex,Siren [Aether],1179,253,0,3
81,Haha Unless,Faerie [Aether],1161,59,3,4
82,Yui Fins,Adamantoise [Aether],1122,400,26,27
83,Labrys Roux,Ultros [Primal],1106,107,0,0
84,Shionne Ripley,Exodus [Primal],1101,80,0,0
85,Deadrise Mutambo,Diabolos [Crystal],1101,67,0,5
86,Unit Chan,Jenova [Aether],1089,118,0,0
87,Aibertain Mando,Jenova [Aether],1076,227,0,21
88,Doomballoon Dapingus,Diabolos [Crystal],1017,54,0,0
89,Unknown O'juan,Maduin [Dynamis],1005,28,0,0
90,Zithiel Bihrul,Faerie [Aether],1003,138,0,5
91,Vaal Hazak,Zalera [Crystal],1003,132,301,9
92,Nero Cor,Cactuar [Aether],1001,96,0,0
93,F'ool Pr'oof,Behemoth [Primal],1001,77,0,1
94,Kirishoto Azphina,Excalibur [Primal],999,60,0,0
95,Baka Bao,Gilgamesh [Aether],997,164,0,16
96,Raiden Meow,Halicarnassus [Dynamis],990,29,0,0
97,Tiny Sosig,Balmung [Crystal],911,161,0,8
98,Raphtalia Solari,Adamantoise [Aether],908,91,0,0
99,No Buts,Zalera [Crystal],906,70,5,6
100,Ash Ymir,Gilgamesh [Aether],906,37,0,1
101,Celesse Archon,Midgardsormr [Aether],902,32,0,0
102,Limit Less,Jenova [Aether],902,10,0,0
103,Silvy Kaenbyou,Goblin [Crystal],901,196,0,17
104,Somnidemn Serdorm,Goblin [Crystal],901,72,0,0
105,Anti Luminosity,Marilith [Dynamis],900,165,2,8
106,Seto Mimyho,Behemoth [Primal],899,48,101,2
107,Naomi Hakoma,Halicarnassus [Dynamis],897,63,0,2
108,Aesa Iys,Kraken [Dynamis],895,204,196,19
109,Nia Yukumo,Lamia [Primal],893,109,0,0
110,Ice Mage,Golem [Dynamis],893,62,0,0
111,Nanamie Namie,Seraph [Dynamis],884,92,0,0
112,Uki Yo,Adamantoise [Aether],879,19,0,0
113,Phrosticus Maximus,Kraken [Dynamis],831,233,0,21
114,Kiitla Hundar,Brynhildr [Crystal],821,104,0,0
115,Horan Lou,Brynhildr [Crystal],817,100,0,3
116,Ryan Hoshiko,Lamia [Primal],815,56,0,0
117,Silah Zetsku,Marilith [Dynamis],809,46,5,6
118,Adrianne Lehman,Jenova [Aether],801,269,210,7
119,Satoshi Itaori,Golem [Dynamis],798,32,0,0
120,Mtn Boop,Brynhildr [Crystal],797,17,303,6
121,Wmmmmmmmmm Wmmmmmmmmm,Halicarnassus [Dynamis],795,26,0,0
122,Shimori Bunihara,Kraken [Dynamis],793,40,0,0
123,Norma Jeannie,Jenova [Aether],792,58,103,5
124,Banana Skye,Faerie [Aether],790,62,0,0
125,Garu Kettle,Behemoth [Primal],789,127,10,16
126,Im Dead,Balmung [Crystal],789,38,0,0
127,Finch Curador,Leviathan [Primal],784,16,203,5
128,S'tille Fhey,Midgardsormr [Aether],709,79,0,0
129,Judas Demaio,Balmung [Crystal],709,43,0,0
130,Ellie Titis,Midgardsormr [Aether],707,30,0,0
131,Scythe Horrorblade,Mateus [Crystal],702,319,0,0
132,Rusheel Vasscus,Adamantoise [Aether],702,15,0,0
133,Fryar Vagrant,Jenova [Aether],698,65,698,21
134,Noel Bunny,Behemoth [Primal],697,141,0,0
135,Io Isana,Coeurl [Crystal],695,18,0,1
136,Alex Rider,Hyperion [Primal],694,75,0,0
137,Mo Azure,Lamia [Primal],694,19,397,6
138,Master Zoknik,Balmung [Crystal],692,29,0,0
139,Alana Mystranquil,Coeurl [Crystal],690,29,0,0
140,Zot Meow,Sargatanas [Aether],690,28,0,0
141,Lolly Pops,Leviathan [Primal],685,255,0,31
142,Kasai Kage,Adamantoise [Aether],618,25,0,0
143,Akari Tsuki,Adamantoise [Aether],608,24,0,0
144,No Bee,Lamia [Primal],606,85,0,18
145,Hilto Feltre,Sargatanas [Aether],605,45,0,0
146,Ivy Storm,Zalera [Crystal],604,81,0,0
