Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],4747,234,,
2,Mtn Boop,Brynhildr [Crystal],4448,161,,
3,Pekora Meow,Leviathan [Primal],4299,173,,
4,Emi Meow,Siren [Aether],4030,268,,10
5,Akari Tsuki,Adamantoise [Aether],3811,161,,
6,Seto Mimyho,Behemoth [Primal],3806,132,,
7,Ham Baga,Balmung [Crystal],3671,339,,
8,Miyu Moon,Mateus [Crystal],3663,260,,
9,Tomo Kote,Gilgamesh [Aether],3524,109,,
10,Doomballoon Dapingus,Diabolos [Crystal],3491,177,,
11,Suhr Zarek,Balmung [Crystal],3466,237,,
12,Sanguinius Smolblood,Kraken [Dynamis],3455,497,,1
13,Crow Meow,Jenova [Aether],3416,107,200,4
14,Charlie Zelenoff,Cuchulainn [Dynamis],3357,123,,
15,Unagi Box,Cuchulainn [Dynamis],3314,249,,1
16,Myu Meow,Leviathan [Primal],3302,133,298,3
17,Sylvie Chan,Brynhildr [Crystal],3284,145,,
18,Meteor Moon,Rafflesia [Dynamis],3257,73,,
19,Original Dsi,Gilgamesh [Aether],3252,193,,
20,Uki Yo,Adamantoise [Aether],3250,135,,1
21,Ser Oswald,Mateus [Crystal],3200,90,,
22,Merlin Emryss,Faerie [Aether],3164,348,,4
23,Aoi Kami,Gilgamesh [Aether],3161,217,,5
24,Rae Rea,Adamantoise [Aether],3132,215,,
25,Azar Kaveh,Hyperion [Primal],3089,792,,
26,Terro Beoulve,Coeurl [Crystal],3087,188,,
27,Buzzy Wuzzy,Balmung [Crystal],3084,87,,
28,Fulheart Grit,Balmung [Crystal],3080,307,,
29,Nini Kaukau,Leviathan [Primal],3071,221,,
30,Artesia Saeyrs,Sargatanas [Aether],3065,97,,
31,Oikawa Toru,Seraph [Dynamis],3063,120,,
32,Bon Ten,Seraph [Dynamis],3041,113,,
33,J'heero Eshe,Lamia [Primal],3036,160,,
34,Void Stellarvore,Exodus [Primal],3028,155,,
35,Sovereign Phil,Goblin [Crystal],3022,126,,
36,Mavis Enyo,Excalibur [Primal],3019,78,,
37,Kairi Rune,Hyperion [Primal],3017,663,,
38,Lucio Harundo,Leviathan [Primal],2869,477,366,10
39,Aveise Sigrid,Marilith [Dynamis],2738,226,,
40,Shimori Bunihara,Lamia [Primal],2718,240,,
41,Mac Arena,Adamantoise [Aether],2702,144,,14
42,Ibrahim Immortalis,Diabolos [Crystal],2673,380,,1
43,Sanahi Keto,Hyperion [Primal],2645,148,,
44,Silanah Sylphrena,Faerie [Aether],2633,142,,
45,Mash Buttons,Ultros [Primal],2627,287,,7
46,Boulder Beholder,Faerie [Aether],2616,90,,
47,Kheda Mars,Excalibur [Primal],2607,116,,
48,Local-area Network,Cactuar [Aether],2601,151,,
49,Ni Xi,Malboro [Crystal],2598,387,,
50,Black Beretta,Adamantoise [Aether],2594,376,,6
51,Goemon Da-cat,Behemoth [Primal],2585,221,,
52,Zephyr Tempest,Behemoth [Primal],2579,325,208,8
53,Fye Alanyk,Diabolos [Crystal],2568,641,,
54,Ton'au Twostick,Sargatanas [Aether],2546,283,,
55,Hrothmar Blackburns,Adamantoise [Aether],2521,543,,4
56,Neo Dymium,Siren [Aether],2513,217,,1
57,Hollow Bastion,Rafflesia [Dynamis],2497,111,7,10
58,Death Reaps,Balmung [Crystal],2480,299,96,4
59,Aesa Iys,Kraken [Dynamis],2398,113,,
60,Naomi Hakoma,Halicarnassus [Dynamis],2388,76,,6
61,Sus Ge,Zalera [Crystal],2384,277,,
62,Alana Mystranquil,Coeurl [Crystal],2367,163,398,5
63,Tiroru Choco,Jenova [Aether],2339,147,,8
64,Lulu Meow,Seraph [Dynamis],2297,135,,
65,Zeta Salazar,Midgardsormr [Aether],2288,230,,
66,Sparrow Hawk,Seraph [Dynamis],2251,66,,
67,Thya Bowtail,Gilgamesh [Aether],2223,78,,
68,Air Azure,Rafflesia [Dynamis],2201,165,,23
69,Lelouch Masamune,Malboro [Crystal],2194,415,,2
70,Bigg Succ,Coeurl [Crystal],2183,81,,
71,Ash Kitamura,Faerie [Aether],2183,42,,
72,Suhr Zarek,Goblin [Crystal],2178,61,,
