Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],5893,268,1048,25
2,Miyu Moon,Mateus [Crystal],4928,136,0,8
3,Legendary Ash,Faerie [Aether],4539,166,0,11
4,Aoi Kami,Gilgamesh [Aether],4437,124,184,4
5,Tomo Kote,Gilgamesh [Aether],4324,125,0,0
6,Pekora Meow,Leviathan [Primal],4042,459,119,27
7,Sylvie Chan,Brynhildr [Crystal],4017,89,96,5
8,Seto Mimyho,Behemoth [Primal],4008,207,0,1
9,Sparrow Hawk,Seraph [Dynamis],3964,337,0,8
10,Crow Meow,Jenova [Aether],3833,108,0,0
11,Lucio Harundo,Leviathan [Primal],3773,385,0,4
12,Fye Alanyk,Diabolos [Crystal],3652,522,0,0
13,Death Reaps,Balmung [Crystal],3625,463,0,4
14,Uki Yo,Adamantoise [Aether],3416,312,285,22
15,Terro Beoulve,Coeurl [Crystal],3400,300,301,3
16,Dea Jae,Balmung [Crystal],3355,154,0,0
17,Fulheart Grit,Balmung [Crystal],3322,244,299,4
18,Vestelle Sawyer,Gilgamesh [Aether],3280,92,0,0
19,Nero Cor,Cactuar [Aether],3277,790,0,25
20,Neo Dymium,Seraph [Dynamis],3228,442,0,7
21,Kahlil Immortalis,Diabolos [Crystal],3144,485,0,8
22,Emi Meow,Siren [Aether],3141,93,0,0
23,Sea Jae,Sargatanas [Aether],3138,103,0,0
24,Hrothmar Blackburns,Adamantoise [Aether],3129,713,0,10
25,Rae Rea,Adamantoise [Aether],3104,61,0,0
26,Mac Arena,Adamantoise [Aether],3086,57,0,0
27,Moon Kitten,Gilgamesh [Aether],3068,102,0,3
28,Wonton Noodle,Faerie [Aether],3066,79,0,0
29,Chocolate Mint,Mateus [Crystal],3064,122,0,0
30,Justa Noob,Goblin [Crystal],3064,119,0,0
31,Casey Jones,Halicarnassus [Dynamis],3058,152,0,0
32,Meteor Moon,Rafflesia [Dynamis],3055,154,0,0
33,Artesia Saeyrs,Sargatanas [Aether],3040,134,0,0
34,Punished Meow,Ultros [Primal],3038,394,0,0
35,Suhr Zarek,Balmung [Crystal],3017,369,0,0
36,Finch Curador,Leviathan [Primal],3010,122,0,0
37,Lord Prestor,Famfrit [Primal],3003,92,0,0
38,Lulu Meow,Seraph [Dynamis],3001,216,0,0
39,Kairi Rune,Hyperion [Primal],3000,155,0,0
40,Gojo San,Jenova [Aether],2934,144,0,0
41,Akari Tsuki,Adamantoise [Aether],2913,109,0,1
42,Original Meow,Gilgamesh [Aether],2827,97,0,0
43,Ham Baga,Balmung [Crystal],2817,256,0,2
44,Im Dead,Balmung [Crystal],2809,139,0,1
45,Beokros Luden,Leviathan [Primal],2701,260,0,0
46,Unagi Box,Cuchulainn [Dynamis],2671,403,0,22
