Rank,Name,World,Credits,Victories
123,Momoko Tomoko,Sargatanas [Aether],796,54
124,Rusheel Vasscus,Adamantoise [Aether],795,209
125,Yui Fins,Adamantoise [Aether],794,435
126,Brian Ricardo,Adamantoise [Aether],793,85
127,Hounin Shan,Exodus [Primal],791,85
128,Last Petal,Cactuar [Aether],790,224
129,Yulia Lunaria,Coeurl [Crystal],790,10
130,Q'ina Fhiroh,Brynhildr [Crystal],787,139
131,Bepsi Kola,Adamantoise [Aether],777,24
132,Zot Meow,Sargatanas [Aether],767,73
133,Vann Healsing,Coeurl [Crystal],762,52
134,Aveise Sigrid,Marilith [Dynamis],720,75
135,Theory Ai,Leviathan [Primal],714,255
136,Celestia Serenne,Leviathan [Primal],712,69
137,Adrianne Lehman,Jenova [Aether],704,235
138,Fain Doncel'aram,Jenova [Aether],703,33
139,Cyrile Dazkar,Exodus [Primal],702,116
140,Xianra Bryne,Excalibur [Primal],701,111
141,Ash Ymir,Gilgamesh [Aether],701,59
142,Original Surname,Gilgamesh [Aether],700,70
143,Tom Diesche,Brynhildr [Crystal],700,69
144,Tira Mitsu,Famfrit [Primal],699,84
145,Alana Mystranquil,Coeurl [Crystal],693,19
146,Rihse Sejeh,Mateus [Crystal],607,119
147,Fenrir Mani,Siren [Aether],605,305
148,Suho Thamasa,Hyperion [Primal],603,58
149,Cayen Cen,Cactuar [Aether],599,25
150,Peregrine Lofte,Leviathan [Primal],598,10
151,Cecils Lunas,Brynhildr [Crystal],597,30
152,Free Healthcare,Famfrit [Primal],596,129
153,Myuri Wolfe,Balmung [Crystal],594,73
154,Quna Azuraflame,Ultros [Primal],594,69
155,Riki Spanish,Balmung [Crystal],592,291
156,Fyoriah Aliapoh,Faerie [Aether],589,89
157,Gold Ship,Golem [Dynamis],512,69
158,Sarika Malaguld,Malboro [Crystal],510,16
159,Vine Uchiha,Mateus [Crystal],507,72
160,Gidding Mimid,Exodus [Primal],501,249
161,Hunie Pop,Ultros [Primal],500,225
162,A'kena Themis,Cuchulainn [Dynamis],499,8
163,Nameless Soldier,Excalibur [Primal],498,140
164,Naiah Heartfeld,Gilgamesh [Aether],498,122
165,Teysa Montgomery,Cactuar [Aether],496,206
166,P'roto Idola,Brynhildr [Crystal],496,70
167,Gary Verny,Behemoth [Primal],496,38
168,Great Depression,Gilgamesh [Aether],496,20
169,Grace Welkin,Balmung [Crystal],495,71
170,Cely Bee,Hyperion [Primal],494,61
171,Sovereign Phil,Goblin [Crystal],494,9
172,Reginald Cleuth,Leviathan [Primal],493,36
173,Gongsun Qerel,Mateus [Crystal],492,24
174,Noble Stark,Diabolos [Crystal],490,123
175,Dread Ross,Exodus [Primal],488,139
176,Yae Niijima,Lamia [Primal],408,296
177,Kiss Bunny,Behemoth [Primal],405,83
178,Novical Astrea,Exodus [Primal],405,75
179,Vestelle Sawyer,Gilgamesh [Aether],405,7
180,Kala Bean,Sargatanas [Aether],404,221
181,Velvet Mordio,Exodus [Primal],401,77
182,Dank Lollington,Exodus [Primal],401,20
183,Caneletto Brocktree,Excalibur [Primal],400,71
184,Virtus Giruvegan,Gilgamesh [Aether],399,81
185,Zeke Ewoza,Sargatanas [Aether],398,20
186,Sol Ace,Adamantoise [Aether],396,41
187,Lug Bolt,Adamantoise [Aether],396,18
188,Key Creed,Ultros [Primal],396,17
189,Suziki Saiko,Zalera [Crystal],311,42
190,Finch Curador,Leviathan [Primal],309,11
191,Dandy Lyon,Leviathan [Primal],306,20
192,Phrosticus Maximus,Kraken [Dynamis],304,189
193,Kohvu Lynx,Exodus [Primal],304,12
194,Ivy Rukbat,Halicarnassus [Dynamis],301,73
195,Nami Rosella,Jenova [Aether],301,44
196,Qubit Kitty,Seraph [Dynamis],300,260
197,Katka Kogoro,Behemoth [Primal],300,85
198,Boulder Beholder,Faerie [Aether],300,22
199,Yuki Yozora,Faerie [Aether],299,167
200,Mmmmmmmmmmmmm Mmmmmmm,Sargatanas [Aether],299,127
201,Angelia Argent,Midgardsormr [Aether],299,71
202,Kiara Wright,Maduin [Dynamis],299,66
203,Menhera Magnet,Rafflesia [Dynamis],299,41
203,Pixel Pounder,Kraken [Dynamis],299,41
205,Minato Maki,Excalibur [Primal],299,26
206,Samemi Minamimiya,Seraph [Dynamis],299,5
207,Lust Bunny,Behemoth [Primal],298,291
208,Shana Ni,Adamantoise [Aether],298,142
209,Fyn Chii,Gilgamesh [Aether],298,72
210,Buzzy Wuzzy,Balmung [Crystal],298,2
