Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Shimori Bunihara,Lamia [Primal],2074,97,95,7
2,Rae Rea,Seraph [Dynamis],1872,54,493,17
3,Miyu Moon,Mateus [Crystal],1674,65,389,21
4,Kahlil Immortalis,Diabolos [Crystal],1584,51,590,18
5,Doomballoon Dapingus,Diabolos [Crystal],1583,25,302,6
6,Lucio Harundo,Leviathan [Primal],1576,92,91,24
7,Bo Nuts,Zalera [Crystal],1571,36,498,15
8,Crow Meow,Jenova [Aether],1298,22,,
9,Bigg Succ,Coeurl [Crystal],1283,19,,
10,Caedes Rozwell,Ultros [Primal],1221,44,310,11
11,Fye Alanyk,Diabolos [Crystal],1212,89,,12
12,Sanahi Keto,Hyperion [Primal],1199,18,302,9
13,Seto Mimyho,Behemoth [Primal],1197,15,505,8
14,Sylvie Chan,Brynhildr [Crystal],1195,50,,20
15,Fulheart Grit,Balmung [Crystal],1188,28,,1
16,Mtn Boop,Brynhildr [Crystal],997,27,,2
17,Venaire Sylvia,Malboro [Crystal],994,85,2,10
18,Kairi Rune,Hyperion [Primal],994,81,,30
19,Azar Kaveh,Hyperion [Primal],927,85,427,32
20,Hollow Bastion,Rafflesia [Dynamis],922,41,,4
21,Mavis Enyo,Excalibur [Primal],915,24,,
22,Black Beretta,Midgardsormr [Aether],910,61,204,11
23,Noga Cosnoh,Cactuar [Aether],889,24,97,6
24,Neo Dymium,Siren [Aether],809,13,709,10
25,Aoi Kami,Gilgamesh [Aether],802,87,298,27
26,Very Loooooooooooong,Hyperion [Primal],798,59,405,17
27,Bing Bing,Faerie [Aether],786,14,486,9
28,Ser Oswald,Mateus [Crystal],763,16,284,7
29,Suhr Zarek,Balmung [Crystal],710,20,,
30,Skyanar Tyrunas,Coeurl [Crystal],702,49,,
31,Sanguinius Smolblood,Kraken [Dynamis],701,59,,
32,Relena Quaversie,Balmung [Crystal],700,52,,
33,Orpheus Laine,Gilgamesh [Aether],698,22,,
34,Silanah Sylphrena,Faerie [Aether],697,20,,9
35,Kitsu Katsu,Gilgamesh [Aether],695,95,,31
36,Death Reaps,Balmung [Crystal],630,56,,8
37,Ham Baga,Balmung [Crystal],615,22,204,9
38,Gojo San,Gilgamesh [Aether],613,19,2,4
39,Fyn Chii,Gilgamesh [Aether],604,56,305,10
40,Indigo Plateau,Zalera [Crystal],603,94,204,23
41,Cayen Cen,Cactuar [Aether],601,94,398,14
42,You Sea,Gilgamesh [Aether],599,155,599,20
43,Merlin Emryss,Faerie [Aether],597,23,200,6
44,Key Factor,Leviathan [Primal],509,65,509,31
45,Ton'au Twostick,Sargatanas [Aether],508,55,108,12
46,Hrothmar Blackburns,Adamantoise [Aether],506,45,,13
47,Uki Yo,Adamantoise [Aether],504,6,,
48,Tomo Kote,Gilgamesh [Aether],503,7,99,1
49,Ryan Hoshiko,Lamia [Primal],501,68,304,21
50,Air Weaver,Coeurl [Crystal],501,4,103,1
51,Pink Perfection,Behemoth [Primal],500,153,500,19
52,Lelouch Masamune,Malboro [Crystal],499,52,201,14
53,Zeta Salazar,Midgardsormr [Aether],499,43,,16
54,Xiao Longbao,Excalibur [Primal],497,194,,24
55,Azure End,Rafflesia [Dynamis],497,56,298,9
56,Koiaki Nishimon,Exodus [Primal],497,31,95,5
57,Terro Beoulve,Coeurl [Crystal],497,15,297,13
58,Diana Guillard,Siren [Aether],496,70,396,6
59,Zeke Ewoza,Sargatanas [Aether],496,13,,
60,Naomi Hakoma,Halicarnassus [Dynamis],496,8,,
61,Big Three,Zalera [Crystal],495,5,,
62,Pekora Meow,Leviathan [Primal],494,27,194,14
63,Myu Meow,Leviathan [Primal],407,11,,
64,Josh Trigiani,Lamia [Primal],406,98,,
65,Somnidemn Serdorm,Goblin [Crystal],405,72,,19
66,Divine Zr,Gilgamesh [Aether],405,32,205,6
67,Roland Montpensier,Mateus [Crystal],404,29,100,1
68,Minato Maki,Excalibur [Primal],403,21,,
69,Aria Orchestria,Midgardsormr [Aether],401,105,,10
70,Jehuty Apophis,Exodus [Primal],399,35,,
71,Rion Cousland,Excalibur [Primal],398,97,198,7
72,Aladar Treestar,Gilgamesh [Aether],396,88,101,1
73,Micro Uryade,Sargatanas [Aether],394,9,,
74,Ryun Away,Balmung [Crystal],391,66,391,19
75,Emi Meow,Siren [Aether],390,6,,
76,Katsumi Sakimuri,Balmung [Crystal],385,51,183,11
77,Li Ah,Seraph [Dynamis],308,126,2,9
78,Neco-arc Myuri,Balmung [Crystal],306,29,108,7
79,Rex Gladio,Exodus [Primal],303,38,,
80,Kookiki Kooki,Mateus [Crystal],303,24,100,2
81,Tiny Sosig,Balmung [Crystal],302,76,,10
82,Adrianne Lehman,Jenova [Aether],301,113,,26
83,Snowsteps Frozenheart,Siren [Aether],301,49,,
84,Sovereign Phil,Goblin [Crystal],301,46,301,4
85,Fyoriah Aliapoh,Faerie [Aether],301,37,,
86,Severe Person,Zalera [Crystal],301,19,,
87,Grace Welkin,Balmung [Crystal],300,59,300,17
88,Agnes Tachyon',Siren [Aether],300,51,200,17
89,Denmo Mcstronghuge,Excalibur [Primal],300,30,,
90,Xiao Baobao,Gilgamesh [Aether],299,20,,7
91,Finch Curador,Leviathan [Primal],299,15,2,13
92,Oikawa Toru,Seraph [Dynamis],299,14,299,5
93,Meteor Moon,Rafflesia [Dynamis],299,2,,
94,Gary Verny,Behemoth [Primal],298,27,,
95,Elafacwen Meng,Faerie [Aether],298,22,,
96,Buzzy Wuzzy,Balmung [Crystal],298,5,,
97,Aurora Aura,Coeurl [Crystal],297,79,297,19
98,Thya Bowtail,Gilgamesh [Aether],291,28,,
99,Hunie Pop,Ultros [Primal],202,65,6,1
100,Synoa Roar,Malboro [Crystal],201,82,,
101,Savard Qerel,Diabolos [Crystal],201,70,201,15
102,Reginald Cleuth,Leviathan [Primal],201,59,101,2
103,Lux Mas,Sargatanas [Aether],201,25,,
104,Doosomini Potini,Goblin [Crystal],201,20,,
105,Ni Xi,Malboro [Crystal],200,76,,3
106,Goth Maiden,Faerie [Aether],200,58,,
107,Zephyr Tempest,Behemoth [Primal],200,56,,1
108,Ash Ymir,Gilgamesh [Aether],200,48,,6
109,Ath Anilin,Lamia [Primal],200,21,,
110,Happie Gilmore,Cactuar [Aether],199,58,,
111,Suzanne Ronchelieu,Goblin [Crystal],199,52,,
112,Jenova Catgirl,Balmung [Crystal],199,37,99,6
113,Rusheel Vasscus,Adamantoise [Aether],199,32,99,3
114,Ody Fireflye,Ultros [Primal],198,113,,13
115,Kiki Haruko,Behemoth [Primal],198,39,98,3
116,Asakura Momo,Leviathan [Primal],101,170,,
117,Nanamie Namie,Seraph [Dynamis],101,29,1,1
118,Wmmmmmmmmm Wmmmnmmmmm,Halicarnassus [Dynamis],101,25,101,8
119,Cain Molkoh,Goblin [Crystal],100,103,100,17
120,Deez Crits,Excalibur [Primal],100,102,100,15
121,Rihse Sejeh,Mateus [Crystal],100,101,100,19
122,Theory Ai,Leviathan [Primal],100,88,100,17
123,Beowulf Blackstone,Mateus [Crystal],100,85,,
123,Kans Ymir,Goblin [Crystal],100,85,,
125,Inugami San,Mateus [Crystal],100,83,100,27
126,Stavros Valeksejeva,Coeurl [Crystal],100,78,,
127,Kiss Bunny,Behemoth [Primal],100,71,100,25
128,Azalie Amore,Lamia [Primal],100,68,,
129,Sitri Belladonna,Maduin [Dynamis],100,59,,
130,A'ylin Ritae,Lamia [Primal],100,58,100,26
131,Rodolphus Lestrange,Exodus [Primal],100,46,,14
131,Sovereign Philia,Goblin [Crystal],100,46,,
133,Fenrir Mani,Siren [Aether],100,45,,
134,Nika Arwing,Behemoth [Primal],100,39,,
134,Stay Gold,Malboro [Crystal],100,39,100,11
134,Vann Healsing,Coeurl [Crystal],100,39,,
137,Fine Wine,Midgardsormr [Aether],100,34,,
138,Natsu Tentsuki,Lamia [Primal],100,30,,
139,Son Giyu,Coeurl [Crystal],100,29,,6
140,Radanis Luminacht,Sargatanas [Aether],100,28,,
141,Mirae Malaguld,Famfrit [Primal],100,27,,
141,Yulia Lunaria,Coeurl [Crystal],100,27,100,2
143,Sunday Silence,Golem [Dynamis],100,26,100,4
144,Anti Luminosity,Marilith [Dynamis],100,25,,3
144,Boulder Beholder,Faerie [Aether],100,25,,
146,Atreus Auditore,Faerie [Aether],100,24,100,8
146,Vestelle Sawyer,Gilgamesh [Aether],100,24,,
148,Pio Arphio,Kraken [Dynamis],100,21,100,10
149,Biscuit Kru'eger,Zalera [Crystal],100,20,100,6
150,Lulu Meow,Seraph [Dynamis],100,19,,
151,Brian Ricardo,Adamantoise [Aether],100,16,,1
151,Ellie Titis,Midgardsormr [Aether],100,16,,
151,Peregrine Lofte,Leviathan [Primal],100,16,,
151,Rose Underwood,Leviathan [Primal],100,16,,
155,Rubedo Ginshi,Lamia [Primal],100,13,,
156,Jekai August,Halicarnassus [Dynamis],100,11,,
156,Mahou Mahou,Kraken [Dynamis],100,11,,
158,Io Isana,Coeurl [Crystal],100,10,,
158,Obelisk Silvermoon,Zalera [Crystal],100,10,,
160,Tom Diesche,Brynhildr [Crystal],100,9,,
161,Sparrow Hawk,Seraph [Dynamis],100,1,,
162,Veri Luominen,Lamia [Primal],100,0,,
163,Vaeltis Nyght,Famfrit [Primal],★★★,122,,13
164,Gidding Mimid,Exodus [Primal],★★★,75,,12
165,Lucy Tevarre,Faerie [Aether],★★★,67,★14,13
166,Nameless Soldier,Excalibur [Primal],★★★,49,,4
167,Chu Ru,Seraph [Dynamis],★★★,31,,
168,Satoshi Itaori,Golem [Dynamis],★★★,10,,
169,Yuria Escha,Gilgamesh [Aether],★★☆,170,★17,27
170,Larxis Themage,Mateus [Crystal],★★☆,57,,3
171,Hodrick Blackstone,Brynhildr [Crystal],★☆☆,23,★1,8
172,Velum Medusa,Gilgamesh [Aether],★★★,94,★10,22
173,Sarantsatsral Kha,Behemoth [Primal],★★★,87,★5,17
174,Aibertain Mando,Jenova [Aether],★★★,80,,7
175,Huj Knight,Balmung [Crystal],★★★,70,,
176,Dragoon Scythe,Behemoth [Primal],★★★,66,★5,21
177,Dread Ross,Exodus [Primal],★★★,64,★4,11
178,Chile Mango,Midgardsormr [Aether],★★★,48,,
179,Eyre Stahl,Maduin [Dynamis],★★★,47,★1,3
180,Shmuckles Mcfuzzyface,Coeurl [Crystal],★★★,43,★10,10
181,Madumi Sanchez,Gilgamesh [Aether],★★★,38,,3
182,Shiri Grey,Cactuar [Aether],★★★,36,,
183,Rare Ninetytwo,Siren [Aether],★★★,19,,3
184,Alice Schuberg,Behemoth [Primal],★★★,12,,
185,Yui Fins,Adamantoise [Aether],★★☆,162,,27
186,Yukina Eirlys,Halicarnassus [Dynamis],★★☆,120,,1
187,Nero Cor,Cactuar [Aether],★★☆,103,★6,18
188,Morris Gowat,Balmung [Crystal],★★☆,98,★15,21
189,Riki Gandrake,Balmung [Crystal],★★☆,47,,
190,Berry Sundae,Midgardsormr [Aether],★★☆,42,★10,16
191,Eris Valens,Ultros [Primal],★★☆,41,,
191,Horan Lou,Brynhildr [Crystal],★★☆,41,★4,6
193,Arwen Nightbloom,Brynhildr [Crystal],★★☆,40,,
193,Coffee Dawg,Famfrit [Primal],★★☆,40,★5,7
193,Hunter Frost,Leviathan [Primal],★★☆,40,,4
196,Suho Thamasa,Hyperion [Primal],★★☆,36,,2
197,Chris Conroy,Excalibur [Primal],★★☆,35,,
198,Mash Buttons,Ultros [Primal],★★☆,12,★2,1
199,Gracidea Blossom,Sargatanas [Aether],★★☆,10,★3,4
200,Macro Meow,Gilgamesh [Aether],★★☆,7,,
201,Alma Braver,Goblin [Crystal],★★☆,6,★4,2
202,Somroch Drake,Excalibur [Primal],★☆☆,99,,
203,Baka Neko,Sargatanas [Aether],★☆☆,74,★5,18
203,Kylo Ford,Exodus [Primal],★☆☆,74,,4
205,Shannon Le-turtle,Seraph [Dynamis],★☆☆,59,,5
206,Belvia Elderberry,Famfrit [Primal],★☆☆,58,,
207,Strolling Sapling,Sargatanas [Aether],★☆☆,44,★3,9
208,Cj Deux,Lamia [Primal],★☆☆,43,★11,11
209,Nero K'ten,Lamia [Primal],★☆☆,29,★5,7
210,Barock Obama,Siren [Aether],★☆☆,17,★7,15
210,Vaal Hazak,Zalera [Crystal],★☆☆,17,,
212,Thelmus Moon,Brynhildr [Crystal],★★★,177,,30
213,Taichou Milize,Leviathan [Primal],★★★,143,,29
214,Noble Stark,Diabolos [Crystal],★★★,92,★8,21
215,Forbidden Chocolate,Brynhildr [Crystal],★★★,71,,6
216,Bicycle Skeleton,Gilgamesh [Aether],★★★,54,★10,16
216,Trixan Bobby,Balmung [Crystal],★★★,54,,
218,Marci Kitten,Midgardsormr [Aether],★★★,39,★5,5
219,No Bee,Lamia [Primal],★★★,15,,
220,Rin Denma,Gilgamesh [Aether],★★★,13,★7,6
221,Akari Tsuki,Adamantoise [Aether],★★★,9,,
222,Ais Syensu,Exodus [Primal],★★★,8,,
223,Nikau Milkdud,Lamia [Primal],★★★,5,★7,4
224,Kazlux Murasame,Siren [Aether],★★☆,143,,
225,Hounin Shan,Exodus [Primal],★★☆,67,,
226,Vesper Ravelli,Balmung [Crystal],★★☆,60,★44,51
227,Yos Sy,Jenova [Aether],★★☆,50,★12,27
228,Azula Blaze,Balmung [Crystal],★★☆,47,,
229,Elysium Entropy,Exodus [Primal],★★☆,41,★4,10
230,Ak'o Tia,Behemoth [Primal],★★☆,40,,3
231,Breath Mintreee,Seraph [Dynamis],★★☆,34,,
232,Princess- Princess,Coeurl [Crystal],★★☆,15,,
233,Cherry Cordial,Golem [Dynamis],★★☆,12,,5
233,Lug Bolt,Adamantoise [Aether],★★☆,12,,
235,Noraliza Aubyrn,Goblin [Crystal],★★☆,6,,
236,Rekkuzo Hassan,Brynhildr [Crystal],★☆☆,210,★5,33
237,Six Nails,Mateus [Crystal],★☆☆,128,,17
238,Yao Hon,Brynhildr [Crystal],★☆☆,67,★11,9
239,Teysa Montgomery,Cactuar [Aether],★☆☆,65,★5,40
240,Tseh Aliapoh,Zalera [Crystal],★☆☆,64,★2,7
241,Cookies N'cream,Lamia [Primal],★☆☆,61,,8
242,Alpha Manlet,Exodus [Primal],★☆☆,57,★4,4
242,Sage Main,Marilith [Dynamis],★☆☆,57,,
244,Destiny Seeker,Ultros [Primal],★☆☆,44,★2,5
245,Drifter Ecauhyotl,Mateus [Crystal],★☆☆,36,,
246,Mondo Flowers,Behemoth [Primal],★☆☆,32,,4
247,Gordon Geeko,Faerie [Aether],★☆☆,19,,
248,Cinderella Gray,Gilgamesh [Aether],★☆☆,13,,2
249,Dandy Lyon,Leviathan [Primal],★☆☆,8,,
250,Reines Lithespes,Exodus [Primal],★☆☆,7,,
251,Ailbhe Costa,Golem [Dynamis],★☆☆,5,,
251,Heart Iceworth,Midgardsormr [Aether],★☆☆,5,,
253,Jack-o' Valentine,Excalibur [Primal],★★★,183,,23
254,Fujiko Xyli,Malboro [Crystal],★★★,157,,43
255,Scythe Horrorblade,Mateus [Crystal],★★★,116,,16
256,Blaqk Chan,Gilgamesh [Aether],★★★,79,★5,21
257,Zaphias Raybrandt,Gilgamesh [Aether],★★★,74,,
258,Kuva Curebringer,Coeurl [Crystal],★★★,48,,1
259,Artesia Saeyrs,Sargatanas [Aether],★★★,43,★3,6
260,Reed Diamond,Ultros [Primal],★★★,40,★3,8
261,Axel Drakehardt,Ultros [Primal],★★★,32,★7,8
262,Katka Kogoro,Behemoth [Primal],★★★,20,,
263,Hi Hi,Cactuar [Aether],★★★,19,,
263,Nyanta Nyanjima,Siren [Aether],★★★,19,★11,9
265,Great Depression,Gilgamesh [Aether],★★★,18,,
265,Rachada Fhio,Lamia [Primal],★★★,18,,
267,Jon Jitsu,Exodus [Primal],★★★,10,,
268,Rhynnian Embersong,Mateus [Crystal],★★★,6,,
269,Azureal Grandeur,Marilith [Dynamis],★★★,5,,
270,Medorii's Disciple,Gilgamesh [Aether],★★☆,251,,34
271,Terminus Solis,Adamantoise [Aether],★★☆,98,★1,19
272,Thancrred Waters,Balmung [Crystal],★★☆,66,★2,11
272,Zoey Crowley,Malboro [Crystal],★★☆,66,★9,11
274,Runica Featherbow,Gilgamesh [Aether],★★☆,65,★7,6
275,Caius Dreemurr,Behemoth [Primal],★★☆,51,,15
276,Julien Tomes,Seraph [Dynamis],★★☆,36,★3,14
277,Kirishoto Azphina,Excalibur [Primal],★★☆,35,★5,15
278,Alhanelem Amidatelion,Hyperion [Primal],★★☆,31,,6
279,Haley Comet,Cactuar [Aether],★★☆,28,★2,4
279,Kabocha Micron,Hyperion [Primal],★★☆,28,,5
281,Shana Ni,Jenova [Aether],★★☆,25,,
282,Izimzi Yahu,Brynhildr [Crystal],★★☆,24,,
283,Alana Mystranquil,Coeurl [Crystal],★★☆,10,,6
284,Celesse Archon,Midgardsormr [Aether],★★☆,7,,
285,Baba Mondo,Behemoth [Primal],★☆☆,123,,2
286,Tira Mitsu,Famfrit [Primal],★☆☆,107,,3
287,Strawber Vanillacoke,Goblin [Crystal],★☆☆,81,,
288,Mistress Naani,Jenova [Aether],★☆☆,70,,21
289,Last Petal,Cactuar [Aether],★☆☆,63,,
290,Koichi Kun,Faerie [Aether],★☆☆,58,,15
291,Bean Sheqa,Siren [Aether],★☆☆,51,★10,14
292,Bento Manjusaka,Famfrit [Primal],★☆☆,40,★1,9
293,Xianra Bryne,Excalibur [Primal],★☆☆,32,,
294,Kotsu Inaro,Exodus [Primal],★☆☆,27,,
295,Kokyu Valstrax,Midgardsormr [Aether],★☆☆,22,★9,14
296,Byleth Eisnerr,Diabolos [Crystal],★☆☆,21,,
297,Noel Bunny,Behemoth [Primal],★☆☆,20,★4,9
298,Thwosau Uyagir,Ultros [Primal],★☆☆,17,,
299,Solas Revere,Adamantoise [Aether],★☆☆,8,,
300,Acno Logia,Adamantoise [Aether],★☆☆,7,,
