Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Suhr Zarek,Balmung [Crystal],2797,91,,12
2,Pekora Meow,Leviathan [Primal],2661,119,89,4
3,Sanahi Keto,Hyperion [Primal],2645,74,,
4,Crow Meow,Jenova [Aether],2577,54,,8
5,Original Dsi,Gilgamesh [Aether],2489,82,,9
6,Shimori Bunihara,Lamia [Primal],2460,148,,8
7,Sanguinius Smolblood,Kraken [Dynamis],2443,148,,13
8,Azar Kaveh,Hyperion [Primal],2375,234,353,45
9,Kahlil Immortalis,Diabolos [Crystal],2361,87,,2
10,Bo Nuts,Zalera [Crystal],2343,115,,6
11,Terro Beoulve,Coeurl [Crystal],2271,69,,
12,Rae Rea,Seraph [Dynamis],2254,157,,9
13,Miyu Moon,Mateus [Crystal],2244,160,160,15
14,Fulheart Grit,Balmung [Crystal],2125,98,,
15,Seto Mimyho,Behemoth [Primal],2093,72,499,9
16,Kairi Rune,Hyperion [Primal],2091,229,,21
17,Death Reaps,Balmung [Crystal],2058,105,,10
18,Artesia Saeyrs,Sargatanas [Aether],1896,81,,2
19,Doomballoon Dapingus,Diabolos [Crystal],1878,32,1,4
20,Ash Kitamura,Faerie [Aether],1877,26,,
21,Ton'au Twostick,Sargatanas [Aether],1835,140,105,3
22,Neo Dymium,Siren [Aether],1801,61,,
23,Mtn Boop,Brynhildr [Crystal],1791,73,89,7
24,Sovereign Phil,Goblin [Crystal],1789,72,698,15
25,Barock Obama,Siren [Aether],1738,116,,
26,Hollow Bastion,Rafflesia [Dynamis],1720,70,592,19
27,Tomo Kote,Gilgamesh [Aether],1713,28,13,3
28,Uki Yo,Adamantoise [Aether],1670,50,,
29,Merlin Emryss,Faerie [Aether],1617,127,47,25
30,Lulu Meow,Seraph [Dynamis],1600,75,309,20
31,Rage Bait,Marilith [Dynamis],1581,68,,
32,Lucio Harundo,Leviathan [Primal],1576,219,,14
33,Oikawa Toru,Seraph [Dynamis],1576,45,386,17
34,Big Three,Zalera [Crystal],1558,66,87,12
35,Caedes Rozwell,Ultros [Primal],1547,84,,
36,Strolling Sapling,Sargatanas [Aether],1502,115,,
37,Illlllllll Illlllllll,Faerie [Aether],1425,150,,12
38,Silanah Sylphrena,Faerie [Aether],1407,79,,16
39,Neco-arc Myuri,Balmung [Crystal],1401,68,,5
40,Sylvie Chan,Brynhildr [Crystal],1400,106,,13
41,Meteor Moon,Rafflesia [Dynamis],1396,16,,
42,Ham Baga,Balmung [Crystal],1388,113,,11
43,Venaire Sylvia,Malboro [Crystal],1383,124,,
44,Kitsu Katsu,Gilgamesh [Aether],1361,174,,
45,Gojo San,Gilgamesh [Aether],1324,37,,1
46,Emi Meow,Siren [Aether],1313,56,299,22
47,Lily Evenstar,Brynhildr [Crystal],1300,101,896,27
48,Suhr Zarek,Goblin [Crystal],1296,32,,
49,Goemon Da-cat,Behemoth [Primal],1293,35,699,14
50,Aoi Kami,Gilgamesh [Aether],1292,178,,
51,Bigg Succ,Coeurl [Crystal],1283,24,,5
52,Bing Bing,Faerie [Aether],1281,23,,
53,Air Weaver,Coeurl [Crystal],1276,18,289,7
54,Roland Montpensier,Mateus [Crystal],1217,58,298,8
55,Fye Alanyk,Diabolos [Crystal],1212,213,,32
56,Black Beretta,Midgardsormr [Aether],1197,103,,3
57,Rubedo Ginshi,Lamia [Primal],1195,62,110,4
58,Nikau Milkdud,Lamia [Primal],1195,61,,4
59,Pink Perfection,Behemoth [Primal],1169,193,,1
60,Severe Person,Zalera [Crystal],1015,39,,
61,Koiaki Nishimon,Exodus [Primal],991,60,494,10
62,Snowsteps Frozenheart,Siren [Aether],985,67,,4
63,Unagi Box,Cuchulainn [Dynamis],973,49,379,12
64,Diana Guillard,Siren [Aether],969,91,290,11
65,Mavis Enyo,Excalibur [Primal],915,24,,
