Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ahri Meow,Leviathan [Primal],5893,306,0,0
2,Miyu Moon,Mateus [Crystal],4928,154,0,0
3,Pekora Meow,Leviathan [Primal],4870,494,0,0
4,Legendary Ash,Faerie [Aether],4798,195,0,0
5,Aoi Kami,Gilgamesh [Aether],4782,128,0,0
6,Tomo Kote,Gilgamesh [Aether],4324,137,0,0
7,Uki Yo,Adamantoise [Aether],4023,327,0,0
8,Sylvie Chan,Brynhildr [Crystal],4017,103,0,0
9,Seto Mimyho,Behemoth [Primal],4008,224,0,0
10,Sparrow Hawk,Seraph [Dynamis],3964,338,0,0
11,Crow Meow,Jenova [Aether],3833,108,0,0
12,Lucio Harundo,Leviathan [Primal],3773,464,0,22
13,Fye Alanyk,Diabolos [Crystal],3652,540,0,7
14,Death Reaps,Balmung [Crystal],3625,566,0,7
15,Terro Beoulve,Coeurl [Crystal],3400,300,0,0
16,Dea Jae,Balmung [Crystal],3355,154,0,0
17,Fulheart Grit,Balmung [Crystal],3322,267,0,7
18,Vestelle Sawyer,Gilgamesh [Aether],3280,92,0,0
19,Nero Cor,Cactuar [Aether],3277,874,0,8
20,Neo Dymium,Seraph [Dynamis],3228,452,0,0
21,Akari Tsuki,Adamantoise [Aether],3226,121,203,2
22,Olivia Lugria,Sargatanas [Aether],3174,628,601,9
23,Kahlil Immortalis,Diabolos [Crystal],3144,500,0,0
24,Emi Meow,Siren [Aether],3141,93,0,0
25,Sea Jae,Sargatanas [Aether],3138,103,0,0
26,Hrothmar Blackburns,Adamantoise [Aether],3129,771,0,15
27,Rae Rea,Adamantoise [Aether],3104,61,0,0
28,Talon Sparda,Balmung [Crystal],3092,755,0,0
29,Mac Arena,Adamantoise [Aether],3086,57,0,0
30,Moon Kitten,Gilgamesh [Aether],3068,106,0,0
31,Wonton Noodle,Faerie [Aether],3066,79,0,0
32,Chocolate Mint,Mateus [Crystal],3064,122,0,0
33,Justa Noob,Goblin [Crystal],3064,119,0,0
34,Casey Jones,Halicarnassus [Dynamis],3058,152,0,0
35,Meteor Moon,Rafflesia [Dynamis],3055,154,0,0
36,Artesia Saeyrs,Sargatanas [Aether],3040,134,0,0
37,Punished Meow,Ultros [Primal],3038,394,0,0
38,Suhr Zarek,Balmung [Crystal],3017,369,0,0
39,Finch Curador,Leviathan [Primal],3010,122,0,0
