Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Shiny Jirachi,Sophia [Materia],★☆☆,4,0,0
2,Stu Vermillion,Sephirot [Materia],★★★,25,0,0
3,Hi Me,Sophia [Materia],★★★,7,0,0
4,Boz Ulceros,Ravana [Materia],★☆☆,9,0,0
5,Peaceful Serenity,Sephirot [Materia],★★★,3,0,0
6,Syth Isi,Sephirot [Materia],★★☆,6,0,0
7,Queue Up,Ravana [Materia],★★☆,5,0,0
8,Argyl Emmerich,Ravana [Materia],★☆☆,43,0,0
9,Tira Misu,Ravana [Materia],★☆☆,37,0,0
10,Unshao Theruun,Sephirot [Materia],★☆☆,32,0,0
11,Byakko Moon,Sephirot [Materia],★★★,48,0,0
12,Re- G',Sophia [Materia],★★★,33,0,0
13,Chs Crane,Sophia [Materia],★★★,32,0,0
13,Cwenhild Reid,Sophia [Materia],★★★,32,0,0
15,Esperance Lightbound,Ravana [Materia],★★★,31,0,0
16,Nirki Yukumo,Zurvan [Materia],★★★,23,0,0
17,Enrei Mihata,Ravana [Materia],★★★,15,0,0
18,Disco Knees,Sophia [Materia],★★★,5,0,0
19,Monkey Rat,Zurvan [Materia],★★☆,40,0,0
20,Twitch Pvpash,Ravana [Materia],★★☆,12,0,0
21,Pj Silva,Sephirot [Materia],★☆☆,30,0,0
22,Jiraiya Sannin,Ravana [Materia],★☆☆,0,0,0
23,Jena Kuwahara,Ravana [Materia],★★★,77,0,0
24,Lio Ornedwesfv,Ravana [Materia],★★★,21,0,0
25,Jackyyy L'empika,Sophia [Materia],★★☆,35,0,0
26,Red Pocket,Zurvan [Materia],★☆☆,27,0,0
27,Samara Glazghotwyn,Sephirot [Materia],★☆☆,15,0,0
28,Hanami Koi,Sophia [Materia],★☆☆,0,0,0
29,Birdy Lou,Sophia [Materia],★★★,26,0,0
30,Lillian Melikai,Ravana [Materia],★★★,24,0,0
31,Terack Tre,Ravana [Materia],★★★,23,0,0
32,Amun Montu,Sophia [Materia],★★☆,48,0,0
33,Han Liu,Ravana [Materia],★★☆,33,0,0
34,Minty Dew,Sephirot [Materia],★☆☆,38,0,0
35,Vistra Vistra,Sophia [Materia],★☆☆,33,0,0
36,Big Gold,Sephirot [Materia],★★★,27,0,0
37,Levinia Lumina,Ravana [Materia],★★★,21,0,0
38,Estella Esmeray,Ravana [Materia],★★☆,37,0,0
39,Aleksei Veldoch,Ravana [Materia],★★☆,31,0,0
40,Elto Malto,Zurvan [Materia],★★☆,14,0,0
41,X'lloon Nitsah,Ravana [Materia],★★☆,12,0,0
42,Meteor O'stilltide,Zurvan [Materia],★★☆,8,0,0
43,Coffee Lover,Sophia [Materia],★☆☆,36,0,0
44,Egg White,Ravana [Materia],★★★,38,0,0
45,Anzac Fenrir,Ravana [Materia],★★★,28,0,0
46,Tasty Yoo,Sophia [Materia],★★★,18,0,0
47,Zervish Vanht,Ravana [Materia],★★★,13,0,0
48,Mushidora Valkhana,Ravana [Materia],★★★,6,0,0
49,Funeral Pyre,Zurvan [Materia],★★☆,42,0,0
50,Cinnamo Roll,Sophia [Materia],★★☆,30,0,0
51,Lupercal Aurelian,Ravana [Materia],★★☆,16,0,0
52,Juru'a Mihrulh,Zurvan [Materia],★★☆,13,0,0
53,Scarlette Harlette,Sephirot [Materia],★☆☆,105,0,0
54,Stupid Puzzle,Ravana [Materia],★☆☆,57,0,0
55,Chupa King,Zurvan [Materia],★☆☆,39,0,0
56,Zorara Copius,Sephirot [Materia],★☆☆,30,0,0
57,Eight Aliapoh,Ravana [Materia],★☆☆,29,0,0
58,Aislinn Rose,Ravana [Materia],★☆☆,14,0,0
59,Vert Noxx,Ravana [Materia],★☆☆,13,0,0
60,Persona Non-grata,Ravana [Materia],★★★,34,0,0
61,Eye Forty,Sephirot [Materia],★★★,19,0,0
62,Skyous Cinderwing,Ravana [Materia],★★★,11,0,0
63,Nina Galbraith,Sophia [Materia],★★★,7,0,0
64,Mare'athyu Yyuvern,Ravana [Materia],★★☆,31,0,0
65,Kaelen Vryndor,Sophia [Materia],★★☆,15,0,0
66,Alice Hexington,Sephirot [Materia],★☆☆,55,0,0
67,Sebastian Michaelis,Sephirot [Materia],★☆☆,28,0,0
68,Temp Arie,Zurvan [Materia],★☆☆,22,0,0
69,Katsu Tonkatsu,Sophia [Materia],★☆☆,9,0,0
70,Noelle Frost,Zurvan [Materia],★☆☆,4,0,0
71,Sean Cody,Sophia [Materia],★★★,11,0,0
