Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Sorin Maki,Durandal [Gaia],6619,177,0,14
2,Accelerator Xiv,Masamune [Mana],5245,427,0,0
3,Envy Lua,Valefor [Meteor],5152,407,0,9
4,Makina Belg,Belias [Meteor],5077,392,0,0
5,Okome Justice,Durandal [Gaia],5068,236,208,5
6,Noin Kurial,Asura [Mana],4924,221,0,4
7,Kite Free,Kujata [Elemental],4640,170,0,0
8,Felik Mqzino,Ultima [Gaia],4568,224,0,0
9,Tam Sin,Ultima [Gaia],4533,245,0,7
10,Vivi Ann,Kujata [Elemental],4439,246,0,1
11,Sura Imo,Atomos [Elemental],4437,118,0,0
12,K' R',Chocobo [Mana],4385,391,0,9
13,Wakaba Mutsumi,Pandaemonium [Mana],4383,228,0,20
14,Kappi Scarlet,Asura [Mana],4297,393,0,0
15,Shien Tia,Ixion [Mana],4187,105,0,0
16,Desire Drive,Yojimbo [Meteor],4174,204,0,0
17,Karma Strife,Chocobo [Mana],4129,200,0,0
18,Yumichin Nekoangel,Chocobo [Mana],4089,172,0,0
19,Erebus Demise,Mandragora [Meteor],4067,129,0,0
20,Tina Rilu,Garuda [Elemental],4049,234,0,0
21,Vector Nightcore,Bahamut [Gaia],4048,242,0,0
22,Super Omochi,Pandaemonium [Mana],4046,170,0,0
23,Yoochan Fantasy,Anima [Mana],4041,321,188,19
24,Ichigo Jasmine,Shinryu [Meteor],4039,229,0,0
25,Kuma Kumaara,Garuda [Elemental],4034,191,91,3
26,Pandemonic Planet,Ultima [Gaia],4032,207,0,0
27,Kageto Magatsuki,Ultima [Gaia],4031,272,0,0
28,Emil Sarasun,Asura [Mana],4011,116,0,0
29,Ciel Cocco,Anima [Mana],4000,419,0,13
30,Bikkuri Donkey,Belias [Meteor],4000,256,0,0
31,Paker Zuka,Bahamut [Gaia],3966,113,0,0
32,San Sowa,Ridill [Gaia],3952,648,100,12
33,Lancer Yan,Fenrir [Gaia],3951,109,0,0
34,Yoruki Hiroran,Typhon [Elemental],3943,420,0,16
35,Djinn Piston,Durandal [Gaia],3903,288,0,0
36,Nothing There,Fenrir [Gaia],3885,127,0,0
37,Khelby Trickster,Gungnir [Elemental],3872,212,0,10
38,Ciao' Chu-ru,Asura [Mana],3867,331,0,5
39,Hei Meiling,Anima [Mana],3860,260,0,0
40,Robs Wiz,Aegis [Elemental],3838,459,0,13
41,Aries San,Tiamat [Gaia],3791,214,2,9
42,Yume Utakata,Tiamat [Gaia],3747,195,295,14
43,White Kagerou,Ifrit [Gaia],3745,433,0,1
44,Tsuchi Tsuki,Bahamut [Gaia],3737,202,300,9
45,Pallas Athene,Shinryu [Meteor],3698,174,177,12
46,Zwei Kreuz,Bahamut [Gaia],3580,95,100,2
47,Extra Mage,Garuda [Elemental],3573,70,0,0
48,Xignas Schwalbe,Anima [Mana],3545,163,2,5
49,Not Happy,Alexander [Gaia],3513,184,0,0
50,Furanzeska Sumeragi,Tonberry [Elemental],3502,107,100,9
51,Aizen Sosuke,Asura [Mana],3494,137,73,2
52,God Moai,Atomos [Elemental],3482,147,0,0
53,Hatozo Ito,Typhon [Elemental],3478,450,0,9
54,Yan Yan,Alexander [Gaia],3477,632,0,7
55,Hakuto Leonard,Alexander [Gaia],3477,121,0,14
56,Rya Myosotisy,Asura [Mana],3451,166,0,5
57,Sophia' Yule,Unicorn [Meteor],3443,249,0,14
58,Dome Violet,Masamune [Mana],3441,361,186,8
59,Konegai Konegai,Masamune [Mana],3415,574,302,20
60,Notttz Imbrium,Titan [Mana],3383,304,0,1
61,Shinra Arasaka,Tiamat [Gaia],3379,158,0,0
62,Rex Cold,Bahamut [Gaia],3374,325,0,10
63,Mame Poporu,Ixion [Mana],3342,202,202,4
64,Saboree Catboy,Masamune [Mana],3313,132,0,0
