Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Kite Free,Kujata [Elemental],4640,170,0,0
2,Felik Mqzino,Ultima [Gaia],4329,154,0,0
3,Noin Kurial,Asura [Mana],4324,145,0,0
4,Makina Belg,Belias [Meteor],4299,281,0,17
5,Kappi Scarlet,Asura [Mana],4197,336,80,5
6,Sorin Maki,Durandal [Gaia],4160,74,0,0
7,Okome Justice,Durandal [Gaia],4076,210,84,9
8,Erebus Demise,Mandragora [Meteor],4067,129,0,0
9,Vivi Ann,Kujata [Elemental],4057,196,0,0
10,Accelerator Xiv,Masamune [Mana],4048,323,0,0
11,Emil Sarasun,Asura [Mana],4011,116,0,0
12,Bikkuri Donkey,Belias [Meteor],4000,256,0,0
13,Desire Drive,Yojimbo [Meteor],3998,154,0,14
14,Paker Zuka,Bahamut [Gaia],3966,105,0,1
15,Djinn Piston,Durandal [Gaia],3903,259,0,0
16,Nothing There,Fenrir [Gaia],3885,115,0,0
17,Hei Meiling,Anima [Mana],3860,260,0,3
18,Chris Louboutin,Kujata [Elemental],3852,104,0,0
19,Tina Rilu,Garuda [Elemental],3843,212,14,4
20,San Sowa,Ridill [Gaia],3805,535,8,11
21,Envy Lua,Valefor [Meteor],3784,364,42,30
22,Tam Sin,Ultima [Gaia],3764,188,193,11
23,Super Omochi,Pandaemonium [Mana],3747,165,0,0
24,Shien Tia,Ixion [Mana],3698,84,0,1
25,White Kagerou,Ifrit [Gaia],3663,312,0,0
26,Lancer Yan,Fenrir [Gaia],3650,101,693,12
27,Karma Strife,Chocobo [Mana],3635,171,0,3
28,Yumichin Nekoangel,Chocobo [Mana],3488,148,303,3
29,Hatozo Ito,Typhon [Elemental],3478,358,0,21
30,Yan Yan,Alexander [Gaia],3477,556,0,18
31,Vector Nightcore,Bahamut [Gaia],3454,220,114,11
32,Rya Myosotisy,Asura [Mana],3451,135,0,0
33,Sophia' Yule,Unicorn [Meteor],3443,100,0,0
34,Ciel Cocco,Anima [Mana],3423,340,0,0
35,Aizen Sosuke,Asura [Mana],3421,115,0,1
36,God Moai,Atomos [Elemental],3392,128,0,7
37,Shinra Arasaka,Tiamat [Gaia],3379,133,0,0
38,Wakaba Mutsumi,Pandaemonium [Mana],3359,145,299,13
39,Ichigo Jasmine,Shinryu [Meteor],3336,205,0,1
40,Kageto Magatsuki,Ultima [Gaia],3331,186,194,8
41,Jay Eins,Chocobo [Mana],3297,132,0,0
42,Rein Asshe,Ultima [Gaia],3283,103,0,3
43,Robs Wiz,Aegis [Elemental],3260,369,85,11
44,Kon Ganajai,Yojimbo [Meteor],3224,255,0,8
45,Piki Pipiki,Pandaemonium [Mana],3194,216,0,10
46,Ciao' Chu-ru,Asura [Mana],3172,255,0,15
47,K' R',Chocobo [Mana],3094,267,3,8
48,Pallas Athene,Shinryu [Meteor],3079,82,287,15
49,Aries San,Tiamat [Gaia],3070,149,0,9
50,Ciao-churu Catmeme,Carbuncle [Elemental],3067,309,0,0
51,Notttz Imbrium,Titan [Mana],3067,252,195,2
52,Lavinia Rose,Ridill [Gaia],3054,116,0,9
53,Sa Ta,Hades [Mana],3041,706,0,2
54,Xignas Schwalbe,Anima [Mana],3041,152,191,5
55,Tomomomo Momomo,Ramuh [Meteor],3025,158,0,5
56,Sead Slendisch,Asura [Mana],3008,217,387,15
57,Fizz Delight,Durandal [Gaia],2953,121,0,0
58,Oz Crain,Ultima [Gaia],2936,128,91,5
59,Not Happy,Alexander [Gaia],2918,167,0,0
60,Kuma Kumaara,Garuda [Elemental],2910,92,0,0
61,Orca Marrone,Pandaemonium [Mana],2906,263,0,14
62,Uki Yo,Masamune [Mana],2895,101,0,0
63,Konegai Konegai,Masamune [Mana],2886,504,198,40
64,Big Non,Belias [Meteor],2874,50,0,0
65,Tsuchi Tsuki,Bahamut [Gaia],2862,153,0,9
66,Silanah Oh-mana,Titan [Mana],2852,194,0,7
67,Peng In,Bahamut [Gaia],2845,416,0,0
68,Ame Miya',Ifrit [Gaia],2845,177,0,8
69,Nono Little,Hades [Mana],2843,165,0,0
70,Lan Dame-celot,Ifrit [Gaia],2834,318,0,0
71,Jack O'brian,Valefor [Meteor],2812,334,0,0
72,Furanzeska Sumeragi,Tonberry [Elemental],2809,79,0,0
73,Kamai Tatsu,Belias [Meteor],2796,168,0,0
74,Dumb Catgirl,Ultima [Gaia],2790,82,0,0
75,Lucy Lumi,Alexander [Gaia],2784,114,0,0
76,Hakune Maxamu,Aegis [Elemental],2731,375,4,7
77,Usatosan Fiftyseven,Typhon [Elemental],2719,212,182,11
78,Khelby Trickster,Gungnir [Elemental],2703,137,0,6
79,Saboree Catboy,Masamune [Mana],2703,108,0,0
80,Roud Mahu,Ixion [Mana],2691,107,0,3
81,Wally Deluaki,Hades [Mana],2685,230,0,7
82,Myomyo Russel,Durandal [Gaia],2684,64,0,0
83,Dome Violet,Masamune [Mana],2671,282,0,20
84,Lain Wired,Chocobo [Mana],2660,309,0,3
85,Chokobi Liagnar,Bahamut [Gaia],2642,141,0,4
86,Shion Amber,Unicorn [Meteor],2638,105,191,6
87,Palo Negro,Aegis [Elemental],2617,190,0,12
88,Nagi Una,Fenrir [Gaia],2593,289,0,7
89,Haruka Arashi,Ultima [Gaia],2585,75,0,0
90,Tsuki Umi,Aegis [Elemental],2577,57,0,0
91,Zwei Kreuz,Bahamut [Gaia],2576,61,0,0
92,Deisia Touna,Mandragora [Meteor],2574,127,0,10
93,Stardust Emilia,Hades [Mana],2573,369,99,1
94,Samu Ko,Ixion [Mana],2567,113,0,0
95,Primlock Griffyn,Tonberry [Elemental],2540,382,0,7
96,Yoruki Hiroran,Typhon [Elemental],2539,207,0,21
97,Teena Lewis,Bahamut [Gaia],2530,190,0,0
98,Love Bunny,Unicorn [Meteor],2522,311,0,0
99,Aoi Rune,Pandaemonium [Mana],2505,179,0,0
100,Ritsu Nikuno,Alexander [Gaia],2499,101,0,1
101,Dodopita Pittan,Tiamat [Gaia],2497,223,0,11
102,Taroe Kobuta,Kujata [Elemental],2494,403,0,12
103,Ameri Vintage,Durandal [Gaia],2482,99,180,19
104,Rex Cold,Bahamut [Gaia],2480,260,0,0
105,Adelbert Arde,Aegis [Elemental],2472,233,0,12
106,Ajika Rajika,Tiamat [Gaia],2467,94,0,0
107,Sura Imo,Atomos [Elemental],2467,77,0,0
108,Endless Summer,Tiamat [Gaia],2466,391,0,0
109,Kana Drouv,Mandragora [Meteor],2464,147,96,6
110,Punsuko Rageborn,Titan [Mana],2463,159,0,0
111,Firo Sknaht,Bahamut [Gaia],2459,145,0,6
112,Nighty Night,Ridill [Gaia],2446,164,0,0
113,Merry Scrald,Belias [Meteor],2445,79,0,0
114,Neneco Neko,Ultima [Gaia],2438,241,0,0
115,Medoh Meshi,Alexander [Gaia],2411,155,0,3
116,Nao Fu,Shinryu [Meteor],2406,193,0,13
117,Akatuki Re,Carbuncle [Elemental],2394,394,184,5
118,Uta Tubame,Zeromus [Meteor],2386,52,0,0
119,Uni Payne,Masamune [Mana],2385,280,0,10
120,Jawa San,Titan [Mana],2382,248,0,35
121,Showmaker Matsumoto,Pandaemonium [Mana],2380,64,0,15
122,Kusozako Kamemushi,Bahamut [Gaia],2379,66,0,0
123,Little Wish,Pandaemonium [Mana],2378,84,0,0
124,Takanuki Natsuki,Ifrit [Gaia],2364,161,0,0
125,Yatsurugi Yuki,Garuda [Elemental],2355,149,0,5
126,Kirakira Akira,Typhon [Elemental],2331,78,0,0
127,Mame Poporu,Ixion [Mana],2326,156,0,1
128,Ryon Wolves,Zeromus [Meteor],2318,175,0,0
129,Inori Chan,Asura [Mana],2313,41,0,0
130,Heated Rivalry,Valefor [Meteor],2310,33,0,0
131,Yume Utakata,Tiamat [Gaia],2308,101,494,13
132,Erik Bural,Hades [Mana],2303,302,0,0
133,Zitnn Alexand,Belias [Meteor],2298,336,69,7
134,Keisei Cozavolt,Masamune [Mana],2292,312,0,0
135,Minisuta Blood,Atomos [Elemental],2289,28,298,3
136,Zumu Elect,Shinryu [Meteor],2288,117,0,0
137,Hakuto Leonard,Alexander [Gaia],2288,92,0,7
