Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Kite Free,Kujata [Elemental],4640,169,0,0
2,Sorin Maki,Durandal [Gaia],4059,73,486,10
3,Vivi Ann,Kujata [Elemental],4057,196,0,0
4,Felik Mqzino,Ultima [Gaia],4033,116,0,0
5,Makina Belg,Belias [Meteor],4008,176,0,0
6,Noin Kurial,Asura [Mana],3923,135,0,0
7,Nothing There,Fenrir [Gaia],3885,86,300,12
8,Envy Lua,Valefor [Meteor],3742,246,0,8
9,Pandemonic Planet,Ultima [Gaia],3610,123,0,0
10,Yan Yan,Alexander [Gaia],3477,417,0,0
11,Paker Zuka,Bahamut [Gaia],3465,96,197,2
12,Bikkuri Donkey,Belias [Meteor],3463,140,0,14
13,Rya Myosotisy,Asura [Mana],3451,135,0,1
14,Karma Strife,Chocobo [Mana],3431,131,10,4
15,Djinn Piston,Durandal [Gaia],3419,224,197,8
16,Tina Rilu,Garuda [Elemental],3410,117,0,3
17,Shinra Arasaka,Tiamat [Gaia],3379,118,0,5
18,Jay Eins,Chocobo [Mana],3297,132,0,0
19,Kon Ganajai,Yojimbo [Meteor],3224,202,0,14
20,Shien Tia,Ixion [Mana],3202,72,0,0
21,Robs Wiz,Aegis [Elemental],3175,291,0,23
22,Erebus Demise,Mandragora [Meteor],3084,118,393,5
23,Accelerator Xiv,Masamune [Mana],3078,211,0,24
24,Ciao-churu Catmeme,Carbuncle [Elemental],3067,253,0,31
25,Super Omochi,Pandaemonium [Mana],3049,157,402,8
26,Tomomomo Momomo,Ramuh [Meteor],3025,128,0,6
27,Okome Justice,Durandal [Gaia],3016,151,102,11
28,San Sowa,Ridill [Gaia],2997,441,0,12
29,Wakaba Mutsumi,Pandaemonium [Mana],2976,110,0,22
30,Rein Asshe,Ultima [Gaia],2976,86,0,4
31,Aries San,Tiamat [Gaia],2955,121,75,1
32,Aizen Sosuke,Asura [Mana],2928,95,0,0
33,Kuma Kumaara,Garuda [Elemental],2910,90,0,0
34,Piki Pipiki,Pandaemonium [Mana],2889,162,0,0
35,Peng In,Bahamut [Gaia],2845,353,0,5
36,Ame Miya',Ifrit [Gaia],2845,123,397,6
37,Lan Dame-celot,Ifrit [Gaia],2834,265,155,13
38,Kappi Scarlet,Asura [Mana],2810,302,101,11
39,Desire Drive,Yojimbo [Meteor],2806,65,0,4
40,Kamai Tatsu,Belias [Meteor],2796,154,99,6
41,Lucy Lumi,Alexander [Gaia],2784,114,0,0
42,Yumichin Nekoangel,Chocobo [Mana],2782,129,97,1
43,Emil Sarasun,Asura [Mana],2754,96,9,8
44,Tsuchi Tsuki,Bahamut [Gaia],2753,97,0,0
45,Fizz Delight,Durandal [Gaia],2752,89,0,0
46,Oz Crain,Ultima [Gaia],2744,112,0,0
47,Saboree Catboy,Masamune [Mana],2703,108,0,0
48,Pallas Athene,Shinryu [Meteor],2691,66,0,0
49,Esperante Shock,Belias [Meteor],2688,116,0,0
50,Wally Deluaki,Hades [Mana],2685,175,0,16
51,Myomyo Russel,Durandal [Gaia],2684,64,0,0
52,Dome Violet,Masamune [Mana],2671,173,0,14
53,Silanah Oh-mana,Titan [Mana],2671,134,0,2
54,Tam Sin,Ultima [Gaia],2669,126,0,9
55,Sophia' Yule,Unicorn [Meteor],2665,63,0,0
56,K' R',Chocobo [Mana],2640,223,0,0
57,Lavinia Rose,Ridill [Gaia],2633,98,0,0
58,Ichigo Jasmine,Shinryu [Meteor],2624,147,0,0
59,Ciel Cocco,Anima [Mana],2620,308,0,8
60,Palo Negro,Aegis [Elemental],2617,124,0,0
61,Sead Slendisch,Asura [Mana],2613,170,0,6
62,Furanzeska Sumeragi,Tonberry [Elemental],2610,73,97,3
63,Nagi Una,Fenrir [Gaia],2593,270,211,5
64,Haruka Arashi,Ultima [Gaia],2585,75,0,0
65,Samu Ko,Ixion [Mana],2567,113,0,0
66,Kageto Magatsuki,Ultima [Gaia],2560,127,0,5
67,Xignas Schwalbe,Anima [Mana],2552,118,70,2
68,Yoruki Hiroran,Typhon [Elemental],2539,172,0,0
69,Usatosan Fiftyseven,Typhon [Elemental],2517,173,0,20
70,Not Happy,Alexander [Gaia],2516,156,0,0
71,Hatozo Ito,Typhon [Elemental],2499,247,0,11
72,Ritsu Nikuno,Alexander [Gaia],2499,99,0,0
73,Dodopita Pittan,Tiamat [Gaia],2497,174,0,0
74,Orca Marrone,Pandaemonium [Mana],2496,164,0,0
75,Taroe Kobuta,Kujata [Elemental],2494,322,0,4
76,Notttz Imbrium,Titan [Mana],2479,221,97,6
77,Adelbert Arde,Aegis [Elemental],2472,191,288,6
