Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Sensei Jyutusi,Chocobo [Mana],4090,163,0,0
2,Kim Shin,Masamune [Mana],4076,89,0,0
3,Yurugi Koyurugi,Belias [Meteor],3856,87,0,0
4,Happo Hapo,Pandaemonium [Mana],3695,90,0,10
5,Paker Zuka,Bahamut [Gaia],3295,106,0,5
6,Makina Belg,Belias [Meteor],3250,170,521,17
7,Sorin Maki,Durandal [Gaia],3247,103,0,0
8,Hatozo Ito,Typhon [Elemental],3232,119,0,6
9,K' R',Chocobo [Mana],3197,132,0,0
10,Vivi Ann,Kujata [Elemental],3082,152,104,7
11,Ciel Cocco,Anima [Mana],3081,193,16,11
12,Merry Scrald,Belias [Meteor],3078,89,0,0
13,Wonton Starlight,Chocobo [Mana],3077,241,192,9
14,Seraki Matsushima,Ixion [Mana],3028,84,483,16
15,Kite Free,Kujata [Elemental],2973,39,0,0
16,Bakeke Bake,Asura [Mana],2953,146,0,0
17,Dome Violet,Masamune [Mana],2918,198,0,0
18,Naku Cha,Zeromus [Meteor],2897,65,0,0
19,Aizen Sosuke,Asura [Mana],2888,140,97,1
20,Emil Sarasun,Asura [Mana],2832,96,0,0
21,Djinn Piston,Durandal [Gaia],2831,76,0,12
22,Piccolo Saaaaann,Asura [Mana],2789,306,0,6
23,Tarex Youva,Tonberry [Elemental],2780,193,0,4
24,Atsu Bow,Mandragora [Meteor],2753,287,0,30
25,Kappi Scarlet,Asura [Mana],2698,155,0,3
26,Grey Book,Alexander [Gaia],2695,87,0,0
27,Ame Ame,Titan [Mana],2694,63,0,0
28,Imlink Rr,Bahamut [Gaia],2636,281,0,7
29,Tango Ngo,Alexander [Gaia],2629,208,0,0
30,Sura Imo,Shinryu [Meteor],2584,48,0,0
31,Mun- Mutyo,Bahamut [Gaia],2580,185,0,0
32,Sono Ta,Shinryu [Meteor],2574,48,0,0
33,Fania Eckert,Titan [Mana],2568,192,0,3
34,Aman Kaharmine,Belias [Meteor],2538,324,0,4
35,Peng In,Bahamut [Gaia],2538,140,0,13
36,Jay Eins,Chocobo [Mana],2499,66,0,0
37,Robs Wiz,Aegis [Elemental],2491,205,0,5
38,Tsuchi Tsuki,Bahamut [Gaia],2481,66,0,0
39,Xignas Schwalbe,Anima [Mana],2457,178,195,2
40,Shiman Chu,Yojimbo [Meteor],2455,120,0,0
41,Zsika Mu',Ridill [Gaia],2396,56,0,0
42,Neneco Neko,Ultima [Gaia],2392,69,0,0
43,Lucy Tave,Durandal [Gaia],2382,615,0,10
44,Pero Noir,Ultima [Gaia],2381,59,0,0
45,Furanzeska Sumeragi,Tonberry [Elemental],2376,88,0,0
46,Yoochan Fantasy,Anima [Mana],2371,71,288,5
47,Taroe Kobuta,Kujata [Elemental],2367,368,0,0
48,Minisuta Blood,Atomos [Elemental],2360,39,0,0
49,Lancer Yan,Fenrir [Gaia],2354,63,0,0
50,Aurora Duskveil,Carbuncle [Elemental],2347,160,0,9
51,Lan Dame-celot,Ifrit [Gaia],2338,69,0,0
52,Snow Albarn,Fenrir [Gaia],2336,151,0,0
53,Lil Latte,Anima [Mana],2329,222,187,3
54,Basta Reno,Carbuncle [Elemental],2305,70,0,0
55,Aeritte Ravel,Carbuncle [Elemental],2275,174,0,4
56,Akki Noc,Alexander [Gaia],2265,135,0,10
57,Lupinus Lily,Ultima [Gaia],2263,92,0,0
58,Kuno Cadenzavnaeve,Ifrit [Gaia],2260,98,0,0
59,Tomato Mato,Ixion [Mana],2257,65,777,16
60,Sukoya Mihirogi,Anima [Mana],2249,134,0,0
61,Velvet Shilky,Anima [Mana],2244,313,0,0
62,Ciao' Chu-ru,Asura [Mana],2243,88,0,0
63,Death-by Glamour,Fenrir [Gaia],2236,57,0,0
64,Mialulu Sabotage,Tiamat [Gaia],2191,50,0,0
65,Hosi Lumier,Ridill [Gaia],2190,168,0,0
66,Noin Kurial,Asura [Mana],2177,49,0,0
67,Tige Noir,Ridill [Gaia],2170,240,0,0
68,Regret Weise,Fenrir [Gaia],2167,81,101,9
69,Gogant Gogant,Atomos [Elemental],2163,115,0,0
70,Tam Sin,Ultima [Gaia],2157,82,0,6
71,Coffee Mint,Titan [Mana],2154,692,0,19
72,Soujirou Seta,Tonberry [Elemental],2153,141,0,11
73,Akatuki Re,Carbuncle [Elemental],2151,135,100,13
74,Aslan Miller,Ixion [Mana],2142,228,0,12
75,Sidurgu Obsidian,Garuda [Elemental],2139,83,0,0
76,Yuki Yui,Ultima [Gaia],2105,130,0,2
77,Walter Winston,Fenrir [Gaia],2104,76,0,1
78,Kaede Felis,Typhon [Elemental],2098,128,96,1
79,Hso Gkd,Asura [Mana],2096,76,394,10
80,Fuki Non,Titan [Mana],2096,67,0,0
81,Fury Halone,Chocobo [Mana],2095,51,0,0
82,Kotori Angel,Alexander [Gaia],2094,60,0,0
83,Ed Xii,Zeromus [Meteor],2093,47,507,11
84,Flavia Saurva,Chocobo [Mana],2089,52,0,0
85,Elosie Ue,Bahamut [Gaia],2087,79,0,0
86,Yuki Macaron-vanille,Ridill [Gaia],2087,66,0,0
87,Kikiru Kiru,Pandaemonium [Mana],2086,35,0,0
88,Alt Sanktgallen,Mandragora [Meteor],2085,107,197,6
89,Avail Tec,Garuda [Elemental],2085,78,0,0
