Rank,Name,World,Credits,Victories
1,Kite Free,Kujata [Elemental],4496,142
2,Makina Belg,Belias [Meteor],3563,88
3,Rya Myosotisy,Asura [Mana],3451,126
4,Felik Mqzino,Ultima [Gaia],3170,97
5,Vivi Ann,Kujata [Elemental],3167,150
6,Jay Eins,Chocobo [Mana],3097,130
7,Sorin Maki,Durandal [Gaia],3058,51
8,Djinn Piston,Durandal [Gaia],3050,167
9,Noin Kurial,Asura [Mana],3032,106
10,Kon Ganajai,Yojimbo [Meteor],3026,145
11,Nothing There,Fenrir [Gaia],3007,54
12,Shien Tia,Ixion [Mana],3002,68
13,San Sowa,Ridill [Gaia],2997,319
14,Accelerator Xiv,Masamune [Mana],2978,75
15,Wakaba Mutsumi,Pandaemonium [Mana],2976,56
16,Envy Lua,Valefor [Meteor],2945,187
17,Robs Wiz,Aegis [Elemental],2855,200
18,Karma Strife,Chocobo [Mana],2797,106
19,Lucy Lumi,Alexander [Gaia],2784,114
20,Chris Louboutin,Kujata [Elemental],2768,47
21,Bikkuri Donkey,Belias [Meteor],2753,91
22,Saboree Catboy,Masamune [Mana],2703,98
23,Esperante Shock,Belias [Meteor],2688,88
24,Myomyo Russel,Durandal [Gaia],2684,63
25,Piki Pipiki,Pandaemonium [Mana],2671,120
26,K' R',Chocobo [Mana],2640,188
27,Ciel Cocco,Anima [Mana],2620,253
28,Sead Slendisch,Asura [Mana],2613,134
29,Kamai Tatsu,Belias [Meteor],2592,113
30,Tam Sin,Ultima [Gaia],2586,107
31,Samu Ko,Ixion [Mana],2567,98
32,Yoruki Hiroran,Typhon [Elemental],2539,123
33,Tomomomo Momomo,Ramuh [Meteor],2525,101
34,Not Happy,Alexander [Gaia],2516,156
35,Desire Drive,Yojimbo [Meteor],2498,41
36,Paker Zuka,Bahamut [Gaia],2489,76
37,Kappi Scarlet,Asura [Mana],2468,208
38,Punsuko Rageborn,Titan [Mana],2463,114
39,Tsuchi Tsuki,Bahamut [Gaia],2458,73
40,Super Omochi,Pandaemonium [Mana],2453,137
41,Okome Justice,Durandal [Gaia],2398,82
42,Xignas Schwalbe,Anima [Mana],2397,84
43,Haruka Arashi,Ultima [Gaia],2390,63
44,Ciao' Chu-ru,Asura [Mana],2387,158
45,Peng In,Bahamut [Gaia],2385,292
46,Kusozako Kamemushi,Bahamut [Gaia],2379,66
47,Little Wish,Pandaemonium [Mana],2378,84
48,Ichigo Jasmine,Shinryu [Meteor],2339,118
49,Inori Chan,Asura [Mana],2313,41
50,Uni Payne,Masamune [Mana],2303,135
51,Keisei Cozavolt,Masamune [Mana],2292,205
52,Zumu Elect,Shinryu [Meteor],2288,117
53,Hei Meiling,Anima [Mana],2279,178
54,Emil Sarasun,Asura [Mana],2266,71
55,Kageto Magatsuki,Ultima [Gaia],2262,100
56,Dome Violet,Masamune [Mana],2261,98
57,Chokobi Liagnar,Bahamut [Gaia],2253,103
58,Oz Crain,Ultima [Gaia],2249,102
59,Tarex Youva,Tonberry [Elemental],2238,173
60,Hatozo Ito,Typhon [Elemental],2211,185
61,Uki Yo,Masamune [Mana],2208,70
62,Buronko San,Fenrir [Gaia],2204,153
63,Yumichin Nekoangel,Chocobo [Mana],2202,87
64,Dumb Catgirl,Ultima [Gaia],2197,69
65,Firo Sknaht,Bahamut [Gaia],2193,71
66,Lia Lamperouge,Ixion [Mana],2172,110
67,Love Bunny,Unicorn [Meteor],2170,262
68,Zitnn Alexand,Belias [Meteor],2158,94
69,Aizen Sosuke,Asura [Mana],2156,76
70,Rex Cold,Bahamut [Gaia],2153,161
71,Ame Miya',Ifrit [Gaia],2150,104
72,Meteor Hylfyst,Chocobo [Mana],2144,113
73,Yan Yan,Alexander [Gaia],2139,320
74,Lan Dame-celot,Ifrit [Gaia],2127,185
75,Gaelle Green,Durandal [Gaia],2125,168
76,Lavinia Rose,Ridill [Gaia],2124,71
77,Palo Negro,Aegis [Elemental],2123,112
78,Konegai Konegai,Masamune [Mana],2114,236
79,Dodopita Pittan,Tiamat [Gaia],2099,134
80,Imlink Rr,Bahamut [Gaia],2098,126
81,Medoh Meshi,Alexander [Gaia],2098,77
82,Nanasia Plum,Hades [Mana],2096,188
83,Hakuto Leonard,Alexander [Gaia],2088,81
84,Nobu Marlboro,Shinryu [Meteor],2085,97
85,Hiyokko Pyonpyon,Fenrir [Gaia],2085,89
86,Showmaker Matsumoto,Pandaemonium [Mana],2081,39
87,Pallas Athene,Shinryu [Meteor],2079,51
88,Aries San,Tiamat [Gaia],2077,90
89,Ajika Rajika,Tiamat [Gaia],2074,81
90,Sura Imo,Atomos [Elemental],2073,71
91,Lancer Yan,Fenrir [Gaia],2071,66
92,Seraki Matsushima,Ixion [Mana],2070,91
93,Laz Line,Typhon [Elemental],2069,44
94,Sophia' Yule,Unicorn [Meteor],2068,54
95,Myaji Myilia,Zeromus [Meteor],2062,49
96,Hso Gkd,Asura [Mana],2053,74
97,Lavie Lee,Fenrir [Gaia],2050,92
98,Kuma Corona,Garuda [Elemental],2047,144
99,Zyu Setu,Ridill [Gaia],2046,101
100,Torime Nico,Atomos [Elemental],2044,250
