Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Ciel Cocco,Anima [Mana],2086,72,0,0
2,Vivi Ann,Kujata [Elemental],2080,55,0,0
3,Hatozo Ito,Typhon [Elemental],2077,26,688,10
4,Sorin Maki,Durandal [Gaia],2055,84,0,0
5,Ciao' Chu-ru,Asura [Mana],2042,62,584,11
6,Makina Belg,Belias [Meteor],2037,94,0,0
7,Paker Zuka,Bahamut [Gaia],1954,66,383,10
8,Kappi Scarlet,Asura [Mana],1942,74,188,18
9,Emil Sarasun,Asura [Mana],1781,56,0,0
10,Noin Kurial,Asura [Mana],1780,44,0,0
11,Bakeke Bake,Asura [Mana],1720,71,0,0
12,Rya Myosotisy,Asura [Mana],1698,40,0,0
13,Sensei Jyutusi,Chocobo [Mana],1676,51,0,9
14,Kawlo Wilhelm,Ixion [Mana],1610,28,0,0
15,Jay Eins,Chocobo [Mana],1494,51,0,0
16,Death-by Glamour,Fenrir [Gaia],1465,39,0,0
17,San Sowa,Ridill [Gaia],1379,55,0,0
18,Seraki Matsushima,Ixion [Mana],1378,23,0,3
19,Aries San,Tiamat [Gaia],1375,39,0,9
20,Ruru Rururun,Ifrit [Gaia],1374,61,296,8
21,Piccolo Saaaaann,Asura [Mana],1314,45,0,2
22,Karma Strife,Chocobo [Mana],1223,53,0,0
23,Basuta Kirito,Carbuncle [Elemental],1223,35,199,4
24,Hoshino Ai,Titan [Mana],1220,33,0,3
25,Fania Eckert,Titan [Mana],1216,98,0,22
26,Mialu Ebisuki,Masamune [Mana],1200,25,0,0
27,Ml Tei,Alexander [Gaia],1200,13,0,0
28,Nemu Nenemu,Anima [Mana],1195,70,0,0
29,Tango Ngo,Alexander [Gaia],1194,42,605,13
30,Imlink Rr,Bahamut [Gaia],1101,93,0,30
31,Ura Ururu,Chocobo [Mana],1098,14,0,0
32,Unchou Kan,Aegis [Elemental],1096,14,0,0
33,Aizen Sosuke,Asura [Mana],1095,55,0,9
34,Aman Kaharmine,Belias [Meteor],1094,67,0,14
35,Hina Narumi,Masamune [Mana],1091,18,0,0
36,Tsuchi Tsuki,Bahamut [Gaia],1088,12,98,1
37,Mundane Mann,Asura [Mana],1082,19,0,3
38,Fuki Non,Titan [Mana],1002,20,107,5
39,Raiden Thorne,Tiamat [Gaia],1001,33,0,0
40,Lhei Tayun,Chocobo [Mana],998,19,0,0
41,Bikkuri Donkey,Belias [Meteor],997,15,0,0
42,Wuruwuru Yaya,Asura [Mana],995,23,0,0
43,Shinra Arasaka,Tiamat [Gaia],991,18,0,1
44,Snow Albarn,Fenrir [Gaia],985,28,298,3
45,Wonton Starlight,Chocobo [Mana],984,76,498,8
46,Vir Sanctus,Asura [Mana],981,26,0,0
47,Hateful Past,Asura [Mana],974,31,286,14
48,Rip Rill,Gungnir [Elemental],923,62,0,8
49,Yuki Yui,Ultima [Gaia],910,59,207,8
50,Rex Cold,Bahamut [Gaia],910,38,104,8
51,Suteiki Niku,Ixion [Mana],906,85,405,13
52,Lycoris Read,Garuda [Elemental],905,74,0,12
53,Akatuki Re,Carbuncle [Elemental],905,10,100,1
54,Sukoya Mihirogi,Anima [Mana],904,35,0,16
55,Tatsumi Berserk,Ifrit [Gaia],899,122,202,7
56,Aruku Babyun,Unicorn [Meteor],897,53,0,0
57,Chiaki Nanami,Titan [Mana],897,9,0,0
58,Fennel Earltea,Typhon [Elemental],896,64,494,22
59,Deisia Touna,Mandragora [Meteor],896,16,0,5
60,Kuno Cadenzavnaeve,Ifrit [Gaia],895,40,0,1
61,Xignas Schwalbe,Anima [Mana],895,36,196,11
62,Coffee Mint,Titan [Mana],894,159,0,26
63,Jaeger Lecoultre,Carbuncle [Elemental],894,10,0,0
64,Cait Sith,Tiamat [Gaia],893,43,99,1
65,Sha Moji,Carbuncle [Elemental],893,34,0,5
66,Amani Taru,Mandragora [Meteor],892,15,692,14
67,Zwei Kreuz,Bahamut [Gaia],892,14,97,1
68,Sakura Nemutai,Titan [Mana],889,43,0,4
69,Okome Justice,Durandal [Gaia],889,16,590,10
70,Zero No'name,Titan [Mana],888,29,294,6
71,Rebecca Miyamoto,Masamune [Mana],886,53,0,0
