Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Roric Thorne,Pandaemonium [Mana],10053,373,0,0
2,Bakeke Bake,Asura [Mana],6407,533,0,0
3,Kite Free,Kujata [Elemental],6310,276,0,0
4,Kyna Hollowmere,Ultima [Gaia],6195,182,0,0
5,Vivi Ann,Kujata [Elemental],5841,258,0,0
6,Aries San,Tiamat [Gaia],5721,216,0,0
7,Cueina Uumi,Titan [Mana],5458,317,199,2
8,Shien Tia,Ixion [Mana],5404,223,0,0
9,Djinn Piston,Durandal [Gaia],5343,189,0,0
10,Ponpo Pon,Hades [Mana],5286,247,0,0
11,Ciel Cocco,Anima [Mana],5173,395,0,0
12,Rya Myosotisy,Asura [Mana],5081,338,0,3
13,Laz Line,Typhon [Elemental],5064,93,578,6
14,Paker Zuka,Bahamut [Gaia],5063,137,92,4
15,Tur Vi,Ixion [Mana],5044,160,0,0
16,Kuno Cadenzavnaeve,Ifrit [Gaia],4961,285,0,0
17,Makina Belg,Belias [Meteor],4922,547,0,17
18,Uki Yo,Masamune [Mana],4913,179,0,0
19,Pallas Athene,Shinryu [Meteor],4772,143,2,3
20,Lavinia Rose,Ridill [Gaia],4743,172,0,1
21,Sorin Maki,Durandal [Gaia],4657,149,0,0
22,Extra Mage,Garuda [Elemental],4632,234,0,0
23,Noin Kurial,Asura [Mana],4610,226,100,5
24,Okome Justice,Durandal [Gaia],4504,135,0,0
25,Naku Cha,Zeromus [Meteor],4468,112,0,5
26,Hatozo Ito,Typhon [Elemental],4445,308,398,12
27,Robs Wiz,Aegis [Elemental],4385,731,0,4
28,Yurugi Koyurugi,Belias [Meteor],4378,175,0,0
29,Lancer Yan,Fenrir [Gaia],4355,153,0,7
30,Inori Chan,Asura [Mana],4327,175,280,12
31,Hikaru Amanogawa,Unicorn [Meteor],4296,338,0,0
32,Tina Rilu,Garuda [Elemental],4285,93,0,0
33,Nicku Nicku,Tonberry [Elemental],4281,366,0,0
34,Rex Cold,Bahamut [Gaia],4279,147,0,0
35,K' R',Chocobo [Mana],4268,171,0,3
36,Ml Tei,Alexander [Gaia],4258,96,0,0
37,Emil Sarasun,Asura [Mana],4246,112,0,1
38,Tirumu Pirumu,Anima [Mana],4235,253,0,0
39,Errer Errant,Asura [Mana],4229,114,0,0
40,Envy Lua,Valefor [Meteor],4209,277,0,0
41,Desire Drive,Yojimbo [Meteor],4209,191,0,0
42,Merry Scrald,Belias [Meteor],4204,181,0,0
43,Yumichin Nekoangel,Chocobo [Mana],4183,138,99,1
44,Deisia Touna,Mandragora [Meteor],4182,383,0,0
45,Kageto Magatsuki,Ultima [Gaia],4179,316,0,0
46,Buronko San,Fenrir [Gaia],4178,620,0,0
47,Furanzeska Sumeragi,Tonberry [Elemental],4178,358,99,3
48,Tam Sin,Ultima [Gaia],4164,386,0,0
49,Ichigo Jasmine,Shinryu [Meteor],4161,114,96,1
50,Seraki Matsushima,Ixion [Mana],4155,178,0,0
51,Oriental Art,Chocobo [Mana],4142,631,0,10
52,El' Sha,Asura [Mana],4128,88,0,0
53,Shiki Hime,Kujata [Elemental],4119,153,0,0
54,Ahhhhhhhhh Haaaaaaaaa,Fenrir [Gaia],4113,227,0,0
55,Haloa Eclipsa,Ultima [Gaia],4110,276,0,0
56,Yoochan Fantasy,Anima [Mana],4108,585,0,7
57,Kuros Mu,Pandaemonium [Mana],4099,138,0,0
58,Miqo Myers,Tonberry [Elemental],4096,104,0,0
59,Tilt Woman,Pandaemonium [Mana],4090,237,0,0
60,Kim Shin,Masamune [Mana],4090,100,0,0
61,Mio Akiyama,Typhon [Elemental],4088,87,0,0
62,Sensei Jyutusi,Chocobo [Mana],4082,119,0,0
63,Accelerator Xiv,Masamune [Mana],4080,455,0,0
64,Neku Xyst,Ifrit [Gaia],4075,661,0,0
65,Corvus Gradior,Titan [Mana],4071,222,0,0
66,Yan Yan,Alexander [Gaia],4069,370,0,0
67,Hildemir Draekhal,Pandaemonium [Mana],4068,90,0,0
68,Aizen Sosuke,Asura [Mana],4062,261,0,0
69,Maldis Cursethral,Hades [Mana],4062,150,0,0
70,Lukina Sirobara,Pandaemonium [Mana],4057,200,0,0
71,Esperante Shock,Belias [Meteor],4054,310,0,0
72,Kappi Scarlet,Asura [Mana],4050,312,0,0
73,Hyunsik Lee,Typhon [Elemental],4049,535,0,0
74,Falaris Whitemoon,Carbuncle [Elemental],4043,948,0,0
75,Tomomomo Momomo,Ramuh [Meteor],4040,293,0,0
76,Tsuki Umi,Aegis [Elemental],4038,143,0,0
77,Jay Eins,Chocobo [Mana],4031,138,0,0
78,Yuki Macaron-vanille,Ridill [Gaia],4027,319,0,0
79,Harvey Elliot,Tiamat [Gaia],4023,171,0,0
80,Kine Uffelmann,Kujata [Elemental],4021,201,0,0
81,Mila Scarlettt,Ifrit [Gaia],4018,210,498,6
82,Hoshino Ai,Titan [Mana],4018,162,0,0
83,Shinra Arasaka,Tiamat [Gaia],4010,170,0,1
84,Ciel Stella,Fenrir [Gaia],4009,509,0,0
85,Erebus Nocturne,Mandragora [Meteor],4008,57,0,0
86,Yuuking Furry,Titan [Mana],4005,136,0,0
87,Sura Imo,Shinryu [Meteor],4003,257,0,3
88,Nacreous Snowmelt,Asura [Mana],4001,145,0,0
89,Caedes Rozwell,Hades [Mana],3991,266,0,13
90,Hase Schwarzer,Ifrit [Gaia],3938,342,0,0
91,Notttz Imbrium,Titan [Mana],3825,336,0,1
92,Burger Cat,Ifrit [Gaia],3822,151,0,23
93,Aleve Umideno,Aegis [Elemental],3796,389,344,24
94,San Sowa,Ridill [Gaia],3785,643,21,10
95,Tk Dkaehf,Ridill [Gaia],3734,186,969,20
96,Basuta Kirito,Carbuncle [Elemental],3728,307,0,0
97,Ed Xii,Zeromus [Meteor],3725,167,0,0
98,Pipi Rupipi,Ridill [Gaia],3719,591,0,0
99,Lucy Lumi,Alexander [Gaia],3698,258,0,0
100,Mame Poporu,Ixion [Mana],3693,142,0,0
101,Satou Yaniko,Mandragora [Meteor],3689,146,0,0
102,Nighty Night,Ridill [Gaia],3686,407,0,4
103,Satosan Fiftysix,Typhon [Elemental],3681,229,0,24
104,Rain Altairis,Anima [Mana],3679,288,0,0
105,Mao Caprice,Titan [Mana],3679,232,0,0
106,Ichi Nose,Anima [Mana],3671,204,0,0
107,Aurelia Stratosfera,Unicorn [Meteor],3641,157,0,0
108,Black' Cat,Ifrit [Gaia],3622,372,0,10
109,Chiaki Gypsophila,Anima [Mana],3618,180,0,2
110,Yunaneko Supira,Ultima [Gaia],3615,296,0,0
111,Jack O'brian,Valefor [Meteor],3609,381,201,11
112,Hateful Past,Asura [Mana],3608,317,0,0
113,Konegai Konegai,Masamune [Mana],3601,441,0,16
114,Aman Kaharmine,Belias [Meteor],3599,567,0,0
115,Suteiki Niku,Ixion [Mana],3596,497,0,0
116,Kon Ganajai,Yojimbo [Meteor],3583,265,0,0
117,Zsika Mu',Ridill [Gaia],3564,204,0,0
118,Noctra Eclipsa,Tiamat [Gaia],3554,224,0,13
119,Xignas Schwalbe,Anima [Mana],3530,488,0,8
120,Lazulim Langheim,Ultima [Gaia],3518,1092,0,15
121,Yagi San,Pandaemonium [Mana],3518,77,201,2
122,Holala Vvn,Durandal [Gaia],3514,151,195,20
123,Lain Wired,Chocobo [Mana],3504,563,0,10
124,Myomyo Russel,Durandal [Gaia],3500,102,0,0
125,Kotori Angel,Alexander [Gaia],3498,134,0,0
126,Kamai Tatsu,Belias [Meteor],3491,323,0,11
127,Loren Winter,Typhon [Elemental],3489,55,0,0
128,Akatuki Re,Carbuncle [Elemental],3483,544,0,4
129,Nuts-eater Masako,Aegis [Elemental],3483,146,0,3
130,Fania Eckert,Titan [Mana],3482,287,0,14
131,Inx Chrono,Yojimbo [Meteor],3477,999,0,11
132,Ajika Rajika,Tiamat [Gaia],3476,134,0,2
133,Jikai Yokoku,Alexander [Gaia],3463,236,0,0
134,Kaede Felis,Typhon [Elemental],3438,304,0,0
135,Zwei Kreuz,Bahamut [Gaia],3432,236,0,5
136,Minato Haruka,Asura [Mana],3393,212,0,0
137,Mio Youmu,Ixion [Mana],3390,332,0,0
138,Mayoi Abc,Asura [Mana],3382,165,0,0
139,Iz Levmel,Garuda [Elemental],3381,417,0,14
140,Coffee Lunchbox,Masamune [Mana],3377,351,0,0
141,Kanata Suzuumi,Mandragora [Meteor],3376,303,0,0
142,Hakuto Leonard,Alexander [Gaia],3366,253,299,14
143,Wally Deluaki,Hades [Mana],3340,334,0,0
144,Taroe Kobuta,Kujata [Elemental],3327,705,0,20
145,Dome Violet,Masamune [Mana],3326,556,249,10
146,Hero Zest,Durandal [Gaia],3326,181,0,0
147,Wuruwuru Yaya,Asura [Mana],3320,425,0,0
148,Luna Skye,Asura [Mana],3317,346,0,0
149,God Moai,Atomos [Elemental],3312,191,0,0
150,Chisato Laetitia,Bahamut [Gaia],3305,379,0,21
151,Tsuchi Tsuki,Bahamut [Gaia],3304,393,0,4
152,Mialulu Sabotage,Tiamat [Gaia],3295,198,118,7
153,Tarex Youva,Tonberry [Elemental],3288,467,0,0
154,Hana'ni Narou,Bahamut [Gaia],3285,478,0,1
155,Surt Delsart,Carbuncle [Elemental],3281,89,296,7
156,Lhei Tayun,Chocobo [Mana],3272,167,198,6
157,Renard Blanche,Garuda [Elemental],3268,169,0,12
158,Sharif Noah,Masamune [Mana],3255,193,0,0
159,Molo Muh,Shinryu [Meteor],3250,246,0,0
160,Ripa Warrick,Fenrir [Gaia],3248,155,0,0
161,Spirit Fire,Belias [Meteor],3236,393,0,12
162,Bug Cut,Alexander [Gaia],3235,331,0,0
163,Firo Sknaht,Bahamut [Gaia],3230,272,0,3
164,Nao Fu,Shinryu [Meteor],3227,437,0,0
165,Palo Negro,Aegis [Elemental],3223,361,0,14
166,Hina Narumi,Masamune [Mana],3222,471,0,0
167,Kusozako Kamemushi,Bahamut [Gaia],3216,160,0,0
168,Shining Star,Typhon [Elemental],3210,455,0,0
169,Fennel Earltea,Typhon [Elemental],3202,351,0,0
170,Noam Rice,Ridill [Gaia],3190,168,0,0
171,Gonta Honebuto,Zeromus [Meteor],3188,405,0,10
172,Stardust Emilia,Hades [Mana],3187,471,0,0
173,Cey Noqed,Anima [Mana],3173,290,0,8
174,Pu Chan,Durandal [Gaia],3170,72,0,0
175,Creya Oaks,Tonberry [Elemental],3164,478,0,0
176,Sophia' Yule,Unicorn [Meteor],3162,767,0,10
177,Zumu Elect,Shinryu [Meteor],3155,149,0,0
178,Tamago Crab,Chocobo [Mana],3153,376,0,8
179,Zukasa Yatoh,Typhon [Elemental],3147,748,101,5
180,Yoruki Hiroran,Typhon [Elemental],3143,274,0,0
181,Junon Everlight,Ultima [Gaia],3122,186,102,7
182,Ruru Rururun,Ifrit [Gaia],3113,730,0,9
183,Oscar Reaves,Asura [Mana],3101,170,101,2
184,Alt Sanktgallen,Mandragora [Meteor],3080,407,0,6
185,Silanah Oh-mana,Titan [Mana],3078,495,0,26
186,Haido Hawal,Atomos [Elemental],3077,189,0,0
187,Hisui Yakumo,Anima [Mana],3076,362,0,0
188,Chi Pom,Hades [Mana],3069,428,0,22
189,Shion Amber,Unicorn [Meteor],3069,125,0,0
190,Big Non,Belias [Meteor],3063,47,0,0
191,Piccolo Saaaaann,Asura [Mana],3055,652,0,9
192,Ryon Wolves,Zeromus [Meteor],3038,109,0,0
193,Snow Albarn,Fenrir [Gaia],3028,552,0,0
194,Yuri Lozephilia,Belias [Meteor],3026,556,0,0
195,Gate Shark,Asura [Mana],3024,135,0,0
196,Zero No'name,Titan [Mana],3013,171,0,0
197,Shiman Chu,Yojimbo [Meteor],3005,563,0,2
198,Sead Slendisch,Asura [Mana],3001,465,0,9
199,Yu Haru,Hades [Mana],2994,119,0,0
200,Chill Mix,Chocobo [Mana],2992,133,0,0
201,Hal Mooncalf,Pandaemonium [Mana],2992,65,0,0
202,Lilica Astadir,Valefor [Meteor],2987,408,0,8
203,Laru Gucchi,Durandal [Gaia],2982,152,0,0
204,Ardlan Vorlesh,Asura [Mana],2980,120,0,3
