Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Kite Free,Kujata [Elemental],4640,169,0,0
2,Makina Belg,Belias [Meteor],4299,218,0,8
3,Felik Mqzino,Ultima [Gaia],4231,122,7,1
4,Sorin Maki,Durandal [Gaia],4160,74,0,0
5,Erebus Demise,Mandragora [Meteor],4067,129,0,0
6,Vivi Ann,Kujata [Elemental],4057,196,0,0
7,Accelerator Xiv,Masamune [Mana],4048,323,0,0
8,Noin Kurial,Asura [Mana],3923,135,0,0
9,Bikkuri Donkey,Belias [Meteor],3907,198,101,8
10,Djinn Piston,Durandal [Gaia],3903,254,94,11
11,Nothing There,Fenrir [Gaia],3885,105,0,4
12,Paker Zuka,Bahamut [Gaia],3778,102,101,2
13,Envy Lua,Valefor [Meteor],3742,318,0,11
14,Shien Tia,Ixion [Mana],3698,83,0,0
15,Karma Strife,Chocobo [Mana],3635,163,0,0
16,Kappi Scarlet,Asura [Mana],3612,316,99,3
17,Pandemonic Planet,Ultima [Gaia],3610,123,0,0
18,Emil Sarasun,Asura [Mana],3547,108,0,0
19,Yan Yan,Alexander [Gaia],3477,475,0,10
20,Hei Meiling,Anima [Mana],3456,238,0,6
21,Rya Myosotisy,Asura [Mana],3451,135,0,0
22,Tina Rilu,Garuda [Elemental],3410,181,0,9
23,Okome Justice,Durandal [Gaia],3405,165,0,0
24,Shinra Arasaka,Tiamat [Gaia],3379,125,0,2
25,White Kagerou,Ifrit [Gaia],3310,268,197,19
26,Jay Eins,Chocobo [Mana],3297,132,0,0
27,Aizen Sosuke,Asura [Mana],3232,101,0,2
28,Kon Ganajai,Yojimbo [Meteor],3224,230,0,7
29,Piki Pipiki,Pandaemonium [Mana],3194,206,0,0
30,Robs Wiz,Aegis [Elemental],3175,320,0,5
31,Tam Sin,Ultima [Gaia],3170,163,0,9
32,Hatozo Ito,Typhon [Elemental],3076,288,97,9
33,Ciao-churu Catmeme,Carbuncle [Elemental],3067,309,0,2
34,Wakaba Mutsumi,Pandaemonium [Mana],3060,132,0,0
35,Super Omochi,Pandaemonium [Mana],3049,157,0,0
36,Tomomomo Momomo,Ramuh [Meteor],3025,143,0,0
37,Desire Drive,Yojimbo [Meteor],3008,79,0,0
38,San Sowa,Ridill [Gaia],2997,478,0,0
