Rank,Name,World,Credits,Victories
125,Maje Ma,Fenrir [Gaia],1788,131
126,Endless Summer,Tiamat [Gaia],1781,138
127,Ardlan Vorlesh,Asura [Mana],1768,70
128,Ponpo Pon,Hades [Mana],1760,91
129,Pu Chan,Durandal [Gaia],1757,85
130,Chuchuru Churuchuru,Alexander [Gaia],1742,141
131,Shino Sabury,Ramuh [Meteor],1712,64
132,Syaharu Rau,Ultima [Gaia],1706,98
133,Piccolo Saaaaann,Asura [Mana],1701,219
134,Raiden Thorne,Tiamat [Gaia],1700,114
135,Silanah Oh-mana,Titan [Mana],1700,97
136,Nagi Una,Fenrir [Gaia],1699,215
137,Si Lin,Titan [Mana],1697,151
138,Amaoto Amane,Durandal [Gaia],1697,71
139,Zwei Kreuz,Bahamut [Gaia],1697,45
140,Stardust Emilia,Hades [Mana],1690,308
141,Nono Little,Hades [Mana],1683,94
142,Tina Rilu,Garuda [Elemental],1619,27
143,Pass Port,Asura [Mana],1610,86
144,M'imawari Akhita,Ixion [Mana],1605,80
145,Minisuta Blood,Atomos [Elemental],1603,19
146,Ciao-churu Catmeme,Carbuncle [Elemental],1601,154
147,Luluna Coco,Garuda [Elemental],1598,150
148,Mumucha Sushiroll,Mandragora [Meteor],1594,92
149,Tur Vi,Ixion [Mana],1594,69
150,Lilica Astadir,Valefor [Meteor],1593,202
151,Anoma Loris,Valefor [Meteor],1593,72
152,Hiyokko Pyonpyon,Fenrir [Gaia],1589,75
153,Ai Shironuko,Kujata [Elemental],1583,73
154,Evora Jutrzenka,Kujata [Elemental],1580,94
155,Elosie Ue,Bahamut [Gaia],1577,88
156,Kana Drouv,Mandragora [Meteor],1567,78
157,Mochi Dooooon,Hades [Mana],1566,123
158,Oriental Art,Chocobo [Mana],1562,92
159,Yuki Yui,Ultima [Gaia],1562,45
160,Tiger Rutata,Asura [Mana],1560,109
161,Scarlet Liora,Ridill [Gaia],1559,102
162,Teena Lewis,Bahamut [Gaia],1544,139
163,Reno Shinra,Pandaemonium [Mana],1528,152
164,Molo Muh,Shinryu [Meteor],1519,74
165,Nao Fu,Shinryu [Meteor],1514,90
166,Scrambledegg Man,Atomos [Elemental],1514,77
167,Ernest Ward,Aegis [Elemental],1508,65
168,Sakura Verzandi,Pandaemonium [Mana],1504,126
169,Yuuking Furry,Titan [Mana],1504,33
170,Kikka Citrus,Atomos [Elemental],1500,36
171,Grenatta Ratti,Fenrir [Gaia],1497,223
172,Lufefe Lufe,Mandragora [Meteor],1494,99
173,Ripa Warrick,Atomos [Elemental],1493,62
174,Nao Silver,Ridill [Gaia],1492,40
175,Fluffy Cat,Ultima [Gaia],1491,29
176,Iz Levmel,Garuda [Elemental],1490,167
177,Cyrus Noran,Pandaemonium [Mana],1486,201
178,Vector Nightcore,Bahamut [Gaia],1485,128
179,Kappiii Prairie,Pandaemonium [Mana],1482,105
180,Mialulu Sabotage,Tiamat [Gaia],1480,209
181,Ren Chamx,Chocobo [Mana],1479,165
