Rank,Name,World,Credits,Victories,Credits Gained,Victories Gained
1,Roric Thorne,Pandaemonium [Mana],6025,119,380,9
2,Kite Free,Kujata [Elemental],5169,162,0,0
3,Tur Vi,Ixion [Mana],5044,159,0,0
4,Kyna Hollowmere,Ultima [Gaia],5009,163,0,0
5,Extra Mage,Garuda [Elemental],4632,231,0,0
6,Uki Yo,Masamune [Mana],4405,132,0,0
7,Nicku Nicku,Tonberry [Elemental],4281,366,0,0
8,Rya Myosotisy,Asura [Mana],4274,198,0,0
9,Aries San,Tiamat [Gaia],4250,159,0,0
10,Envy Lua,Valefor [Meteor],4209,273,0,0
11,Vivi Ann,Kujata [Elemental],4180,203,0,0
12,Bakeke Bake,Asura [Mana],4163,349,310,16
13,Paker Zuka,Bahamut [Gaia],4111,104,0,0
14,Merry Scrald,Belias [Meteor],4102,173,0,0
15,Tilt Woman,Pandaemonium [Mana],4090,237,0,0
16,Kim Shin,Masamune [Mana],4090,100,0,0
17,Accelerator Xiv,Masamune [Mana],4080,455,0,0
18,Rex Cold,Bahamut [Gaia],4061,140,0,0
19,Lukina Sirobara,Pandaemonium [Mana],4057,200,0,0
20,Kappi Scarlet,Asura [Mana],4050,265,0,4
21,Tomomomo Momomo,Ramuh [Meteor],4040,258,0,0
22,Hoshino Ai,Titan [Mana],4018,162,579,20
23,Cueina Uumi,Titan [Mana],4017,198,0,0
24,Erebus Nocturne,Mandragora [Meteor],4008,57,0,0
25,Sura Imo,Shinryu [Meteor],3945,153,0,0
26,Shien Tia,Ixion [Mana],3943,103,0,3
27,Shiki Hime,Kujata [Elemental],3942,144,0,0
28,Hase Schwarzer,Ifrit [Gaia],3938,304,0,0
29,Makina Belg,Belias [Meteor],3908,302,0,0
30,Hikaru Amanogawa,Unicorn [Meteor],3858,204,0,8
31,Falaris Whitemoon,Carbuncle [Elemental],3826,516,0,0
32,Notttz Imbrium,Titan [Mana],3825,225,0,2
33,Furanzeska Sumeragi,Tonberry [Elemental],3818,292,9,10
34,Corvus Gradior,Titan [Mana],3789,195,299,8
35,San Sowa,Ridill [Gaia],3764,510,0,16
36,Ml Tei,Alexander [Gaia],3758,82,382,8
37,Lucy Lumi,Alexander [Gaia],3698,253,0,0
38,Aizen Sosuke,Asura [Mana],3696,216,0,13
39,Nighty Night,Ridill [Gaia],3686,224,0,12
40,Ichi Nose,Anima [Mana],3671,204,0,8
41,Ciel Cocco,Anima [Mana],3631,297,4,9
42,Yurugi Koyurugi,Belias [Meteor],3630,131,0,2
43,Hatozo Ito,Typhon [Elemental],3624,160,0,1
44,Kageto Magatsuki,Ultima [Gaia],3618,236,98,7
45,Hateful Past,Asura [Mana],3608,299,0,1
