Rank,Name,World,Credits,Victories
1,Saboree Catboy,Spriggan [Chaos],3969,259
2,Scarlet Rose,Spriggan [Chaos],3954,327
3,Loty Coldwind,Twintania [Light],3602,158
4,Slayn Lockmeier,Ragnarok [Chaos],3295,187
5,Cat Wife,Zodiark [Light],3135,64
6,Cliffe Zanza,Spriggan [Chaos],2972,260
7,Crow Xo,Zodiark [Light],2630,124
8,Ange Melrose,Omega [Chaos],2561,203
9,Maarato Cookie,Twintania [Light],2528,153
10,Lucy Lumi,Louisoix [Chaos],2463,95
11,Sice Seven,Moogle [Chaos],2383,194
12,Yamizura Kumozuma,Twintania [Light],2179,97
13,Ase Escadora,Alpha [Light],2152,169
14,Akari Tsuki,Louisoix [Chaos],2068,95
15,Miyu Edelfelt,Phoenix [Light],2036,157
16,Tsukuyo Ritlas,Odin [Light],2011,62
17,Lex'ander Wayfarer,Odin [Light],1894,245
18,Auelin Fae,Zodiark [Light],1875,29
19,Sheidyn Windsor,Omega [Chaos],1598,342
20,Raiden Thorne,Zodiark [Light],1589,70
21,Lybel Alyborias,Louisoix [Chaos],1581,141
22,Snap Ringer,Omega [Chaos],1510,34
23,Yun' Yun,Cerberus [Chaos],1501,121
24,Death Fury,Ragnarok [Chaos],1404,70
25,Zot To,Cerberus [Chaos],1394,63
26,Meryll Enetari,Cerberus [Chaos],1356,195
27,Vanilla Blossom,Moogle [Chaos],1301,77
28,Streaming Badboy,Odin [Light],1297,104
29,Milk Jds,Zodiark [Light],1277,132
30,Xen Thique,Odin [Light],1226,121
31,Miyu Moon,Moogle [Chaos],1203,20
32,Gaspard Deguingoix,Moogle [Chaos],1202,130
33,Ny Aa,Zodiark [Light],1195,35
34,Deadrise Mutombo,Ragnarok [Chaos],1127,60
35,Shadow Aya,Zodiark [Light],1104,140
36,Luca Natura,Omega [Chaos],1103,89
37,Ten Gil,Louisoix [Chaos],1095,149
38,Serafina Cocoapuff,Lich [Light],1008,145
39,Xiex Xie,Zodiark [Light],997,99
40,Victoria Nyala,Phoenix [Light],991,111
41,Yhren Vhal,Odin [Light],991,75
42,Shia Sun,Odin [Light],986,46
43,Imy Pure,Cerberus [Chaos],907,16
44,Paranpu Leporine,Omega [Chaos],895,174
45,Sweet Light,Spriggan [Chaos],893,24
46,Farnese Astrope,Odin [Light],813,61
47,Taiya Li,Phoenix [Light],812,55
48,Sunie Dakwhil,Twintania [Light],809,106
49,Pre Purify,Spriggan [Chaos],795,25
50,Resilla Frostflow,Cerberus [Chaos],793,73
51,Based Miqote,Twintania [Light],791,115
52,Dalik Mathis,Ragnarok [Chaos],791,40
53,Leedo Dale,Zodiark [Light],790,339
54,Blue Cat,Twintania [Light],788,47
55,Enrei Esthule,Lich [Light],786,53
56,Tay Talenath,Raiden [Light],783,138
57,Gamba Winner,Cerberus [Chaos],777,132
58,Neo Saladin,Alpha [Light],702,81
59,Memento Mo'ri,Ragnarok [Chaos],701,93
60,Jacob Brandford,Twintania [Light],699,82
61,Khorasan Ataraxia,Shiva [Light],697,240
62,Mer Lin,Spriggan [Chaos],693,40
63,Zyther Zero,Alpha [Light],686,76
64,Lhei Tayun,Zodiark [Light],605,151
65,Serenity Winecow,Omega [Chaos],603,146
66,Gene Nefreya,Cerberus [Chaos],600,37
67,Kimbi Aoe,Shiva [Light],598,125
68,Snow Wishzz,Cerberus [Chaos],594,99
69,Yorda Dormin,Phantom [Chaos],594,86
