Rank,Name,World,Credits,Victories
130,Diggoo Jumalxtenlavis,Zodiark [Light],100,61
131,Sakurane Zero'yuurai,Ragnarok [Chaos],100,58
132,Wind-up Chance,Moogle [Chaos],100,57
133,Fa Fo,Twintania [Light],100,53
134,Krist Otaku,Phoenix [Light],100,49
135,Rhen Veydris,Odin [Light],100,46
135,Runa Dreadblade,Alpha [Light],100,46
137,Lunaelumen Heartless,Phoenix [Light],100,39
137,Wept Sama,Louisoix [Chaos],100,39
139,Erion Hein,Twintania [Light],100,36
140,Two Koma,Zodiark [Light],100,34
141,Ossim Numine,Spriggan [Chaos],100,32
142,Brutal Killer,Raiden [Light],100,27
143,Lunari Lanuri,Zodiark [Light],100,26
144,Mhia Mewrilah,Omega [Chaos],100,23
145,Yuumi Fish,Cerberus [Chaos],100,12
146,Mori Ketsuyoku,Zodiark [Light],100,10
147,Lyrai Z'ers,Moogle [Chaos],100,0
148,Lu Ni,Cerberus [Chaos],★★★,157
149,Erzengel Lucifer,Odin [Light],★★★,97
150,Nicco Sushi,Alpha [Light],★★★,90
151,Alex Rider,Alpha [Light],★★★,58
152,Remes Yveltar,Odin [Light],★★★,42
153,Enrei Esthule,Lich [Light],★★★,33
154,Aris Oz,Zodiark [Light],★★★,31
155,Kaido Joestar,Phantom [Chaos],★★★,13
156,Tyr Neriak,Omega [Chaos],★★★,11
157,Lina Sunstar,Spriggan [Chaos],★★☆,171
158,Artemis Animalis,Shiva [Light],★★☆,162
159,Rave Bae,Alpha [Light],★★☆,103
160,Red Fluffy,Shiva [Light],★★☆,28
161,Evaline Ra-kaifu,Alpha [Light],★★☆,18
162,Lo Enha,Moogle [Chaos],★☆☆,270
163,Seraban Mistodisushi,Omega [Chaos],★☆☆,195
164,Sayuri Maeshima,Omega [Chaos],★☆☆,130
165,Vyra Karbon,Alpha [Light],★☆☆,94
166,Lil Hefty,Sagittarius [Chaos],★☆☆,92
167,Vaal Haigha,Alpha [Light],★☆☆,88
168,Marain Kousaka,Omega [Chaos],★☆☆,63
169,Sakura Hanami,Phoenix [Light],★☆☆,57
170,Neppie Nen,Phoenix [Light],★☆☆,43
171,Smoothie Sour,Zodiark [Light],★☆☆,40
172,Isca Mog,Zodiark [Light],★☆☆,18
173,Senra Locke,Sagittarius [Chaos],★☆☆,15
174,Ny Aa,Zodiark [Light],★☆☆,11
175,Leni Inora,Alpha [Light],★★★,116
176,Bibi'ing Bobo'ing,Zodiark [Light],★★★,104
177,Naomi Miya,Sagittarius [Chaos],★★★,73
178,Totsu Geki,Spriggan [Chaos],★★★,50
179,Xayah Highwind,Twintania [Light],★★★,32
180,Malf Tribal,Ragnarok [Chaos],★★★,21
181,Noctis Lucis-caellum,Shiva [Light],★★☆,105
182,Maki Hawke,Sagittarius [Chaos],★★☆,65
183,Kihn Shirudo,Spriggan [Chaos],★★☆,49
184,Kazuhio Nisshoku,Lich [Light],★★☆,16
185,Erika Avellana,Alpha [Light],★☆☆,251
186,Alice Kittimo,Cerberus [Chaos],★☆☆,135
187,Mani Moo,Odin [Light],★☆☆,114
188,Zero Mercy,Odin [Light],★☆☆,113
189,Edward Shadowstrike,Lich [Light],★☆☆,111
190,Shoco Jin,Moogle [Chaos],★☆☆,87
191,Mirajane Hylian,Omega [Chaos],★☆☆,56
192,Cecilia Wright,Omega [Chaos],★☆☆,54
193,Zim Brinstar,Odin [Light],★☆☆,35
194,Tiranna Reinford,Moogle [Chaos],★☆☆,33
195,Lishia Reid,Raiden [Light],★☆☆,23
196,Lyrian Locke,Sagittarius [Chaos],★☆☆,11
197,Or'wal Drexar,Twintania [Light],★★★,119
198,Noble Lion,Raiden [Light],★★★,91
199,Nayt Eclipse,Twintania [Light],★★★,85
200,Eve Naeuri,Sagittarius [Chaos],★★★,66
201,Ai Ka',Ragnarok [Chaos],★★★,65
202,Joseph Fleurer,Moogle [Chaos],★★★,29
203,Alt For-pvp,Omega [Chaos],★★★,13
204,Fel Kartof,Spriggan [Chaos],★★★,9
205,Al Pagu,Raiden [Light],★★☆,80
206,Moe Idles,Louisoix [Chaos],★★☆,65
207,Ronka Wolfborn,Twintania [Light],★★☆,33
208,Nesma Whitaker,Zodiark [Light],★★☆,32
209,Taivas L'tulta,Odin [Light],★★☆,13
210,Monchegorec Granddad,Cerberus [Chaos],★☆☆,249
211,Mimiko Moeka,Zodiark [Light],★☆☆,165
212,Franziska Hatia,Moogle [Chaos],★☆☆,132
213,Spedah Sashihai,Phantom [Chaos],★☆☆,130
214,Yoe Lleufyn,Phoenix [Light],★☆☆,127
215,Charon Tesar,Shiva [Light],★☆☆,113
216,Zaros Xaostheristis,Cerberus [Chaos],★☆☆,93
217,Fandrix Shadowsong,Louisoix [Chaos],★☆☆,74
218,Irene Aubrenard,Odin [Light],★☆☆,64
219,Myriil Elwarin,Phoenix [Light],★☆☆,63
220,Tung Kniv,Spriggan [Chaos],★☆☆,59
221,Cecile'to Lowell,Lich [Light],★☆☆,45
222,Naja Hena,Phantom [Chaos],★☆☆,32
223,Sifa Zhwan,Zodiark [Light],★☆☆,30
224,Thor Strom,Cerberus [Chaos],★☆☆,9
225,Lylia Venis,Moogle [Chaos],★☆☆,6
226,Tayumii Valestein,Ragnarok [Chaos],★★★,198
227,Crigher Yukimura,Omega [Chaos],★★★,154
228,Renna Vorak,Raiden [Light],★★★,107
229,Carathiel Shinoburi,Zodiark [Light],★★★,88
230,Lu Mi,Alpha [Light],★★★,73
231,Nando's Chicken,Alpha [Light],★★★,67
232,H'astya Edh,Louisoix [Chaos],★★★,63
233,Toothy Saberfang,Ragnarok [Chaos],★★★,42
234,Sho'zhirr Shizahi-jo,Phoenix [Light],★★★,20
235,Phaey Yeon,Moogle [Chaos],★★★,17
236,Sweet Suffering,Alpha [Light],★★☆,147
237,Decha Kirk,Moogle [Chaos],★★☆,115
238,Angela Sunseeker,Louisoix [Chaos],★★☆,102
239,Catlisaie Leveilleur,Sagittarius [Chaos],★★☆,60
240,Varyana Sunborn,Zodiark [Light],★★☆,55
241,Ava Fortuna,Twintania [Light],★★☆,46
242,Ombra Seregon,Phoenix [Light],★★☆,42
243,Yin Pun,Alpha [Light],★★☆,41
244,Gella Zenhat,Cerberus [Chaos],★★☆,29
245,Trabajarr Adelante,Louisoix [Chaos],★★☆,24
246,Baka Bao,Phantom [Chaos],★★☆,13
247,Miria Amariyo,Odin [Light],★☆☆,209
248,Bleak Midwinter,Lich [Light],★☆☆,174
249,Red Darkmoon,Raiden [Light],★☆☆,146
250,Ye Jin,Alpha [Light],★☆☆,124
